"","field","completeness","validity","consistency","uniqueness"
"1","PROJECT_ID",100,100,NA,NA
"2","PROJECT_TERMS",100,NA,NA,NA
"3","PROJECT_TITLE",100,98.5529505984575,NA,NA
"4","DEPARTMENT",100,100,NA,NA
"5","AGENCY",100,100,NA,NA
"6","IC_CENTER",79.94,NA,NA,NA
"7","PROJECT_NUMBER",100,NA,NA,NA
"8","PROJECT_START_DATE",86.59,NA,NA,NA
"9","PROJECT_END_DATE",87.28,NA,NA,NA
"10","CONTACT_PI_PROJECT_LEADER",99.99,NA,NA,NA
"11","OTHER_PIS",17.33,NA,NA,NA
"12","CONGRESSIONAL_DISTRICT",92.8,NA,NA,NA
"13","DUNS_NUMBER",99.45,99.9988968073605,NA,NA
"14","ORGANIZATION_NAME",99.99,NA,NA,NA
"15","ORGANIZATION_CITY",99.78,NA,NA,NA
"16","ORGANIZATION_STATE",98.77,NA,NA,NA
"17","ORGANIZATION_ZIP",95.95,NA,NA,NA
"18","ORGANIZATION_COUNTRY",99.87,NA,NA,NA
"19","BUDGET_START_DATE",74.25,NA,NA,NA
"20","BUDGET_END_DATE",74.25,NA,NA,NA
"21","CFDA_CODE",82.32,NA,NA,NA
"22","FY",100,NA,NA,NA
"23","FY_TOTAL_COST",83.55,NA,NA,NA
"24","FY_TOTAL_COST_SUB_PROJECTS",12.24,NA,NA,NA
