award_id_fain,award_id_uri,sai_number,obligated_amount,non_federal_funding_amount,total_funding_amount,face_value_of_loan,original_subsidy_cost,total_subsidy_cost,total_loan_value,period_of_performance_start_date,period_of_performance_current_end_date,awarding_agency_code,awarding_agency_name,awarding_sub_agency_code,awarding_sub_agency_name,awarding_office_code,awarding_office_name,funding_agency_code,funding_agency_name,funding_sub_agency_code,funding_sub_agency_name,funding_office_code,funding_office_name,recipient_duns,recipient_name,recipient_parent_duns,recipient_parent_name,recipient_country_code,recipient_country_name,recipient_address_line_1,recipient_address_line_2,recipient_city_code,recipient_city_name,recipient_county_code,recipient_county_name,recipient_state_code,recipient_state_name,recipient_zip_code,recipient_zip_last_4_code,recipient_congressional_district,recipient_foreign_city_name,recipient_foreign_province_name,recipient_foreign_postal_code,primary_place_of_performance_country_code,primary_place_of_performance_country_name,primary_place_of_performance_code,primary_place_of_performance_city_name,primary_place_of_performance_county_code,primary_place_of_performance_county_name,primary_place_of_performance_state_name,primary_place_of_performance_zip_4,primary_place_of_performance_congressional_district,primary_place_of_performance_foreign_location,cfda_number,cfda_title,assistance_type_code,assistance_type_description,award_description,business_funds_indicator_code,business_funds_indicator_description,business_types_code,business_types_description,record_type_code,record_type_description,last_modified_date
W81XWH1120224,,NO SAI  W81XWH3346,0,0,0,0,,,,9/25/11,9/24/17,97,DEPARTMENT OF DEFENSE (DOD),9700,DEPARTMENT OF DEFENSE,,,,,,,,,147212963,RESEARCH INSTITUTE AT NATIONWIDE CHILDREN'S H,46430013,NATIONWIDE CHILDREN'S HOSPITAL,USA,UNITED STATES,700 CHILDRENS DR,,18000,COLUMBUS,49,FRANKLIN,OH,OHIO,43205,2664,,,,,USA,UNITED STATES,3918000,COLUMBUS,49,FRANKLIN,OHIO,432052664,,,12.42,MILITARY MEDICAL RESEARCH AND DEVELOPMENT,5,,INTEGRATIVE LIFECOURSE AND GENETIC ANALYSIS OF MILITARY WORKING DOGS,,,12,,2,,2016-11-09 00:00:00+00
W911NF1510253,,NO SAI  W911NF8847,309242,0,309242,0,,,,6/1/15,1/31/18,97,DEPARTMENT OF DEFENSE (DOD),9700,DEPARTMENT OF DEFENSE,,,,,,,,,804355790,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",71549000,"CALIFORNIA, STATE OF",USA,UNITED STATES,"9500 GILMAN DR, DEPT 621",,66000,LA JOLLA,73,SAN DIEGO,CA,CALIFORNIA,92093,621,,,,,USA,UNITED STATES,639360,LA JOLLA,73,SAN DIEGO,CALIFORNIA,920930934,,,12.431,BASIC SCIENTIFIC RESEARCH,4,,HUMAN NETWORKS: FROM ALGORITHMIC MODELS TO GLOBAL BEHAVIOR,,,6,,2,,2016-11-09 00:00:00+00
W81XWH1220094,,NO SAI  W81XWH3351,0,0,0,0,,,,9/15/12,9/14/17,97,DEPARTMENT OF DEFENSE (DOD),9700,DEPARTMENT OF DEFENSE,,,,,,,,,928470061,SEATTLE INSTITUTE FOR BIOMEDICAL AND CLINICAL,928470061,SEATTLE INSTITUTE FOR BIOMEDICAL AND CLINICAL RESEARCH,USA,UNITED STATES,1660 S COLUMBIAN WAY # 151F,,63000,SEATTLE,33,KING,WA,WASHINGTON,98108,1532,,,,,USA,UNITED STATES,5363000,SEATTLE,33,KING,WASHINGTON,981081532,,,12.42,MILITARY MEDICAL RESEARCH AND DEVELOPMENT,5,,PRAZOSIN AUGEMENTATION OF OUTPATIENT TREATMENT OF ALCOHOL USE DISORDERS IN ACTIVE DUTY SOLDIERS WITH AND WITHOUT PTSD,,,12,,2,,2016-11-09 00:00:00+00
N000141512022,,NO SAI  N00014OA49,86078,0,86078,0,,,,3/15/15,3/14/17,97,DEPARTMENT OF DEFENSE (DOD),9700,DEPARTMENT OF DEFENSE,,,,,,,,,79289626,UNIVERSITY OF OREGON,49793995,,USA,UNITED STATES,1585 E 13TH AVE,,23850,EUGENE,39,LANE,OR,OREGON,97403,1657,,,,,USA,UNITED STATES,4123850,EUGENE,39,LANE,OREGON,974031657,,,12.3,BASIC AND APPLIED SCIENTIFIC RESEARCH,4,,UNDERSTANDING THE MOLECULAR BASIS OF SKILL LEARNING,,,6,,2,,2016-12-21 00:00:00+00
W81XWH1510267,,SAIEXEMPT,-635176,0,-635176,,,,,8/1/15,1/15/16,97,DEPARTMENT OF DEFENSE (DOD),2100,DEPARTMENT OF THE ARMY,W81XWH,W4PZ USA MED RSCH ACQUIS ACT,,,,,,,17730458,"CLEVELAND CLINIC FOUNDATION, THE",17730458,"CLEVELAND CLINIC FOUNDATION, THE",USA,UNITED STATES,9500 EUCLID AVE,,16000,CLEVELAND,35,CUYAHOGA,OH,OHIO,44195,1,11,,,,USA,UNITED STATES,OH16000,CLEVELAND,35,CUYAHOGA,OHIO,44195-0002,11,,12.42,MILITARY MEDICAL RESEARCH AND DEVELOPMENT,4,PROJECT GRANT (B),THE ROLE OF INFLAMMATION IN DEVELOPMENT OF AD FOLLOWING REPETITIVE HEAD TRAUMA,NON,NOT RECOVERY ACT,M,NONPROFIT WITH 501C3 IRS STATUS (OTHER THAN AN INSTITUTION OF HIGHER EDUCATION),2,NON-AGGREGATE RECORD,2019-04-21 18:17:56.015381+00
1635915,,SAI EXEMPT,0,0,0,0,,,,9/15/16,11/30/16,49,NATIONAL SCIENCE FOUNDATION (NSF),4900,NATIONAL SCIENCE FOUNDATION,,,,,,,,,790934285,UNIVERSITY OF MARYLAND,3256088,UNIVERSITY SYSTEM OF MARYLAND,USA,UNITED STATES,3112 LEE BLDG 7809 REGENTS DRIVE,,18750,COLLEGE PARK,33,PRINCE GEORGE'S,MD,MARYLAND,20742,5141,5,,,,USA,UNITED STATES,2401600,ANNAPOLIS,3,ANNE ARUNDEL,MARYLAND,214013480,3,,47.05,GEOSCIENCES,4,,COLLABORATIVE RESEARCH: HABITAT FRAGMENTATION EFFECTS ON SEAGRASS FISH DIVERSITY AT LANDSCAPE SCALES: EXPERIMENTAL TESTS OF MULTIPLE MECHANISMS,NON,,6,,2,,2016-11-30 00:00:00+00
DEFG3608GO48037,,SAI EXEMPT,0,0,0,0,,,,9/12/08,9/11/10,89,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,,,,,,,,,135668887,ENVIRNMNTAL PROTECTION PA DEPT,3027539,"PENNSYLVANIA, COMMONWEALTH OF",,,400 MARKET ST,,32800,HARRISBURG,43,DAUPHIN,PA,PENNSYLVANIA,17101,2301,7,,,,,,4232800,,,,PENNSYLVANIA,32800,42,,81.117,"ENERGY EFFICIENCY AND RENEWABLE ENERGY INFORMATION DISSEMINATION, OUTREACH",4,,PENNSYLVANIA WIND POWERING AMERICA STATE OUTREACH,NON,,6,,2,,2016-12-13 00:00:00+00
W81XWH1210364,,NO SAI  W81XWH3380,0,0,0,0,,,,9/30/12,9/29/17,97,DEPARTMENT OF DEFENSE (DOD),9700,DEPARTMENT OF DEFENSE,,,,,,,,,41096314,"REGENTS OF THE UNIVERSITY OF COLORADO, THE",7431505,"REGENTS OF THE UNIVERSITY OF COLORADO, THE",USA,UNITED STATES,13001 E 17TH PLACE F428,,4000,AURORA,1,ADAMS,CO,COLORADO,80045,2571,,,,,USA,UNITED STATES,804000,AURORA,1,ADAMS,COLORADO,800452571,,,12.42,MILITARY MEDICAL RESEARCH AND DEVELOPMENT,4,,DISRUPTION OF CALCIUM HOMEOSTASIS DURING EXERCISE AS A MEDIATOR OF BONE METABOLISM,,,6,,2,,2016-11-09 00:00:00+00
P15AC00042,,SAI EXEMPT,0,0,0,0,,,,12/11/14,12/9/19,14,DEPARTMENT OF THE INTERIOR (DOI),1443,NATIONAL PARK SERVICE,,,,,,,,,101129737,NATIONAL ASSOCIATION OF RESOURCE CONSERVATION,,,,,444 N CAPITOL ST NW STE 345,,50000,WASHINGTON,1,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA,20001,1538,0,,,,,,00*****,WASHINGTON,,,,20001,,,15.931,CONSERVATION ACTIVITIES BY YOUTH SERVICE ORGANIZATIONS,5,,YOUTH ENGAGEMENT AND DEVELOPMENT,NON,,12,,2,,2016-12-20 00:00:00+00
2015TAAXK079,,SAI NOT AVAILABLE,150000,0,150000,0,,,,10/1/15,3/31/17,15,DEPARTMENT OF JUSTICE (DOJ),1550,OFFICE OF JUSTICE PROGRAMS,,,15,"JUSTICE, DEPARTMENT OF (1500)",,,,,142487623,INTERNATIONAL ASSOCIATION OF FORENSIC NURSES,,,USA,UNITED STATES,6755 BUSINESS PKWY STE 303,,,ELKRIDGE,27,HOWARD,MD,MARYLAND,21075,6740,2,,,,USA,UNITED STATES,MD25750,ELKRIDGE,27,HOWARD,MARYLAND,210756740,2,,16.526,OVW TECHNICAL ASSISTANCE INITIATIVE,5,,NATIONAL PROTOCOL FOR PEDIATRIC SEXUAL ASSAULT MEDICAL FORENSIC EXAMINATIONS: TRAINING AND TECHNICAL ASSISTANCE,NON,,12,,2,,2017-02-02 00:00:00+00
