Most Mentioned Subjects
1392 documents  for All Dates

Subject,Document Count
New Products/Services,785
Corporate/Industrial News,572
Significant Corporate Events,551
Corporate Actions,498
Corporate Changes,497
New Product/Service Testing,480
Equities Asset Class News,462
Press Releases,298
New Product Approvals,279
Corporate Funding,275
Research/Development,272
Securities Filings,169
Regulation/Government Policy,127
Earnings,95
Biotechnology,34
Medical Treatments/Procedures,29
Marketing,28
Diabetes,24
Nutrition,23
Health,22
Conferences/Exhibitions,21
Cancer,21
Partnerships/Collaborations,18
Licensing Agreements,17
Industrial Property Rights,17
Plans/Strategy,16
Branding,16
Sales Figures,15
Corporate Social Responsibility,15
Skin Cancer,15
Eye Conditions,14
Corporate Awards,13
Announcements of News Conferences/Calls,12
Medical Research,12
Hepatitis,12
Earnings Projections,11
Advertising,11
Health Care Policy,11
Abstracts,11
Top Wire News,11
Today's Top Wire News,11
Immunizations,10
Columns,9
Fixed Income Asset Class News,9
Non-governmental Contracts,8
Biology,8
Cardiovascular Conditions,8
Dementia,8
Dialysis,8
Medical Conditions,8
Equity Markets,8
Financing Agreements,7
Facility Openings,7
Warrants,7
Family Planning,7
Breast Cancer,7
Sexually Transmitted Diseases,7
Women's Health,7
Annual/Shareholders Meetings,6
Political/General News,6
Chemotherapy/Radiotherapy/Immunotherapy,6
AIDS/HIV,6
Sciences/Humanities,6
Legislative Branch,6
Corporate Crime/Legal Action,5
Share Capital,5
Franchises,5
Lay-offs/Redundancies,5
Small/Medium Businesses,5
Animal Health,5
Arthritis/Rheumatic Conditions,5
Obesity,5
Smoking,5
Health/Human Services Department,5
Share Price Movement/Disruptions,4
Contracts/Orders,4
Labor/Personnel,4
Annual Reports (10K),4
Private Placements,4
Demographic Health,4
Blood Cancer,4
Respiratory Tract Cancer,4
Weight Management,4
Corrected Items,4
Transcripts,4
Corporate Credit Ratings,3
Capacity/Facilities,3
Automation,3
Business/Disruptive Innovation,3
Generic Brands,3
Supply Chain,3
Neurodevelopmental Disorders,3
Alzheimer's Disease,3
Mood Disorders,3
Education,3
Emphysema (Discontinued from 15th March 2016),3
Ear/Hearing Conditions,3
Malaria,3
Pancreatic Cancer (Discontinued from 11th July 2017),3
Domestic Politics,3


Search Summary,
Text,ns=C22 and (hlp=((new device or new devices or new drug or new drugs or new product or new products) and (announced the launch or announces the launch or launch or launches or launched or announced new or announces new or announces launch or introduce or introduces or introduced)) or ns=(CDINN or CGVFIL)) and in=(I257 or I372) and fmt=article and date from 01/01/2013 to 12/31/2016 and roo=USA and re=USA and la=en not (ns=(CMARKR or c01 or CIPROF or C41 or C18 or C133 or NRMF or NNAM or NOBT or NLIST or NHOC or C1521 or NAMT) or in=IDDTECH or Drug Administration announced approval)
Date,All Dates
Source,Not US Food and Drug Administration News (Abstracts)
Author,All Authors
Company, Not U.S. Food and Drug Administration
Subject,All Subjects
Industry,All Industries
Region,United States Not China Not Japan Not Europe
Language,English
Results Found,"1,392"
Timestamp,30 April 2019 15:14
"© 2019 Factiva, Inc.  All rights reserved."
