,an,labeller
0,LFSW000020150130eb23001n2,CohenSamantha
1,BHLD000020151023eban0003h,CohenSamantha
2,HAMW000020150130eb26001ab,CohenSamantha
3,WSJO000020151215ebcf003s7,CohenSamantha
4,PZON000020150917eb9h0002q,CohenSamantha
5,HAMW000020150529eb65001p3,CohenSamantha
6,ATPHAB0020150415eb4f0005n,CohenSamantha
7,DJDN000020150812eb8c001oy,CohenSamantha
8,JNWP000020150325eb3p0000f,CohenSamantha
9,GNVL000020160213ebbo000hp,CohenSamantha
10,CHEMEC0020150515eb5m0002h,CohenSamantha
11,ATPHAM0020150518eb5d0003g,CohenSamantha
12,DAIM000020150615eb6g0000d,CohenSamantha
13,BWR0000020151019ebaj000g3,CohenSamantha
14,CHWKNW0020150410eb4e00050,CohenSamantha
15,BIWK000020150612eb6h0006s,CohenSamantha
16,BWR0000020150217eb2h00047,CohenSamantha
17,AIWINE0020150619eb6k000s1,CohenSamantha
18,BIOELSE020150407eb3q0000p,CohenSamantha
19,DRGW000020150612eb6j0008h,CohenSamantha
20,DJDN000020150403eb430019x,CohenSamantha
21,ATDOMB0020150522eb5m0005r,CohenSamantha
22,BHLD000020150518eb5d00011,CohenSamantha
23,NBPPBS0020150507eb58001vs,CohenSamantha
24,ATPHAM0020151112ebba0005o,CohenSamantha
25,GLOMCP0020151116ebbg00bmw,CongCong
26,DJDN000020150930eb9u001fg,CongCong
27,DESR000020150815eb8f0003e,CongCong
28,MTEU000020150414eb4e000gp,CongCong
29,BIWK000020150306eb3b000hh,CongCong
30,DJDN000020151124ebbo0048a,CongCong
31,BIWK000020150909eb99000fr,CongCong
32,DJDN000020150713eb7d0021i,CongCong
33,MRKWN00020151106ebb60006x,CongCong
34,BTBW000020150206eb290001v,CongCong
35,DJDN000020151005eba5001ap,CongCong
36,NCIW000020150709eb79000dw,CongCong
37,CTRW000020150109eb1c000bj,CongCong
38,MTPW000020150911eb9a001xj,CongCong
39,CHPR000020150904eb8v0000i,CongCong
40,CTRW000020150626eb6t000a0,CongCong
41,WSJO000020150612eb6c008et,CongCong
42,CTRW000020150501eb54000m3,CongCong
43,GLOMCP0020151112ebbc001dj,CongCong
44,DJDN000020151214ebce001wg,CongCong
45,ATPHAM0020150602eb5t00030,CongCong
46,BNZNGA0020150326eb3q0005m,CongCong
47,PZON000020150630eb6u0003c,CongCong
48,PBRELS0020150601eb5p00002,CongCong
49,DJDN000020150728eb7s002si,CongCong 
50,PBRELS0020150424eb4l00001,FowersAlyssa
51,CONGDP0020150514eb5d00063,FowersAlyssa
52,HOU0000020150623eb6k00027,FowersAlyssa
53,KHALEJ0020151106ebb50005q,FowersAlyssa
54,HAMW000020150213eb2k00405,FowersAlyssa
55,DJDN000020150707eb77002sk,FowersAlyssa
56,KRTLM00020150927eb9r00002,FowersAlyssa
57,MDST000020151120ebbk0001r,FowersAlyssa
58,PHBW000020150709eb790000o,FowersAlyssa
59,ATPHAM0020150515eb5e0007f,FowersAlyssa
60,DJDN000020151012ebac0024y,FowersAlyssa
61,DEALNEW020150316eb390000a,FowersAlyssa
62,DJDN000020151102ebb2001w5,FowersAlyssa
63,CHEMEC0020150501eb58002ae,FowersAlyssa
64,NBPPBS0020150508eb5900043,FowersAlyssa
65,RTWK000020150501eb540003w,FowersAlyssa
66,JOENG00020150227eb34003c0,FowersAlyssa
67,BHLD000020151023eban0003h,FowersAlyssa
68,WDAN000020150828eb8s0001w,FowersAlyssa
69,DJDN000020150108eb18000zc,FowersAlyssa
70,BIOELSE020150522eb5e0000f,FowersAlyssa
71,RTTNEW0020151106ebb5000gp,FowersAlyssa
72,ATPHAM0020151218ebch00039,FowersAlyssa
73,BIOELSE020150831eb8o0000e,FowersAlyssa
74,BIWK000020150116eb1l000go,FowersAlyssa
75,PBRELS0020150615eb680000k,GoldsteinJoshua
76,BWR0000020150730eb7u000b3,GoldsteinJoshua
77,ATPHAM0020150423eb4k00065,GoldsteinJoshua
78,BWR0000020151019ebaj000g3,GoldsteinJoshua
79,MDST000020150529eb67000iw,GoldsteinJoshua
80,NANLEB0020150807eb85000q2,GoldsteinJoshua
81,FREG000020151222ebcm00023,GoldsteinJoshua
82,RTNW000020150702eb72000ff,GoldsteinJoshua
83,OBWK000020150522eb5u00024,GoldsteinJoshua
84,FWIR000020151123ebc10000q,GoldsteinJoshua
85,ATPHAM0020151031ebas0008k,GoldsteinJoshua
86,DJDN000020150105eb15001vz,GoldsteinJoshua
87,BIOELSE020150407eb3q0000p,GoldsteinJoshua
88,DJDN000020150304eb340038c,GoldsteinJoshua
89,BIWK000020150612eb6h0006s,GoldsteinJoshua
90,JOENG00020150313eb3i000k8,GoldsteinJoshua
91,PHBW000020150123eb1q0000g,GoldsteinJoshua
92,INVDAI0020150317eb3g00002,GoldsteinJoshua
93,J000000020150808eb8800015,GoldsteinJoshua
94,BIWK000020150619eb6o000wo,GoldsteinJoshua
95,CTRW000020150619eb6m000g9,GoldsteinJoshua
96,ATPHAM0020151030ebat0006f,GoldsteinJoshua
97,HNFRDSNT20150502eb35000qq,GoldsteinJoshua
