"","Var1","Freq"
"1","JOENG00020150612eb6h00039",6
"2","BIWK000020150612eb6h0006s",5
"3","BHLD000020150518eb5d00011",4
"4","BIOELSE020151117ebb90001r",4
"5","BWR0000020151019ebaj000g3",4
"6","CTRW000020150501eb54000m3",4
"7","DEALNEW020150316eb390000a",4
"8","DJDN000020150812eb8c001oy",4
"9","INDFED0020150805eb850020a",4
"10","AIWINE0020150619eb6k000s1",3
"11","ATPHAB0020151019ebaj00036",3
"12","ATPHAM0020150515eb5e0007f",3
"13","ATPHAM0020150602eb5t00030",3
"14","ATPHAM0020151030ebat0006f",3
"15","ATPHAM0020151112ebba0005o",3
"16","BHLD000020151023eban0003h",3
"17","BIOELSE020150930eb9p0000u",3
"18","BNZNGA0020150326eb3q0005m",3
"19","BWR0000020150209eb290004b",3
"20","CHWKNW0020150410eb4e00050",3
"21","DJDN000020150116eb1g002ak",3
"22","DJDN000020150403eb430019x",3
"23","DJDN000020151012ebac0001t",3
"24","HAMW000020150130eb26001ab",3
"25","HAMW000020150529eb6500135",3
"26","MHWK000020150612eb6f0001v",3
"27","MPRMPR0020150929eb9s0000b",3
"28","PHBW000020150612eb6f00037",3
"29","STLBJO0020150611eb6b0002w",3
"30","APRS000020150401eb41008qa",2
"31","ATDOMB0020150522eb5m0005r",2
"32","ATPHAB0020150415eb4f0005n",2
"33","ATPHAB0020151212ebcc0000d",2
"34","ATPHAM0020150115eb1e000eq",2
"35","ATPHAM0020150206eb24000eq",2
"36","ATPHAM0020150518eb5d0003g",2
"37","ATPHAM0020150602eb5t0008f",2
"38","ATPHAM0020150831eb8u000bn",2
"39","ATPHAM0020151008eba800090",2
"40","ATPHAM0020151218ebch00039",2
"41","BIOELSE020150407eb3q0000p",2
"42","BIOELSE020150831eb8o0000e",2
"43","BIOELSE020150903eb8s0001l",2
"44","BIWK000020150417eb4m000ps",2
"45","BIWK000020151216ebcg0004y",2
"46","BTBW000020150921eb9l0000h",2
"47","BWR0000020150217eb2h00047",2
"48","BWR0000020150609eb69000gh",2
"49","CHEMEC0020150515eb5m0002h",2
"50","CHPR000020150819eb8b0001n",2
"51","CHPR000020150904eb8v0000i",2
"52","CTRW000020150424eb4r000ga",2
"53","CTRW000020150619eb6m000g9",2
"54","DAIM000020150615eb6g0000d",2
"55","DJDN000020150105eb15001vz",2
"56","DJDN000020150108eb18000zc",2
"57","DJDN000020150302eb320019u",2
"58","DJDN000020150305eb35002ui",2
"59","DJDN000020150311eb3b004c0",2
"60","DJDN000020150702eb72001pv",2
"61","DJDN000020150707eb77002sk",2
"62","DJDN000020150728eb7s002si",2
"63","DJDN000020150805eb85003sc",2
"64","DJDN000020151012ebac0024y",2
"65","DJDN000020151209ebc9002np",2
"66","DJDN000020151214ebce001wg",2
"67","DJDN000020151228ebcs00258",2
"68","DRGW000020150417eb4o000f5",2
"69","DRGW000020150612eb6j0008h",2
"70","DRGW000020150619eb6q00057",2
"71","DRGW000020151127ebbr0002q",2
"72","DRIDY00020150623eb6n00002",2
"73","ECTDEL0020151027ebar0000r",2
"74","ENPNEW0020150914eb9e00078",2
"75","FLYWAL0020150304eb340033j",2
"76","GLOMCP0020151103ebb30004l",2
"77","GLOMCP0020151105ebb500ky4",2
"78","GNVL000020160213ebbo000hp",2
"79","GRAY000020150901eb910002v",2
"80","HAMW000020150410eb4h0004r",2
"81","HAMW000020150529eb65001p3",2
