"","Timestamp","ID","Freq","labeler_allocated_once","labeler_default","innovationYes","Phase","Drugname","Companyname","new2market","new2company","defaultlabel","Allocation_Freq.y"
"14","7/24/2019 11:59:34","ATDOMB0020150522eb5m0005r",2,"CohenSamantha","NA","No","Unsure","","","Unsure","Unsure","No",1
"15","7/24/2019 12:04:40","ATDOMB0020150522eb5m0005r",2,"CohenSamantha","NA","No","","","","","","No",1
"19","7/24/2019 11:32:17","ATPHAB0020150415eb4f0005n",2,"CohenSamantha","NA","Yes","Approved by FDA but not scheduled to be launched","Cefixime","","No","Unsure","No",1
"20","7/24/2019 11:39:35","ATPHAB0020150415eb4f0005n",2,"CohenSamantha","NA","Yes","Available to consumers (has been launched on the market)","Cefixime","","No","No","No",1
"46","7/25/2019 14:06:42","ATPHAM0020150602eb5t0008f",2,"PietrowiczSean","NA","No","","","","","","No",1
"47","7/24/2019 12:23:36","ATPHAM0020150602eb5t0008f",2,"PietrowiczSean","NA","Yes","Approved by FDA and scheduled to be launched","Quell","Quell Relief","Unsure","Unsure","No",1
"125","7/24/2019 12:01:50","BWR0000020150209eb290004b",3,"Extra2","NA","Yes","Undergoing clinical trials","LJPC-501","La Jolla","Yes","Unsure","No",1
"126","7/24/2019 11:41:37","BWR0000020150209eb290004b",3,"Extra2","NA","Yes","FDA application submission and/or FDA testing","LJPC-501","La Jolla","Yes","No","No",1
"127","7/25/2019 13:44:33","BWR0000020150209eb290004b",3,"Extra2","NA","Yes","Undergoing clinical trials","LJPC-501","La Jolla Pharmaceutical Company","Yes","No","No",1
"143","7/24/2019 11:41:04","CHEMEC0020150515eb5m0002h",2,"CohenSamantha","NA","No","","","","","","No",1
"144","7/24/2019 11:46:30","CHEMEC0020150515eb5m0002h",2,"CohenSamantha","NA","No","Unsure","","","Unsure","Unsure","No",1
"148","7/24/2019 11:43:51","CHPR000020150819eb8b0001n",2,"KorkmazGizem","NA","No","","","","","","No",1
"149","7/24/2019 11:56:47","CHPR000020150819eb8b0001n",2,"KorkmazGizem","NA","No","","","","","","No",1
