"","Var1","Freq"
"1","AIWFIE0020150928eb9s0002w",1
"2","AIWINE0020150619eb6k000s1",2
"3","ALRAQNEG20151001eb9u0002u",2
"4","AMHL000020150313eb3d0000a",1
"5","AMHL000020150513eb5d00005",1
"6","APRS000020150401eb41008qa",2
"7","APRS000020150513eb5d00d72",1
"8","APRS000020150819eb8j00030",1
"9","APRS000020150916eb9g00and",1
"10","APRS000020151116ebbg00a3k",1
"11","APRS000020151119ebbj00acv",2
"12","ATDOMB0020150522eb5m0005r",1
"13","ATEHEA0020150512eb5c00001",1
"14","ATPATN0020150601eb610000g",2
"15","ATPHAB0020150119eb1j00006",1
"16","ATPHAB0020150415eb4f0005n",1
"17","ATPHAB0020150514eb5e0005o",1
"18","ATPHAB0020151019ebaj00036",3
"19","ATPHAB0020151212ebcc0000d",3
"20","ATPHAM0020150110eb18000bc",1
"21","ATPHAM0020150115eb1c0008g",2
"22","ATPHAM0020150115eb1e000eq",2
"23","ATPHAM0020150121eb1l000e1",1
"24","ATPHAM0020150204eb220003q",1
"25","ATPHAM0020150205eb24000gz",1
"26","ATPHAM0020150206eb24000eq",2
"27","ATPHAM0020150303eb320005r",1
"28","ATPHAM0020150423eb4k00065",2
"29","ATPHAM0020150501eb4u0000r",1
"30","ATPHAM0020150515eb5e0007f",2
"31","ATPHAM0020150518eb5d0003g",2
"32","ATPHAM0020150521eb5j0003c",1
"33","ATPHAM0020150527eb5q0006d",1
"34","ATPHAM0020150529eb5r000bt",1
"35","ATPHAM0020150602eb5t00030",2
"36","ATPHAM0020150602eb5t0008f",1
"37","ATPHAM0020150627eb6o00098",1
"38","ATPHAM0020150627eb6p00093",1
"39","ATPHAM0020150701eb6u0009g",1
"40","ATPHAM0020150724eb7n0006d",2
"41","ATPHAM0020150725eb7o0005u",1
"42","ATPHAM0020150806eb8500065",1
"43","ATPHAM0020150807eb850002u",2
"44","ATPHAM0020150831eb8u000bn",2
"45","ATPHAM0020150902eb910008k",1
"46","ATPHAM0020150930eb9u000el",2
"47","ATPHAM0020151009eba80002e",1
"48","ATPHAM0020151009eba80008e",1
"49","ATPHAM0020151023ebal000bg",2
"50","ATPHAM0020151030ebat0006f",2
"51","ATPHAM0020151031ebas0008k",1
"52","ATPHAM0020151112ebba0005o",2
"53","ATPHAM0020151112ebbb0000b",2
"54","ATPHAM0020151120ebbj000ec",2
"55","ATPHAM0020151125ebbo0002v",1
"56","ATPHAM0020151215ebce0000h",3
"57","ATPHAM0020151218ebch00039",2
"58","ATTOPN0020150823eb8l00006",1
"59","BBPUB00020151112ebbc000ea",1
"60","BHLD000020150518eb5d00011",3
"61","BHLD000020151023eban0003h",2
"62","BIOELSE020150123eb1g00013",1
"63","BIOELSE020150407eb3q0000p",2
"64","BIOELSE020150522eb5e0000f",1
"65","BIOELSE020150708eb720000e",1
"66","BIOELSE020150818eb8a00007",1
"67","BIOELSE020150831eb8o0000e",2
"68","BIOELSE020150903eb8s0001l",2
"69","BIOELSE020150916eb990001u",1
"70","BIOELSE020150930eb9p0000u",2
"71","BIOELSE020151007eb9u00011",1
"72","BIOELSE020151117ebb90001r",3
"73","BIOELSE020160107ebcn0000e",2
"74","BIWK000020150109eb1e001cc",1
"75","BIWK000020150116eb1l000go",1
"76","BIWK000020150213eb2i0014r",1
"77","BIWK000020150306eb3b000hh",1
"78","BIWK000020150417eb4m000ps",2
"79","BIWK000020150515eb5k000no",2
"80","BIWK000020150529eb63000tm",1
"81","BIWK000020150612eb6h00021",2
"82","BIWK000020150612eb6h0006s",3
"83","BIWK000020150619eb6o000wo",1
"84","BIWK000020150703eb730008f",1
"85","BIWK000020150909eb99000fr",1
"86","BIWK000020151216ebcg0004y",1
"87","BNZNGA0020150326eb3q0005m",4
"88","BNZNGA0020150610eb6a000jh",1
"89","BOSBJO0020150319eb3j0008e",2
"90","BOSBJO0020150508eb580002u",1
"91","BOSBJO0020151002eba20008e",1
"92","BSFLVO0020151030ebau0005m",1
"93","BTBW000020150206eb290001v",1
"94","BTBW000020150921eb9l0000h",2
"95","BUSWRD0020150821eb8l0028m",1
"96","BWR0000020150112eb1c0005a",1
"97","BWR0000020150209eb290004b",1
"98","BWR0000020150217eb2h00047",2
"99","BWR0000020150227eb2r0000g",1
"100","BWR0000020150305eb350006b",1
"101","BWR0000020150609eb69000gh",2
"102","BWR0000020150720eb7k00096",2
"103","BWR0000020150730eb7u000b3",1
"104","BWR0000020150825eb8p0001a",1
"105","BWR0000020151019ebaj000g3",3
"106","BWR0000020151030ebau0000k",1
"107","CCT0000020150520eb5i0000a",2
"108","CGAZ000020150130eb1u0000a",1
"109","CHDR000020150609eb4r00021",1
"110","CHEMEC0020150501eb58002ae",2
"111","CHEMEC0020150515eb5m0002h",1
"112","CHEMEC0020150925eb9p00002",1
"113","CHEMEC0020151225ebcp000sm",1
"114","CHIMOG0020151019eba90000b",1
"115","CHPR000020150129eb1q0000e",1
"116","CHPR000020150302eb2p0000b",2
"117","CHPR000020150713eb770001c",2
"118","CHPR000020150819eb8b0001n",2
"119","CHPR000020150904eb8v0000i",2
"120","CHPR000020150908eb9200029",1
"121","CHPR000020150916eb990001v",1
"122","CHPR000020150923eb9g00016",1
"123","CHPR000020151023ebag00008",1
"124","CHPR000020151105ebat0000n",1
"125","CHPR000020151123ebbc0000k",2
"126","CHWKNW0020150410eb4e00050",1
"127","CINEWA0020151008eba70002w",1
"128","CLADV00020150605eb6100003",1
"129","CNEWAS0020150609eb69001e8",1
"130","CNEWAS0020151020ebak001s0",1
"131","CONGDP0020150514eb5d00063",3
"132","CTRW000020150102eb150002f",1
"133","CTRW000020150109eb1c0000i",1
"134","CTRW000020150109eb1c000bj",2
"135","CTRW000020150306eb39000ad",1
"136","CTRW000020150424eb4r000ga",3
"137","CTRW000020150501eb54000m3",4
"138","CTRW000020150529eb6100017",3
"139","CTRW000020150612eb6f0005v",1
"140","CTRW000020150619eb6m000g9",3
"141","CTRW000020150626eb6t000a0",2
"142","DAIM000020150615eb6g0000d",1
"143","DALTNC0020150715eb7e00008",1
"144","DATMON0020150114eb1c003gl",1
"145","DEALNEW020150113eb160000j",1
"146","DEALNEW020150316eb390000a",4
"147","DESR000020150815eb8f0003e",1
"148","DJDN000020150105eb15001mn",1
"149","DJDN000020150105eb15001vz",2
"150","DJDN000020150108eb18000zc",3
"151","DJDN000020150108eb18001mg",1
"152","DJDN000020150116eb1g002ak",3
"153","DJDN000020150123eb1n002vd",1
"154","DJDN000020150302eb32000y2",1
"155","DJDN000020150302eb320019u",1
"156","DJDN000020150304eb340038c",1
"157","DJDN000020150305eb35002ui",2
"158","DJDN000020150310eb3a000ok",2
"159","DJDN000020150311eb3b004c0",3
"160","DJDN000020150316eb3g000z4",1
"161","DJDN000020150331eb3v003pl",1
"162","DJDN000020150401eb41003up",1
"163","DJDN000020150403eb430019x",2
"164","DJDN000020150430eb4u0027o",1
"165","DJDN000020150430eb4u002md",1
"166","DJDN000020150506eb56001xv",1
"167","DJDN000020150507eb57001nu",1
"168","DJDN000020150511eb5b004nh",2
"169","DJDN000020150512eb5c001xe",1
"170","DJDN000020150512eb5c002r8",1
"171","DJDN000020150520eb5k00188",1
"172","DJDN000020150528eb5s002th",1
"173","DJDN000020150604eb64003sw",1
"174","DJDN000020150609eb69001qd",1
"175","DJDN000020150615eb6f003t8",1
"176","DJDN000020150626eb6q000mi",1
"177","DJDN000020150701eb710019l",1
"178","DJDN000020150702eb72001pv",2
"179","DJDN000020150707eb77002sk",2
"180","DJDN000020150709eb790018y",1
"181","DJDN000020150713eb7d0021i",1
"182","DJDN000020150728eb7s001k1",1
"183","DJDN000020150728eb7s002si",2
"184","DJDN000020150805eb85003sc",2
"185","DJDN000020150806eb86003ei",1
"186","DJDN000020150807eb87002hd",1
"187","DJDN000020150812eb8c001oy",3
"188","DJDN000020150908eb98001ch",1
"189","DJDN000020150930eb9u001fg",2
"190","DJDN000020151001eba1002ac",1
"191","DJDN000020151005eba5001ap",1
"192","DJDN000020151012ebac0001t",3
"193","DJDN000020151012ebac0024y",2
"194","DJDN000020151102ebb2001w5",1
"195","DJDN000020151104ebb400426",2
"196","DJDN000020151119ebbj003f3",1
"197","DJDN000020151124ebbo0048a",1
"198","DJDN000020151209ebc9002ac",1
"199","DJDN000020151209ebc9002np",2
"200","DJDN000020151214ebce001wg",3
"201","DJDN000020151215ebcf0038v",1
"202","DJDN000020151218ebci0002z",1
"203","DJDN000020151228ebcs00258",2
"204","DNVR000020151227ebco0000d",1
"205","DRGW000020150109eb1g0003u",1
"206","DRGW000020150206eb2d0000g",1
"207","DRGW000020150306eb3d0002m",1
"208","DRGW000020150417eb4o000f5",2
"209","DRGW000020150529eb650005a",1
"210","DRGW000020150612eb6j0008h",1
"211","DRGW000020150619eb6q00057",3
"212","DRGW000020150925eb9p0004p",1
"213","DRGW000020151127ebbr0002q",2
"214","DRIDY00020150520eb5k00006",4
"215","DRIDY00020150623eb6n00002",2
"216","DTMNTR0020150616eb6f0004l",1
"217","ECTDEL0020151027ebar0000r",2
"218","EMNEAG0020150721eb7k0002y",1
"219","ENPNEW0020150130eb1u00044",2
"220","ENPNEW0020150914eb9e00078",2
"221","ENPNEW0020151104ebb400003",1
"222","FBCOM00020151027ebar000xh",1
"223","FLYWAL0020150304eb340033j",3
"224","FLYWAL0020150623eb6n0019g",1
"225","FNWIR00020150618eb6i000mc",1
"226","FNWIR00020151117ebbh000b6",1
"227","FREG000020151222ebcm00023",2
"228","FWIR000020151123ebc10000q",1
"229","GENT000020150206eb2c0000q",1
"230","GLOMCP0020150730eb7u004vk",1
"231","GLOMCP0020151103ebb30004l",2
"232","GLOMCP0020151105ebb500ky4",2
"233","GLOMCP0020151112ebbc001dj",1
"234","GLOMCP0020151116ebbg00bmw",1
"235","GLOMCP0020151218ebci00i2y",1
"236","GNVL000020160213ebbo000hp",1
"237","GRAY000020150901eb910002v",2
"238","HAMW000020141226eb12001lg",1
"239","HAMW000020150109eb1g004bm",1
"240","HAMW000020150130eb26001ab",2
"241","HAMW000020150206eb2d000v5",1
"242","HAMW000020150213eb2k00405",1
"243","HAMW000020150306eb3d0029j",2
"244","HAMW000020150410eb4h0004r",2
"245","HAMW000020150508eb5f0049t",1
"246","HAMW000020150529eb6500135",4
"247","HAMW000020150529eb65001p3",1
"248","HAMW000020150723eb7n000ai",2
"249","HAMW000020150820eb8k000bg",2
"250","HAMW000020150828eb8s0005o",1
"251","HAMW000020151002eba20010j",1
"252","HAMW000020151106ebb6000jz",1
"253","HNASNI0020150723eb7n000mh",1
"254","HNASNI0020150805eb85000rx",1
"255","HNFRDSNT20150502eb35000qq",2
"256","HOU0000020150623eb6k00027",2
"257","HTACCF0020150319eb3j000a1",1
"258","HUGNEN0020150914eb9e001xh",1
"259","IDAHOSJ020150503eb530001f",2
"260","IFDAW00020151023eban00009",1
"261","INDFED0020150114eb1d002gf",1
"262","INDFED0020150116eb1g001nx",2
"263","INDFED0020150805eb850020a",4
"264","INDFED0020150826eb8q001nj",1
"265","INDFED0020151216ebce009yk",1
"266","INVDAI0020150317eb3g00002",4
"267","INVDAI0020150429eb4t0001g",1
"268","INVEN00020151208ebc7000b6",1
"269","INVWK00020151106ebb6001j5",1
"270","IUST000020150424eb4o0000h",1
"271","J000000020150617eb6h00033",1
"272","J000000020150808eb8800015",2
"273","J000000020150819eb8j0002z",1
"274","J000000020150826eb8q00034",1
"275","JACBJO0020151023eban00005",1
"276","JNWP000020150325eb3p0000f",1
"277","JOENG00020150227eb34003c0",1
"278","JOENG00020150313eb3i0002v",1
"279","JOENG00020150313eb3i000k8",1
"280","JOENG00020150403eb480042x",1
"281","JOENG00020150612eb6h00039",1
"282","JOENG00020150928eb9s000wd",1
"283","JOENG00020151102ebb2001ss",2
"284","JORTI00020150626eb6q0008i",2
"285","JORTI00020150921eb9i0008g",4
"286","JTRANS0020151009eba90007r",2
"287","KANECC0020150513eb5d00003",1
"288","KHALEJ0020151106ebb50005q",2
"289","KRTDR00020150715eb7f0005l",1
"290","KRTLM00020150927eb9r00002",1
"291","KUWNA00020150123eb1m00001",1
"292","KUWNA00020151215ebce000b8",2
"293","LBA0000020150109eb1900gcx",1
"294","LBA0000020150424eb4o00qgt",1
"295","LBA0000020150501eb5100hd2",1
"296","LBA0000020150702eb7200qb9",1
"297","LBA0000020150720eb7k00jll",1
"298","LBA0000020150722eb7m00eyx",1
"299","LBA0000020150814eb8e00dej",1
"300","LBA0000020151106ebb600nel",1
"301","LBA0000020151208ebc800rby",1
"302","LFSW000020150130eb23001n2",1
"303","LFSW000020150213eb2h0034x",1
"304","LFSW000020150612eb6g00216",1
"305","LFSW000020151020ebak001dv",4
"306","LONGNJ0020151117ebbg0002w",1
"307","MAWK000020150102eb1500004",1
"308","MDST000020150213eb2m000us",1
"309","MDST000020150529eb67000iw",1
"310","MDST000020151120ebbk0001r",2
"311","MENAFI0020150527eb5q0002t",1
"312","MENAFI0020151028ebas0000b",1
"313","MHWK000020150522eb5p00079",1
"314","MHWK000020150612eb6f0001v",4
"315","MLFRDDN020151029ebas00007",2
"316","MPRMPR0020150107eb1600003",1
"317","MPRMPR0020150401eb3v00006",1
"318","MPRMPR0020150903eb9200006",2
"319","MPRMPR0020150929eb9s0000b",3
"320","MRKWN00020151106ebb60006x",1
"321","MRNCT00020150202eb1j00011",1
"322","MSP0000020150924eb9k00015",2
"323","MTEU000020150107eb17000gr",1
"324","MTEU000020150414eb4e000gp",1
"325","MTEU000020150618eb6i000dz",1
"326","MTEU000020151001eb9u0002t",1
"327","MTPW000020150330eb3u0066b",3
