Timestamp,Please copy and paste the Document ID of the article you are submitting responses for. ,Does this article mention a new or improved drug that differs from the company’s previous drugs (regardless of whether or not a similar drug is already being sold by another company)?,"Based on the article, what is the current stage of the drug?","Please copy and paste the names of any new drugs mentioned in the article. Be sure that the commas separate the products. If a product name contains a comma, please remove it. ","Please copy and paste the names of any companies that introduced the new drug(s). Be sure that the commas separate the company names. If a company name contains a comma, please remove it. ","Based on the article, is the drug new to the market? (The company introduced the drug before other companies, and no similar drugs are already being sold either by this company or by other companies)",Based on the article is this drug new only to the company? (The company introduced a drug that was already available from other companies with little or no additional modification)
7/24/2019 11:16:24,ATPATN0020150601eb610000g,No,,,,,
7/24/2019 11:16:50,CHPR000020151123ebbc0000k,No,,,,,
7/24/2019 11:17:29,MHWK000020150612eb6f0001v,Yes,Available to consumers (has been launched on the market),Guanfacine Extended-Release Tablets,Teva Pharmaceutical Industries Ltd,Yes,No
7/24/2019 11:17:35,FLYWAL0020150623eb6n0019g,Unsure,Undergoing clinical trials,AZD2811,,,
7/24/2019 11:17:37,PRESSA0020151008eba8003uy ,Yes,Available to consumers (has been launched on the market), Provenge,Dendreon,Yes,Yes
7/24/2019 11:17:38,DALTNC0020150715eb7e00008,No,,,,,
7/24/2019 11:17:41,DJDN000020151012ebac0001t ,No,,,,,
7/24/2019 11:17:53,BIOELSE020151117ebb90001r,No,,,,,
7/24/2019 11:17:56,LFSW000020150130eb23001n2 ,No,,,,,
7/24/2019 11:18:15,DJDN000020150930eb9u001fg,Yes,Undergoing clinical trials,Relday,Zogenix Inc,Yes,No
7/24/2019 11:18:35,PBRELS0020151112ebb500001,No,,,,,
7/24/2019 11:18:36,CNEWAS0020151020ebak001s0,No,,,,,
7/24/2019 11:18:39,BIOELSE020151117ebb90001r,No,,,,,
7/24/2019 11:18:59,CONGDP0020150514eb5d00063 ,No,,,,,
7/24/2019 11:19:00,ATPHAM0020151112ebbb0000b,No,,,,,
7/24/2019 11:19:17,PZON000020151124ebbo0000y ,Yes,Undergoing clinical trials,"IV/IM meloxicam, Dex-IN",Recro Pharma Inc.,Unsure,Unsure
7/24/2019 11:19:18,KANECC0020150513eb5d00003,No,,,,,
7/24/2019 11:19:24,HOU0000020150623eb6k00027,Yes,Undergoing clinical trials,TKM-Ebola-Guinea,Tekmira Pharmaceuticals Corp.,Yes,Yes
7/24/2019 11:19:26,DESR000020150815eb8f0003e,No,,,,,
