"Source","Target","Weight"
"snphin","spadrn",2
"snphin","usfda",2
"spadrn","usfda",2
"mmnpha","natpbo",1
"mmnpha","sndoz",1
"mmnpha","supus",1
"mmnpha","usfda",1
"mmnpha","teviy",1
"natpbo","sndoz",1
"natpbo","supus",1
"natpbo","usfda",1
"natpbo","teviy",1
"sndoz","supus",1
"sndoz","usfda",8
"sndoz","teviy",1
"supus","usfda",1
"supus","teviy",1
"usfda","teviy",1
"cdcfui","cmpuht",1
"cdcfui","rswlpk",1
"cdcfui","usfda",2
"cdcfui","wpostn",1
"cmpuht","rswlpk",1
"cmpuht","usfda",1
"cmpuht","wpostn",1
"rswlpk","usfda",1
"rswlpk","wpostn",1
"usfda","wpostn",1
"abvbba","almam",1
"abvbba","carmax",1
"abvbba","ccred",1
"abvbba","corn",1
"abvbba","csxc",1
"abvbba","dupnt",1
"abvbba","genwth",1
"abvbba","memcem",1
"abvbba","orcle",1
"abvbba","petbrs",1
"abvbba","pfiz",2
"abvbba","phelc",1
"abvbba","philm",1
"abvbba","soccor",1
"abvbba","twnit",1
"abvbba","wlmrt",1
"abvbba","xrxco",1
"almam","carmax",1
"almam","ccred",1
"almam","corn",1
"almam","csxc",1
"almam","dupnt",1
"almam","genwth",1
"almam","memcem",1
"almam","orcle",1
"almam","petbrs",1
"almam","pfiz",1
"almam","phelc",1
"almam","philm",1
"almam","soccor",1
"almam","twnit",1
"almam","wlmrt",1
"almam","xrxco",1
"carmax","ccred",1
"carmax","corn",1
"carmax","csxc",1
"carmax","dupnt",1
"carmax","genwth",1
"carmax","memcem",1
"carmax","orcle",1
"carmax","petbrs",1
"carmax","pfiz",1
"carmax","phelc",1
"carmax","philm",1
"carmax","soccor",1
"carmax","twnit",1
"carmax","wlmrt",1
"carmax","xrxco",1
"ccred","corn",1
"ccred","csxc",1
"ccred","dupnt",1
"ccred","genwth",1
"ccred","memcem",1
"ccred","orcle",1
"ccred","petbrs",1
"ccred","pfiz",1
"ccred","phelc",1
"ccred","philm",1
"ccred","soccor",1
"ccred","twnit",1
"ccred","wlmrt",1
"ccred","xrxco",1
"corn","csxc",1
"corn","dupnt",1
"corn","genwth",1
"corn","memcem",1
"corn","orcle",1
"corn","petbrs",1
"corn","pfiz",1
