Maintainer.email.domain,email.domain_count,email.domain_unique_name
muon-stat.com,2,1
rapid7.com,1,1
rud.is,17,1
chasset.net,2,1
gmail.com,3857,2246
wcl.ac.at,1,1
stat.ubc.ca,16,6
pobox.com,2,2
yahoo.fr,17,9
rapporter.net,5,2
card.com,3,1
outlook.fr,1,1
uni-greifswald.de,4,4
humanpredictions.com,1,1
bertramieong.com,1,1
cirg.hu,1,1
inra.fr,19,12
com-one.com,2,1
baumgrt.com,3,1
stat.osu.edu,1,1
jimvine.co.uk,1,1
xrrch.com,1,1
daqana.com,1,1
icloud.com,14,12
tcd.ie,8,8
jsonar.com,1,1
mathematik.uni-stuttgart.de,1,1
systeminsights.com,2,2
unipd.it,13,7
mdanderson.org,12,8
rady.ucsd.edu,7,1
illposed.net,4,1
bnosac.be,11,1
helsinki.fi,22,10
debian.org,45,1
biorankings.com,4,1
silicovore.com,17,1
colostate.edu,13,7
uva.nl,16,11
gov.bc.ca,2,2
jabiruventures.com,2,1
nceas.ucsb.edu,4,1
stern.nyu.edu,4,2
berkeley.edu,61,18
empirical.com,2,2
microsoft.com,7,2
h2o.ai,2,2
nyu.edu,12,9
kaalam.ai,1,1
math.aau.dk,16,4
collective.com,2,1
rstudio.com,95,15
cos.name,10,1
stanford.edu,57,34
google.com,3,2
ucla.edu,13,10
ohdsi.org,2,1
stokely.org,1,1
unm.edu,2,2
phac-aspc.gc.ca,1,1
ssb.no,4,3
univie.ac.at,10,5
plavox.info,1,1
tatvic.com,1,1
iu.edu,3,3
silentspring.org,1,1
mu-sigma.com,3,2
pedroinnecco.com,1,1
labkey.com,1,1
outlook.com,51,34
axibase.com,1,1
scipi.net,3,1
stat.byu.edu,2,1
data.world,2,1
capitalone.com,2,2
yahoo.co.uk,3,2
exmachinatech.net,1,1
croptrust.org,1,1
cloudera.com,1,1
jhu.edu,23,16
fredhutch.org,12,7
sinc.unl.edu.ar,1,1
sammeth.net,1,1
basistech.com,1,1
gmx.com,5,3
bagualu.net,1,1
uw.edu,76,44
uni-ulm.de,8,4
chicagobooth.edu,8,6
zeugner.eu,1,1
googlemail.com,48,28
roswellpark.org,1,1
tamu.edu,2,2
cytobank.org,2,1
email.wustl.edu,1,1
ulb.ac.be,4,4
jimmy.harvard.edu,8,5
gene.com,8,2
utoronto.ca,16,11
nhri.org.tw,2,2
mail.nankai.edu.cn,1,1
hotmail.com,95,63
yahoo.com,57,44
parisdescartes.fr,9,5
ucl.ac.uk,28,15
cbs.dtu.dk,4,3
hominine.net,1,1
frisch.uio.no,2,1
usc.edu,14,9
ifi.uio.no,1,1
kiwisound.de,1,1
salud.unm.edu,1,1
uni-muenster.de,16,6
mailbox.org,26,4
braju.com,27,1
hotmail.co.jp,1,1
fordham.edu,2,2
NA,44,2
mrc-epid.cam.ac.uk,3,2
r-project.org,125,17
u-paris10.fr,9,3
p-value.net,6,1
uni-goettingen.de,13,10
fire.ly,1,1
ambiata.com,1,1
gmx.net,26,16
mail.sdsu.edu,1,1
ilo.org,1,1
club.fr,8,1
poisotlab.io,2,1
arcor.de,6,2
jameshoward.us,3,1
aqua.dtu.dk,1,1
iki.fi,18,8
ohsu.edu,2,2
rockhead.biz,1,1
case.edu,11,7
lreis.ac.cn,2,2
pik-potsdam.de,6,3
anl.gov,2,2
campus.lmu.de,2,2
jakob-r.de,1,1
inria.fr,7,4
acm.org,14,7
ucdavis.edu,26,20
mcmaster.ca,16,5
bconnelly.net,2,1
googlegroups.com,2,1
moeding.net,1,1
phistat.com,1,1
recyclebin.jp,2,1
hiroshima-u.ac.jp,3,1
carnivoreconservation.org,2,1
stat.uni-muenchen.de,26,16
ebi.ac.uk,4,2
lanl.gov,1,1
ruhr-uni-bochum.de,5,4
byu.net,2,1
columbia.edu,24,15
diegovalle.net,1,1
lamsteinconsulting.com,4,1
civisanalytics.com,1,1
jaredlander.com,3,2
broadinstitute.org,3,3
timelyportfolio.com,5,1
users.sourceforge.net,2,2
clayden.org,10,1
leventhal.ch,1,1
gmx.at,18,4
pstat.ucsb.edu,1,1
univ-paris13.fr,1,1
umn.edu,70,44
alephdue.com,1,1
cs.ubc.ca,3,2
aist.go.jp,1,1
stat.berkeley.edu,4,3
uptake.com,2,2
fb.com,1,1
nanx.me,9,1
wanadoo.fr,5,5
qinwenfeng.com,3,1
ensimag.fr,7,1
tibco.com,6,1
cshl.edu,2,1
sjp.co.nz,1,1
pioneer.com,1,1
fau.de,9,5
korobeynikov.info,2,1
wenchel.com,1,1
cal.berkeley.edu,1,1
upenn.edu,9,8
vumc.org,2,2
ceh.ac.uk,3,2
curtin.edu.au,8,1
garvan.org.au,2,2
fkf.mpg.de,1,1
istat.it,2,2
posteo.de,13,8
ec.europa.eu,1,1
cbs.nl,1,1
nbb.be,1,1
mgh.harvard.edu,3,2
yale.edu,24,15
mimuw.edu.pl,2,2
qf.org.qa,3,3
iarc.fr,2,1
unina2.it,3,1
univ-angers.fr,3,2
scbit.org,2,2
andrewheiss.com,1,1
mi.parisdescartes.fr,1,1
unsw.edu.au,23,9
email.wm.edu,2,2
unizar.es,6,3
softwareag.com,1,1
zementis.net,2,1
imbi.uni-freiburg.de,9,6
jouy.inra.fr,5,4
wur.nl,8,5
nd.edu,31,10
wcs.org,5,1
alumni.ubc.ca,3,1
ed.ac.uk,12,10
uni-due.de,5,5
hbku.edu.qa,6,2
abbvie.com,1,1
chori.org,1,1
mail.ru,4,2
sun.ac.za,3,3
geo.uni-marburg.de,1,1
u.washington.edu,17,14
stat.math.ethz.ch,39,12
fmach.it,6,4
nottingham.ac.uk,2,2
live.com,28,10
well.ox.ac.uk,4,3
biologie.uni-regensburg.de,1,1
insa-toulouse.fr,4,1
stat.stanford.edu,12,3
soton.ac.uk,4,3
steinmetz.org,2,1
hotmail.de,2,2
uncc.edu,3,2
probstatinfo.com,1,1
free.fr,5,5
mccombs.utexas.edu,1,1
univ-lemans.fr,2,2
erasmusmc.nl,7,2
polyu.edu.hk,2,2
gforge.se,4,1
unimi.it,19,10
utk.edu,6,4
porto.ucp.pt,2,2
idsia.ch,1,1
zhaw.ch,5,4
uconn.edu,12,8
ieseg.fr,1,1
bifie.at,1,1
depauw.edu,8,3
sebastiangibb.de,4,1
duke.edu,23,11
ufscar.br,1,1
maastrichtuniversity.nl,4,3
rsm.nl,1,1
cicese.edu.mx,1,1
stat.duke.edu,7,6
uchicago.edu,14,13
felixhenninger.com,1,1
gmx.de,35,22
yorku.ca,17,4
student.gsu.edu,1,1
vanderbilt.edu,20,16
wzb.eu,4,1
umcg.nl,4,3
physics.org,3,1
novartis.com,2,2
email.unc.edu,6,6
ihg.com,1,1
nuffield.ox.ac.uk,3,2
uni-wuerzburg.de,2,2
uqam.ca,3,2
math.uni-mannheim.de,3,1
profish-technology.de,2,2
uca.es,5,2
nioz.nl,18,2
cyf-kr.edu.pl,1,1
asu.edu,11,9
sim.ul.pt,4,1
imperial.ac.uk,22,14
agroparistech.fr,10,8
163.com,26,21
roche.com,5,4
u-psud.fr,10,5
stud.uni-due.de,1,1
rexamine.com,5,3
stat.nthu.edu.tw,2,1
rug.nl,13,7
tuwien.ac.at,14,4
umich.edu,50,31
uoguelph.ca,7,4
openreliability.org,2,1
umkc.edu,1,1
hhu.de,12,8
imsb.biol.ethz.ch,1,1
imag.fr,2,1
umd.edu,5,4
zoo.ox.ac.uk,2,2
utdallas.edu,6,3
business-science.io,8,2
aapahinnovations.com,1,1
ime.usp.br,3,3
ifspm.uzh.ch,1,1
ca.usda.gov,3,2
tsinghua.edu.cn,2,1
illinois.edu,16,9
mpi-inf.mpg.de,1,1
uiowa.edu,34,19
jhmi.edu,7,3
ovgu.de,2,1
biostat.uni-hannover.de,8,1
correo.uaa.mx,1,1
stkpp.org,3,1
kogalur.com,3,1
stjude.org,4,3
auckland.ac.nz,42,16
email.arizona.edu,1,1
pfaffikus.de,7,1
hsph.harvard.edu,12,9
johnhaman.org,1,1
bk.ru,1,1
dwd.de,1,1
birkdiedenhofen.de,2,1
gwu.edu,5,4
gluonics.com,3,1
leicester.ac.uk,2,1
uwaterloo.ca,22,13
temple.edu,19,12
upc.edu,9,5
amplify.com,1,1
ccf.org,5,2
osu.edu,16,12
hsc.utah.edu,3,1
toxstrategies.com,1,1
mail.uoguelph.ca,1,1
american.edu,7,3
uzh.ch,6,5
ens-lyon.fr,6,2
spbu.ru,3,1
polimi.it,6,5
qatar-med.cornell.edu,1,1
monash.edu,16,9
menne-biomed.de,2,1
foxmail.com,1,1
conservation.org,4,1
jcarroll.com.au,2,1
giub.unibe.ch,1,1
umu.se,5,3
stat.ucla.edu,16,7
wiwi.hu-berlin.de,2,2
colpos.mx,7,3
fas.harvard.edu,25,10
bristol.ac.uk,19,7
myune.edu.au,1,1
beleites.de,1,1
ecoccs.com,3,1
byu.edu,4,2
meyerp.com,1,1
paulstaab.de,2,1
wsl.ch,2,2
mpipz.mpg.de,2,2
uni-graz.at,4,3
yahoo.com.br,15,8
gmit.ie,1,1
dkfz.de,10,7
uni-marburg.de,3,2
ext.ec.europa.eu,2,1
rti.org,3,3
samuelbosch.com,2,1
cgiar.org,7,5
mff.cuni.cz,4,1
usgs.gov,7,7
ieu.uzh.ch,2,1
mpi-bn.mpg.de,1,1
lancaster.ac.uk,30,15
engr.uconn.edu,1,1
ucsd.edu,14,11
biostat.wisc.edu,11,4
eurac.edu,1,1
niaid.nih.gov,13,2
usc.es,6,6
univ-pau.fr,3,2
pitt.edu,9,7
uniovi.es,7,5
xavier.robin.name,1,1
sheffield.ac.uk,4,4
chello.at,9,2
mpib-berlin.mpg.de,2,2
astrazeneca.com,3,2
uni-tuebingen.de,5,4
kristoffer.email,1,1
uclouvain.be,6,4
uni-jena.de,6,4
geax.net,1,1
fh-koeln.de,4,3
unc.edu,21,7
uwyo.edu,3,3
ukaachen.de,1,1
caltech.edu,2,2
bfr.bund.de,1,1
atzmueller.net,1,1
ugr.es,10,8
fs.fed.us,1,1
web.de,29,19
math.su.se,3,2
qut.edu.au,4,3
bentley.edu,1,1
mauriceberk.com,1,1
stat.uconn.edu,2,1
decsai.ugr.es,13,4
georgetowncollege.edu,1,1
iosa.it,1,1
dtu.dk,9,5
wilkox.org,3,1
glasgow.ac.uk,10,4
gcuf.edu.pk,1,1
statistik.tu-dortmund.de,26,14
ravingmantis.com,1,1
userfriendlyscience.com,1,1
ugent.be,14,12
kuleuven.be,12,10
ad.unc.edu,1,1
phonetik.uni-muenchen.de,2,1
princeton.edu,21,16
decisionanalyst.com,1,1
mail.mcgill.ca,12,9
de.ufpe.br,2,2
northeastern.edu,1,1
bms.com,1,1
osu.cz,2,1
utexas.edu,9,5
est.ufmg.br,3,1
gess.ethz.ch,2,2
ku.edu,5,3
yahoo.it,6,4
mathgen.ch,1,1
ipgp.fr,2,2
bgu.ac.il,2,2
uesc.br,1,1
mit.edu,9,6
curie.fr,4,4
ua.edu,2,1
vt.edu,12,6
datanalytics.com,5,1
cumc.columbia.edu,5,4
ki.se,15,10
tno.nl,2,1
sbf.ulaval.ca,1,1
hacettepe.edu.tr,6,3
northwestern.edu,5,5
sbu.ac.ir,2,1
uu.nl,8,5
its.jnj.com,1,1
marianna-u.ac.jp,2,1
bcamath.org,6,4
icube.unistra.fr,2,2
imsweb.com,3,3
nih.gov,6,3
adelaide.edu.au,7,5
inserm.fr,9,6
uvic.cat,4,3
ethz.ch,2,2
unist.ac.kr,1,1
ids-mannheim.de,1,1
nps.edu,5,2
126.com,6,4
gwdg.de,4,4
uni-duesseldorf.de,8,7
gov.harvard.edu,3,1
mail.dcu.ie,1,1
borstein.com,1,1
unich.it,2,1
modares.ac.ir,1,1
u-bordeaux.fr,9,4
uv.es,7,6
fc.ul.pt,2,2
stonybrook.edu,2,2
uniroma1.it,9,7
amss.ac.cn,1,1
ncsu.edu,27,13
bi.no,4,1
stt.msu.edu,3,1
ttl.fi,2,1
fmed.ulaval.ca,2,1
rose-hulman.edu,1,1
