source,target,weight
coloredsoldi,like,2
soldier,wife,2
35,wife,1
american,negrowoman,1
babi,girl,1
bu,woman,1
child,wife,1
civilian,woman,1
clean,girl,1
col,woman,1
colod,girl,1
colorman,like,1
dear,wife,1
father,wife,1
girl,join,1
girlfriend,close,1
graduat,negrowoman,1
holler,rape,1
intend,wife,1
intercours,with,1
interraci,marriag,1
like,brother,1
like,coloredsoldi,1
like,colorwoman,1
like,negro,1
like,negroboi,1
like,negrosoldi,1
like,white,1
marri,life,1
marri,offici,1
marriag,certif,1
meet,whitewoman,1
mother,65,1
mother,camp,1
mother,dad,1
mother,far,1
mother,fuck,1
mother,sister,1
mother,tell,1
mother,wife,1
negro,like,1
negrosoldi,like,1
negrowoman,attain,1
punish,marri,1
reasent,marri,1
sea,marri,1
sex,associ,1
sister,70,1
sister,brother,1
take,marri,1
transfer,marri,1
whip,colorwoman,1
white,girlfriend,1
whiteboi,girl,1
whiteman,like,1
whitewoman,holler,1
whitewoman,immediatli,1
whitewoman,withour,1
wife,aint,1
wife,leav,1
wife,live,1
wife,mother,1
wife,refus,1
wife,secur,1
wife,sick,1
wife,sickli,1
wife,sister,1
wife,sweetheart,1
with,whitewoman,1
with,wife,1
woman,eaven,1
woman,enter,1
woman,insult,1
woman,qualifi,1
