source,target,weight
mother,father,0.706002213814171
sister,brother,0.49856924842064
mother,sister,0.431209418086345
sister,mother,0.431209418086345
sister,father,0.406762262241907
girl,danc,0.336039005662141
marri,singl,0.331341551269504
marri,wife,0.275921229628676
wife,marri,0.275921229628676
marri,famili,0.26904003848284
wife,babi,0.266734139225679
wife,child,0.265555928190448
engag,perform,0.256722735344185
mother,26,0.255307271377824
girl,freedom,0.2367238917402
girl,spirit,0.235869062449301
sister,10,0.232629968585824
wife,worri,0.23019548103012
sister,firm,0.221804930866186
sister,26,0.221804930866186
marri,child,0.219710929424025
wife,famili,0.203101443347891
sister,allot,0.202107345331052
sister,specialist,0.202107345331052
sister,corpor,0.202107345331052
sister,affect,0.202107345331052
mother,mine,0.200080084291016
mother,support,0.200080084291016
woman,industri,0.198042278834705
engag,starv,0.197919916796672
girl,spot,0.197919916796672
girl,music,0.197919916796672
engag,util,0.197919916796672
woman,draft,0.194482057295738
engag,true,0.191155776305426
mother,brother,0.188084265190671
sister,greatli,0.186770537660512
sister,manpow,0.186770537660512
girl,satisfactori,0.180247498795599
girl,keep,0.180247498795599
girl,crowd,0.180247498795599
girl,bright,0.180247498795599
girl,maintain,0.180247498795599
girl,entir,0.180247498795599
sister,shortag,0.17438542962796
sister,law,0.17438542962796
sister,mine,0.17438542962796
sister,dollar,0.17438542962796
sister,space,0.17438542962796
sister,graduat,0.17438542962796
mother,wife,0.168900491425191
wife,mother,0.168900491425191
engag,yard,0.166480460015292
engag,fee,0.166480460015292
girl,brain,0.166480460015292
engag,greatli,0.166480460015292
girl,observ,0.166480460015292
girl,econom,0.166480460015292
girl,effect,0.166480460015292
engag,degre,0.166480460015292
sister,folk,0.164108040711874
wife,home,0.161926780971424
sister,theater,0.155397904812265
girl,intend,0.155357326088228
engag,sure,0.155357326088228
girl,sure,0.155357326088228
girl,develop,0.155357326088228
engag,place,0.155357326088228
girl,caus,0.155357326088228
girl,plan,0.155357326088228
engag,graduat,0.155357326088228
mother,9,0.154652620533331
sister,take,0.153309279419993
marri,provid,0.15136313724353
