Event Name,Date,End,Group,Description,Source
1943 Detroit Race Riot,6/20/1943,6/22/1943,Civil Rights,"The rioting in Detroit began among youths at Belle Isle Park on June 20, 1943; the unrest moved into the city proper and was exacerbated by false rumors of racial attacks in both the black and white communities. It continued until June 22. It was suppressed after 6,000 federal troops were ordered into the city to restore peace. A total of 34 people were killed, 25 of them black and most at the hands of the white police force; 433 were wounded, 75 percent of them black; and property valued at $2 million ($27.5 million in 2015 US dollars) was destroyed. Most of the riot took place in the black area of Paradise Valley, the poorest neighborhood of the city. It occurred in a period of dramatic population increase and social tensions associated with the military buildup of World War II, as Detroit's automotive industry was converted to the war effort.",https://en.wikipedia.org/wiki/1943_Detroit_race_riot
Agana Race Riot,12/24/1944,12/25/1944,Intersection,"The Agana Race Riot (December 24–26, 1944) took place in Agana, Guam, as the result of internal disputes between white and black United States Marines. The riot was one of the most serious incidents between African-American and European-American military personnel in the United States Armed Forces during World War II.",https://en.wikipedia.org/wiki/Agana_race_riot
Executive Order 9981,7/26/1948,7/26/1948,Intersection,"Issued on July 26, 1948, by President Harry S. Truman. It abolished discrimination ""on the basis of race, color, religion or national origin"" in the United States Armed Forces, which led to the end of segregation in the services during the Korean War (1950-1953).",https://en.wikipedia.org/wiki/Executive_Order_9981
Jackie Robinson Starts,4/15/1947,4/15/1947,Civil Rights,"Jack Roosevelt Robinson (January 31, 1919 – October 24, 1972) was an American professional baseball player who became the first African American to play in Major League Baseball (MLB) in the modern era. Robinson broke the baseball color line when he started at first base for the Brooklyn Dodgers on April 15, 1947. When the Dodgers signed Robinson, they heralded the end of racial segregation in professional baseball that had relegated black players to the Negro leagues since the 1880s. Robinson was inducted into the Baseball Hall of Fame in 1962.",https://en.wikipedia.org/wiki/Jackie_Robinson
Pearl Harbor,12/7/1941,12/7/1941,Military,"The attack on Pearl Harbor was a surprise, preemptive military strike by the Imperial Japanese Navy Air Service upon the United States (a neutral country at the time) against the naval base at Pearl Harbor in Honolulu, Territory of Hawaii, just before 8:00am, on Sunday morning, December 7, 1941. The United States formally entered WWII the next day.",https://en.wikipedia.org/wiki/Attack_on_Pearl_Harbor
US joins WWII,12/8/1941,12/8/1941,Military,"Following the attack on Pearl Harbor by the Imperial Japanese Navy Air Service, the United States formally joins the Allied powers in WWII. ",https://en.wikipedia.org/wiki/Military_history_of_the_United_States_during_World_War_II
D-Day,6/6/1944,6/6/1944,Military,"The Allied invasion of Normandy, France during WWII. It was the largest seaborne invasion in history. The operation began the liberation of German-occupied France (and later western Europe) and laid the foundations of the Allied victory on the Western Front.",https://en.wikipedia.org/wiki/Normandy_landings
End of WWII in Europe,5/7/1945,5/7/1945,Military,"The final battles of the European Theatre of World War II took place in late April and early May 1945. Following news of the German surrender, celebrations erupted around the world on May 7th, also known as VE-Day.",https://en.wikipedia.org/wiki/End_of_World_War_II_in_Europe
Japanese sign Unconditional Surrender,9/2/1945,9/2/1945,Military,"The surrender of Imperial Japan was announced by Japanese Emperor Hirohito on August 15 and formally signed on September 2, 1945, bringing the hostilities of World War II to a close. By the end of July 1945, the Imperial Japanese Navy (IJN) was incapable of conducting major operations and an Allied invasion of Japan was imminent. Together with the British Empire and China, the United States called for the unconditional surrender of the Japanese armed forces in the Potsdam Declaration on July 26, 1945—the alternative being ""prompt and utter destruction"".",https://en.wikipedia.org/wiki/Surrender_of_Japan
Hitler Invades Poland,9/1/1939,9/1/1939,Military,"The invasion of Poland marked the beginning of World War II. The German invasion began on September 1st, 1939, one week after the signing of the Molotov–Ribbentrop Pact between Germany and the Soviet Union, and one day after the Supreme Soviet of the Soviet Union had approved the pact. The Soviets invaded Poland on September 17th. The campaign ended on 6 October 6th with Germany and the Soviet Union dividing and annexing the whole of Poland under the terms of the German–Soviet Frontier Treaty.",https://en.wikipedia.org/wiki/Invasion_of_Poland
