Topic,Topic slope,Topic slope SE
0,-6.913907713802631e-07,2.663782551763987e-06
1,-3.0845387068906597e-06,1.2206390396637765e-05
2,3.2826113729432177e-06,1.2774077622776857e-05
3,4.183827488750178e-06,2.9068469561124304e-06
4,-1.5033842969606976e-06,5.932476776119079e-06
5,9.072868028369325e-06,2.5911828906364604e-06
6,-3.291836912981655e-06,1.767407994100679e-05
7,5.593731440088011e-06,1.1510193890510863e-05
8,1.3351903127609898e-05,3.055332229785292e-06
9,-4.617480752534121e-05,1.1801171252583306e-05
10,2.6382139186209625e-05,4.982214703227469e-06
11,-1.3515660700180086e-06,1.3110571243000198e-06
12,-7.276636623222108e-07,1.2016816285955107e-06
13,-6.477177660268044e-07,1.4360965717239883e-06
14,6.587094968126677e-06,2.846722311236618e-06
15,3.669588361760755e-07,7.279453384166574e-07
16,3.1536377144348166e-05,5.779315914843767e-06
17,9.537702279902041e-06,4.54597368457282e-06
18,5.870139075067758e-07,2.1746792043201823e-06
19,-1.4409962735773976e-05,5.241508734100409e-06
20,-2.14734235962224e-05,5.5353460927572094e-06
21,-9.545655155172419e-06,4.8959443637170186e-06
22,-7.365231439987488e-06,2.381547371195885e-06
23,3.935911171508531e-06,2.9094187275073544e-06
24,2.1471789576388766e-05,5.935063318128011e-06
25,4.424078925687977e-06,9.375706052854804e-07
26,-2.1182944590727368e-05,7.89907042114117e-06
27,2.144658270656235e-06,5.412880472609125e-07
28,-3.31554609039994e-06,3.2687663452310517e-06
29,1.618814930814248e-06,2.736665957960979e-06
30,-1.4346617525134998e-05,2.79771508681833e-06
31,-4.949485209254451e-06,9.22516318104324e-07
32,-1.4487721790023638e-05,2.471918793418892e-06
33,-1.8631784876484618e-05,6.3341000960112354e-06
34,1.8537076630055812e-05,3.204710776777453e-06
35,1.7651153666069646e-05,3.180601586987132e-06
36,-8.027419624406094e-06,3.8020655450062895e-06
37,-1.1491916902342098e-05,4.446016117280761e-06
38,5.314583597160352e-06,5.698062645954963e-06
39,1.8108519977273367e-05,5.179653211320361e-06
40,5.727908862485288e-07,2.0117693603388396e-06
41,2.6993445093128838e-05,5.454360519331088e-06
42,-1.017363751867666e-05,5.788078908351624e-06
43,-6.996874270866454e-06,1.2916652139137124e-06
44,1.5348793788499215e-05,6.67710487796286e-06
45,2.941139370661305e-05,7.004786107334485e-06
46,5.131300917607756e-07,2.510058567693844e-06
47,-2.8160919961514717e-06,3.879458938036189e-06
48,3.466811410162517e-06,3.4343994408520903e-06
49,2.5268109567672127e-05,5.5791926610220765e-06
50,-2.214377585865042e-05,8.1196747423106e-06
51,9.917811010553307e-06,3.0647382783936296e-06
52,3.5305858591948364e-06,1.906731507140409e-06
53,6.336293438301481e-06,1.4632014950552504e-05
54,-6.094613568641154e-06,4.112765096026176e-06
55,1.147293493259369e-05,9.207208944921845e-06
56,1.2856867334714107e-05,3.197691159502493e-06
57,-2.8720569313863487e-05,3.4290508594531496e-06
58,7.199997741341447e-07,4.238179058425116e-06
59,-3.6562110126260365e-06,3.672769911973839e-06
60,-2.3745739318175782e-05,1.1770003956013676e-05
61,3.3683334899883544e-05,4.527791038266425e-06
62,2.365718586869831e-05,3.256855586557384e-06
63,1.2405459956357709e-05,3.7841110762138896e-06
64,2.1999972673988354e-05,5.315131752308152e-06
65,-1.9381693993416296e-06,4.959012898884879e-06
66,3.7192199821666747e-06,1.3232430702590453e-05
67,-5.71494616818336e-06,2.6299782240526554e-06
68,1.2338566711676224e-05,3.4995456127599393e-06
69,6.543055194507681e-06,7.060126440404945e-06
70,5.727104622547524e-07,5.200618578954327e-06
71,-4.9026853107469095e-05,1.1463539615042313e-05
72,1.744426054839281e-05,7.0390408584679845e-06
73,-4.736719753897324e-05,1.587011667310482e-05
74,1.3139038214810948e-05,8.276709454865413e-06
