"2010 SOC Code","O*NET-SOC 2010 Code","O*NET-SOC 2010 Title","2010 SOC Title","education_STW","knowledge_STW","rothwell_STW","Occupation 2010 Description","2010 Census Code"
"11-1011","11-1011.00","Chief Executives","Chief Executives",0,1,0,"Chief executives","0010"
"11-1011","11-1011.03","Chief Sustainability Officers","Chief Executives",0,1,0,"Chief executives","0010"
"11-1021","11-1021.00","General and Operations Managers","General and Operations Managers",1,0,0,"General and operations managers","0020"
"11-1031","11-1031.00","Legislators","Legislators",NA,NA,NA,"Legislators","0030"
"11-2011","11-2011.01","Green Marketers","Advertising and Promotions Managers",0,0,0,"Advertising and promotions managers","0040"
"11-2011","11-2011.00","Advertising and Promotions Managers","Advertising and Promotions Managers",0,0,0,"Advertising and promotions managers","0040"
"11-2021","11-2021.00","Marketing Managers","Marketing Managers",0,0,0,NA,NA
"11-2022","11-2022.00","Sales Managers","Sales Managers",0,0,0,NA,NA
"11-2031","11-2031.00","Public Relations and Fundraising Managers","Public Relations and Fundraising Managers",0,0,0,"Public relations and fundraising managers","0060"
"11-3011","11-3011.00","Administrative Services Managers","Administrative Services Managers",1,0,0,"Administrative services managers","0100"
"11-3021","11-3021.00","Computer and Information Systems Managers","Computer and Information Systems Managers",0,1,0,"Computer and information systems managers","0110"
"11-3031","11-3031.01","Treasurers and Controllers","Financial Managers",0,1,0,"Financial managers","0120"
"11-3031","11-3031.00","Financial Managers","Financial Managers",0,1,0,"Financial managers","0120"
"11-3031","11-3031.02","Financial Managers, Branch or Department","Financial Managers",0,1,0,"Financial managers","0120"
"11-3051","11-3051.06","Hydroelectric Production Managers","Industrial Production Managers",1,1,1,"Industrial production managers","0140"
"11-3051","11-3051.01","Quality Control Systems Managers","Industrial Production Managers",1,1,1,"Industrial production managers","0140"
"11-3051","11-3051.04","Biomass Power Plant Managers","Industrial Production Managers",1,1,1,"Industrial production managers","0140"
"11-3051","11-3051.05","Methane/Landfill Gas Collection System Operators","Industrial Production Managers",1,1,1,"Industrial production managers","0140"
"11-3051","11-3051.03","Biofuels Production Managers","Industrial Production Managers",1,1,1,"Industrial production managers","0140"
"11-3051","11-3051.00","Industrial Production Managers","Industrial Production Managers",1,1,1,"Industrial production managers","0140"
"11-3051","11-3051.02","Geothermal Production Managers","Industrial Production Managers",1,1,1,"Industrial production managers","0140"
"11-3061","11-3061.00","Purchasing Managers","Purchasing Managers",0,1,0,"Purchasing managers","0150"
"11-3071","11-3071.03","Logistics Managers","Transportation, Storage, and Distribution Managers",0,0,0,"Transportation, storage, and distribution managers","0160"
"11-3071","11-3071.01","Transportation Managers","Transportation, Storage, and Distribution Managers",0,0,0,"Transportation, storage, and distribution managers","0160"
