"variable","completeness","validity","uniqueness","year"
"id",1,1,11687110,2010
"jobdate",1,1,361,2010
"state",1,1,57,2010
"soc",0.976,1,829,2010
"socname",0.976,1,829,2010
"lat",0.9729,1,26580,2010
"lon",0.9729,1,27906,2010
"minedu",0.4418,1,5,2010
"maxedu",0.1474,1,5,2010
"id",1,1,14184613,2011
"jobdate",1,1,362,2011
"state",1,1,55,2011
"soc",0.9761,1,831,2011
"socname",0.9761,1,831,2011
"lat",0.9801,1,25109,2011
"lon",0.9801,1,26402,2011
"minedu",0.4912,1,5,2011
"maxedu",0.1622,1,5,2011
"id",1,1,14090686,2012
"jobdate",1,1,366,2012
"state",1,1,57,2012
"soc",0.9745,1,831,2012
"socname",0.9745,1,831,2012
"lat",0.9827,1,29499,2012
"lon",0.9827,1,31360,2012
"minedu",0.4997,1,5,2012
"maxedu",0.167,1,5,2012
"id",1,1,18072049,2013
"jobdate",1,1,365,2013
"state",1,1,59,2013
"soc",0.9707,1,833,2013
"socname",0.9707,1,833,2013
"lat",0.9779,1,32801,2013
"lon",0.9779,1,34443,2013
"minedu",0.4678,1,5,2013
"maxedu",0.1566,1,5,2013
"id",1,1,19026414,2014
"jobdate",1,1,365,2014
"state",1,1,59,2014
"soc",0.9724,1,833,2014
"socname",0.9724,1,833,2014
"lat",0.9802,1,34392,2014
"lon",0.9802,1,36237,2014
"minedu",0.4848,1,5,2014
"maxedu",0.1626,1,5,2014
"id",1,1,20828263,2015
"jobdate",1,1,365,2015
"state",1,1,59,2015
"soc",0.9747,1,833,2015
"socname",0.9747,1,833,2015
"lat",0.9919,1,36649,2015
"lon",0.9919,1,38749,2015
"minedu",0.5145,1,5,2015
"maxedu",0.1735,1,5,2015
"id",1,1,23500839,2016
"jobdate",1,1,366,2016
"state",1,1,58,2016
"soc",0.9736,1,832,2016
"socname",0.9736,1,832,2016
"lat",0.9927,1,38235,2016
"lon",0.9927,1,40430,2016
"minedu",0.5001,1,5,2016
"maxedu",0.1662,1,5,2016
"id",1,1,22259806,2017
"jobdate",1,1,365,2017
"state",1,1,58,2017
"soc",0.9743,1,834,2017
"socname",0.9743,1,834,2017
"lat",0.9918,1,37936,2017
"lon",0.9918,1,40190,2017
"minedu",0.5287,1,5,2017
"maxedu",0.1757,1,5,2017
"id",1,1,28769736,2018
"jobdate",1,1,365,2018
"state",1,1,58,2018
"soc",0.9717,1,832,2018
"socname",0.9717,1,832,2018
"lat",0.9821,1,38558,2018
"lon",0.9821,1,40857,2018
"minedu",0.8961,1,6,2018
"maxedu",0.8236,1,6,2018
"id",1,1,33452673,2019
"jobdate",1,1,365,2019
"state",1,1,58,2019
"soc",0.9712,1,833,2019
"socname",0.9712,1,833,2019
"lat",0.9911,1,38150,2019
"lon",0.9911,1,40377,2019
"minedu",0.9994,1,6,2019
"maxedu",1,1,6,2019
