"State","date","Year","Month","jolts","bgt","per_change","Month2","time"
"Alabama","2010-01",2010,1,38000,4688,-87.6631578947368,"01",2010-01-01
"Alabama","2010-10",2010,10,46000,16997,-63.05,"10",2010-10-01
"Alabama","2010-11",2010,11,44000,12425,-71.7613636363636,"11",2010-11-01
"Alabama","2010-12",2010,12,43000,14182,-67.0186046511628,"12",2010-12-01
"Alabama","2010-02",2010,2,38000,7088,-81.3473684210526,"02",2010-02-01
"Alabama","2010-03",2010,3,40000,12015,-69.9625,"03",2010-03-01
"Alabama","2010-04",2010,4,42000,11427,-72.7928571428571,"04",2010-04-01
"Alabama","2010-05",2010,5,46000,14940,-67.5217391304348,"05",2010-05-01
"Alabama","2010-06",2010,6,46000,12834,-72.1,"06",2010-06-01
"Alabama","2010-07",2010,7,45000,14710,-67.3111111111111,"07",2010-07-01
"Alabama","2010-08",2010,8,44000,17136,-61.0545454545454,"08",2010-08-01
"Alabama","2010-09",2010,9,46000,14701,-68.0413043478261,"09",2010-09-01
"Alabama","2011-01",2011,1,43000,11424,-73.4325581395349,"01",2011-01-01
"Alabama","2011-10",2011,10,59000,15244,-74.1627118644068,"10",2011-10-01
"Alabama","2011-11",2011,11,57000,12173,-78.6438596491228,"11",2011-11-01
"Alabama","2011-12",2011,12,55000,9258,-83.1672727272727,"12",2011-12-01
"Alabama","2011-02",2011,2,46000,13079,-71.5673913043478,"02",2011-02-01
"Alabama","2011-03",2011,3,46000,21774,-52.6652173913044,"03",2011-03-01
"Alabama","2011-04",2011,4,47000,16125,-65.6914893617021,"04",2011-04-01
"Alabama","2011-05",2011,5,47000,18034,-61.6297872340426,"05",2011-05-01
"Alabama","2011-06",2011,6,49000,17346,-64.6,"06",2011-06-01
"Alabama","2011-07",2011,7,56000,21591,-61.4446428571429,"07",2011-07-01
"Alabama","2011-08",2011,8,57000,23884,-58.0982456140351,"08",2011-08-01
"Alabama","2011-09",2011,9,64000,16498,-74.221875,"09",2011-09-01
"Alabama","2012-01",2012,1,60000,17603,-70.6616666666667,"01",2012-01-01
"Alabama","2012-10",2012,10,54000,10117,-81.2648148148148,"10",2012-10-01
"Alabama","2012-11",2012,11,51000,19446,-61.8705882352941,"11",2012-11-01
"Alabama","2012-12",2012,12,46000,9824,-78.6434782608696,"12",2012-12-01
"Alabama","2012-02",2012,2,69000,17735,-74.2971014492754,"02",2012-02-01
"Alabama","2012-03",2012,3,77000,17690,-77.025974025974,"03",2012-03-01
"Alabama","2012-04",2012,4,77000,22886,-70.2779220779221,"04",2012-04-01
"Alabama","2012-05",2012,5,73000,18462,-74.7095890410959,"05",2012-05-01
"Alabama","2012-06",2012,6,64000,15470,-75.828125,"06",2012-06-01
"Alabama","2012-07",2012,7,60000,12473,-79.2116666666667,"07",2012-07-01
