source,target,weight
marri,woman,2
whitewoman,marri,2
ag,mother,1
armi,wife,1
blond,woman,1
boi,mother,1
brother,sister,1
civ,woman,1
engag,with,1
girl,walk,1
kid,wife,1
like,brother,1
like,negro,1
marri,armi,1
marri,life,1
marri,live,1
marri,negro,1
marri,soldier,1
mother,dad,1
negro,like,1
offic,wife,1
respect,girl,1
send,marri,1
sex,intercours,1
sister,depend,1
soildier,wife,1
white,like,1
whiteman,marri,1
wife,allot,1
wife,babi,1
wife,compar,1
wife,die,1
wife,expect,1
wife,major,1
wife,set,1
woman,auxiliari,1
woman,child,1
woman,offic,1
woman,remain,1
woman,respons,1
woman,waac,1
woman,worker,1
