"","STATEFP","COUNTYFP","TRACTCE","GEOID","NAME","NAMELSAD","MTFCC","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON","GEOID.1","ffu_housing_units_total","ffu_value_less10","ffu_value_10.15","ffu_value_15.20","ffu_value_20.25","ffu_value_25.30","ffu_value_30.35","ffu_value_35.40","ffu_value_40.50","ffu_value_50.60","ffu_value_60.70","ffu_value_70.80","ffu_value_80.90","ffu_value_90.100","ffu_value_100.125","ffu_value_125.150","ffu_value_150.175","ffu_value_175.200","ffu_value_200.250","ffu_value_250.300","ffu_value_300.400","ffu_value_400.500","ffu_value_500.750","ffu_value_750.1000","ffu_value_1000.1500","ffu_value_1500.2000","ffu_value_2000plus","ffu_yrbuilt_1939less","ffu_yrbuilt_1940.1949","ffu_yrbuilt_1950.1959","ffu_yrbuilt_1960.1969","ffu_yrbuilt_1970.1979","ffu_yrbuilt_1980.1989","ffu_yrbuilt_1990.1999","ffu_yrbuilt_2000.2009","ffu_yrbuilt_2010.2013","ffu_yrbuilt_2014plus","ffu_occupancy_status_occupied","ffu_occupancy_status_vacant","FIPS","State","County","RUCA1","RUCA2"
"0","51","179","010502","51179010502","105.02","Census Tract 105.02","G5020","S","14055402","618196","+38.2809373","-077.4125747","51179010502",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51179","VA","Stafford County",1,1.1
"1","51","179","010207","51179010207","102.07","Census Tract 102.07","G5020","S","7656808","411682","+38.4803399","-077.4060766","51179010207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51179","VA","Stafford County",1,1
"2","51","179","010406","51179010406","104.06","Census Tract 104.06","G5020","S","6504006","276922","+38.3051765","-077.4335641","51179010406",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51179","VA","Stafford County",1,1.1
"3","51","179","010103","51179010103","101.03","Census Tract 101.03","G5020","S","5070893","395956","+38.4589777","-077.3928997","51179010103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51179","VA","Stafford County",1,1
"4","51","179","010301","51179010301","103.01","Census Tract 103.01","G5020","S","65673133","412218","+38.4537694","-077.5712426","51179010301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51179","VA","Stafford County",2,2
"5","51","179","010404","51179010404","104.04","Census Tract 104.04","G5020","S","7650073","3351","+38.3333620","-077.4508489","51179010404",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51179","VA","Stafford County",1,1.1
"6","51","179","010205","51179010205","102.05","Census Tract 102.05","G5020","S","9009877","40641","+38.4660558","-077.4916174","51179010205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51179","VA","Stafford County",1,1
"7","51","179","010206","51179010206","102.06","Census Tract 102.06","G5020","S","7577214","112311","+38.4797055","-077.4575355","51179010206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51179","VA","Stafford County",1,1
"8","51","001","090700","51001090700","907","Census Tract 907","G5020","S","156625775","26438132","+37.6027987","-075.8980473","51001090700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51001","VA","Accomack County",10,10
"9","51","770","001000","51770001000","10","Census Tract 10","G5020","S","2986932","64162","+37.2746122","-079.9698810","51770001000",4.93333333333333,-135.666666666667,-10.5555555555556,-6.41666666666667,-3.91666666666667,-5.83333333333333,-2.28571428571429,-3.58333333333333,-8.93333333333333,-9.14285714285714,-2.78260869565217,-1.79166666666667,-4.88888888888889,-5.125,-4,-0.3,-0.333333333333333,-2.57142857142857,-2.14285714285714,-3.8,-2.125,-0.916666666666667,-1.125,-0.416666666666667,-0.25,-0.166666666666667,-0.0833333333333333,0.94047619047619,1.88059701492537,-0.961538461538462,-0.5,0.636363636363636,0.0588235294117647,-3.54545454545455,-1.58333333333333,1.12,0.657894736842105,1.09756097560976,3.02941176470588,"51770","VA","Roanoke city",1,1
"10","51","770","001100","51770001100","11","Census Tract 11","G5020","S","1051514","909","+37.2709001","-079.9433201","51770001100",12.9137931034483,-0.583333333333333,-0.416666666666667,-0.0833333333333333,-0.25,-0.25,-0.25,-0.333333333333333,-0.666666666666667,-0.583333333333333,-0.833333333333333,-1,-1.5,-0.583333333333333,-0.5,-1.08333333333333,-1.66666666666667,-1.58333333333333,-2.5,-2,-3.6,-3.25,-4.22222222222222,-1.63636363636364,-2.07142857142857,-1.25,-6.41666666666667,4.83076923076923,1.16666666666667,1.51612903225806,1.6,0.333333333333333,0.75,0.6875,0.875,1.44444444444444,0.818181818181818,10.203125,1.77777777777778,"51770","VA","Roanoke city",1,1
"11","51","770","001200","51770001200","12","Census Tract 12","G5020","S","2202066","49681","+37.2618883","-079.9479190","51770001200",11.8910891089109,-1.08333333333333,-1,-0.25,-0.25,-0.333333333333333,-0.25,-0.25,-0.833333333333333,-1.09090909090909,-1.33333333333333,-2.16666666666667,-2.16666666666667,-5.85714285714286,-1.82758620689655,-1.11538461538462,-3.03333333333333,-1.16279069767442,-3.74074074074074,0.313725490196078,-2.10526315789474,-2.36363636363636,-2.8,-0.133333333333333,-1.58333333333333,-0.75,-2,2.47058823529412,1.80952380952381,2.11214953271028,0.907407407407407,1.81538461538462,2.38,0,0.543478260869565,-0.545454545454545,-0.416666666666667,6.14666666666667,2.325,"51770","VA","Roanoke city",1,1
"12","51","760","010900","51760010900","109","Census Tract 109","G5020","S","1881118","0","+37.5634155","-077.4180813","51760010900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51760","VA","Richmond city",1,1
"13","51","550","020804","51550020804","208.04","Census Tract 208.04","G5020","S","36058341","1777220","+36.7417486","-076.1811892","51550020804",-1.40666666666667,1.53488372093023,-0.117647058823529,0.870967741935484,0,-0.0588235294117647,0,-0.0588235294117647,-0.588235294117647,-0.176470588235294,-0.294117647058824,0.46875,-0.235294117647059,-1.05882352941176,0.488372093023256,-2.96875,-1.41333333333333,-2.26190476190476,-2.26363636363636,-1.15254237288136,-1.38323353293413,-0.19620253164557,-0.802469135802469,-0.705882352941177,0.21875,-0.647058823529412,-1.05882352941176,-1.41176470588235,0.176470588235294,0.460526315789474,0.328571428571429,0.369565217391304,0.774834437086093,0.473988439306358,-1.3921568627451,1.27647058823529,-1.5,-1.89189189189189,1.31132075471698,"51550","VA","Chesapeake city",1,1
"14","51","550","020806","51550020806","208.06","Census Tract 208.06","G5020","S","5007267","276233","+36.7777291","-076.2179738","51550020806",13.9318181818182,0.853658536585366,0,0,0,0,0,0,0,0,0,0,0,0,-3.375,-2.87878787878788,0.430656934306569,0.287581699346405,-0.745664739884393,-0.473684210526316,-0.384615384615385,-0.925925925925926,0.185185185185185,0.689655172413793,-0.647058823529412,-0.411764705882353,-1.35294117647059,0,0.533333333333333,1.11111111111111,0.628571428571429,0.541666666666667,1.02941176470588,2.22751322751323,2.97058823529412,3.17948717948718,0.361904761904762,6.49773755656109,2.06666666666667,"51550","VA","Chesapeake city",1,1
"15","51","550","020700","51550020700","207","Census Tract 207","G5020","S","3291682","0","+36.7866467","-076.2646373","51550020700",17.7473684210526,2.02884615384615,0.888888888888889,0.636363636363636,1.06849315068493,-0.529411764705882,-4.53658536585366,0.853333333333333,0.470588235294118,-0.470588235294118,0.5,-0.235294117647059,0.8125,-1.11764705882353,-3.15151515151515,-1.34210526315789,-0.431578947368421,-0.91304347826087,-0.155172413793103,-0.470588235294118,-0.529411764705882,0.651162790697674,-0.470588235294118,-0.588235294117647,-0.470588235294118,-0.294117647058824,-1.70588235294118,-0.04,-1.60975609756098,0.366666666666667,0.727272727272727,1.65648854961832,2.51538461538462,3.85889570552147,1.51937984496124,0.708860759493671,1.20833333333333,6.70334928229665,1.41089108910891,"51550","VA","Chesapeake city",1,1
