GEOID,ffu_housing_units_total,ffu_value_less10,ffu_value_10.15,ffu_value_15.20,ffu_value_20.25,ffu_value_25.30,ffu_value_30.35,ffu_value_35.40,ffu_value_40.50,ffu_value_50.60,ffu_value_60.70,ffu_value_70.80,ffu_value_80.90,ffu_value_90.100,ffu_value_100.125,ffu_value_125.150,ffu_value_150.175,ffu_value_175.200,ffu_value_200.250,ffu_value_250.300,ffu_value_300.400,ffu_value_400.500,ffu_value_500.750,ffu_value_750.1000,ffu_value_1000.1500,ffu_value_1500.2000,ffu_value_2000plus,ffu_yrbuilt_1939less,ffu_yrbuilt_1940.1949,ffu_yrbuilt_1950.1959,ffu_yrbuilt_1960.1969,ffu_yrbuilt_1970.1979,ffu_yrbuilt_1980.1989,ffu_yrbuilt_1990.1999,ffu_yrbuilt_2000.2009,ffu_yrbuilt_2010.2013,ffu_yrbuilt_2014plus,ffu_occupancy_status_occupied,ffu_occupancy_status_vacant,FIPS,State,County,RUCA1,RUCA2
51001090100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51001,VA,Accomack County,10,10
51001090200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51001,VA,Accomack County,9,9
51001090300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51001,VA,Accomack County,10,10
51001090400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51001,VA,Accomack County,10,10
51001090500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51001,VA,Accomack County,10,10
51001090600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51001,VA,Accomack County,10,10
51001090700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51001,VA,Accomack County,10,10
51001090800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51001,VA,Accomack County,10,10
51001980100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51001,VA,Accomack County,10,10
51001980200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51001,VA,Accomack County,10,10
