Code,Classification description
1,Metropolitan area core: primary flow within an urbanized area (UA)
2,Metropolitan area high commuting: primary flow 30% or more to a UA
3,Metropolitan area low commuting: primary flow 10% to 30% to a UA
4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999 (large UC)"
5,Micropolitan high commuting: primary flow 30% or more to a large UC
6,Micropolitan low commuting: primary flow 10% to 30% to a large UC
7,"Small town core: primary flow within an urban cluster of 2,500 to 9,999 (small UC)"
8,Small town high commuting: primary flow 30% or more to a small UC
9,Small town low commuting: primary flow 10% to 30% to a small UC
10,Rural areas: primary flow to a tract outside a UA or UC
99,Not coded: Census tract has zero population and no rural-urban identifier information
