County,Percent Rural,Total Housing Units,Total Occupied Units,Total Vacant Units,"Value Below $10,000","Value $10,000-$15,000","Value $15,000-$20,000","Value $20,000-$25,000","Value $25,000-$30,000","Value $30,000-$35,000","Value $35,000-$40,000","Value $40,000-$50,000","Value $50,000-$60,000","Value $60,000-$70,000","Value $70,000-$80,000","Value $80,000-$90,000","Value $90,000-$100,000","Value $100,000-$125,000","Value $125,000-$150,000","Value $150,000-175,000","Value $175,000-$200,000","Value $200,000-$250,000","Value $250,000-$300,000","Value $300,000-$400,000","Value $400,000-$500,000","Value $500,000-$750,000","Value $750,000-$1,000,000","Value $1,000,000-$1,500,000","Value $1,500,000-$2,000,000","Value Over $2,000,000",Built Before 1939,Built 1940-1949,Built 1950-1959,Built 1960-1969,Built 1970-1979,Built 1980-1989,Built 1990-1999,Built 2000-2009,Built 2010-2013,Built After 2014
Accomack County,0.9166666666666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Albemarle County,0,4.306619310720063,1.6336224087031797,1.7047605359566607,-3.2124492304849683,-0.799177807486631,-0.6870355580248628,-0.6520128213202218,-0.5315953654188948,-0.6726842676040536,-0.48066844919786095,-1.0236495499814684,-0.9453870136023016,-1.8380052900925767,-1.5180031004893026,-1.750604047115675,-1.402873831300513,-3.078953080579397,-2.705100194338606,-1.1926008067001554,-2.3171429151143155,-1.747692448350301,-1.3740838636460724,-1.5212683451850129,-0.6060933501828202,-0.7921690847452286,-0.29147951608971745,-0.8381196912659374,-1.0087146789581352,-1.5630007495311324,0.4045071026368494,0.22488235778065654,0.4779520428588693,0.6708924716340213,0.8910723980310791,0.9460902308287491,1.308931889273128,0.9731530104514517,0.7887249075279963,-0.37428608459728235
Alexandria city,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Alleghany County,0.8333333333333334,-12.041032461580459,-9.914491217229857,1.6742577836038806,-50.22373247831627,-5.853373015873016,-4.803927472233373,-9.75,-3.306896551724138,-2.170265462506842,-3.0722049689440993,-3.935194972985671,-2.800577452508347,-3.4776603114364026,-1.8043841779135896,-1.1219193792633204,-1.5945271717010847,-1.075754228344666,-1.9658844483909137,0.02604654575389519,-0.33270322961414917,0.29966953151660597,0.6755140786250231,0.1291171768783709,-0.2931818181818182,-0.4398262178434592,-0.37752525252525254,-0.148989898989899,-0.09722222222222222,-0.5,-0.752131321404227,0.9133168968069482,0.9510398831920224,0.7019975819798127,0.7298073137039923,1.1484892589103373,0.6058749576469651,0.29370713283333355,0.16391501219087426,-0.4087301587301587
Amelia County,0,-8.325242718446603,-6.6665683201180155,1.7391829562925545,-6.6838235294117645,-4.6764705882352935,-5.784313725490196,-14.382352941176471,-11.588235294117649,-9.16,-6.177154582763338,-8.82843137254902,-7.608043217286914,-3.543452380952381,-4.218148148148148,-1.4527450980392156,-3.4698025551684086,-2.067478813559322,-1.8891369047619047,-1.3185513288170922,-1.3577586206896552,-0.035673476849947455,-0.04595959595959596,0.1711160176635889,0.33170731707317075,-1.7140243902439023,-0.7694117647058824,-0.6109625668449198,-0.29411764705882354,-0.3823529411764706,-0.7218754815842194,0.47774377521212963,1.2637362637362637,0.013895993179880634,1.36990135963743,1.0805555555555557,-0.9968954248366013,-0.7284439416792358,1.3564987562189055,0.5111111111111111
Amherst County,0.1111111111111111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Appomattox County,0,-10.145188799347014,-8.492483273971645,3.0955400138306373,-11.078014184397162,-5.742521367521367,-10.539903680770554,-12.368702553485162,-13.47936507936508,-3.2616129785247434,-6.305555555555555,-4.619642857142857,-13.0098858256753,-4.079595494111623,-4.181514848181515,-3.6290903422772613,-1.9437184343434344,-2.0476070226070227,-2.385214993665698,-0.4617386932179268,-0.8275768535262206,-0.7120928310116786,-0.9568224510336883,0.1272472625413802,-1.908496732026144,-0.2627257799671593,-0.615771526001705,-0.04607843137254902,0.14052287581699346,-0.35130718954248363,-0.2446259622730211,0.5052231718898386,1.0185748058088484,0.26204312738966207,1.1686653547444832,0.2158214038635517,0.32426309535279574,0.8132244008714598,0.9673039923039923,-3.003402445507709
Arlington County,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Augusta County,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bath County,1,-3.4565217391304346,-10.565445026178011,5.115384615384615,-9.26923076923077,-1.4509803921568627,-10.916666666666666,-12.333333333333334,-11.166666666666666,-8,-10.166666666666666,-3.8333333333333335,-18.5,-3.707317073170732,-2.0821917808219177,-10.130434782608695,-4.604651162790698,-3.2545454545454544,-1.8347826086956522,-0.43564356435643564,-0.06666666666666667,-1.202020202020202,-2.659090909090909,-0.6610169491525424,-10.583333333333334,-2.484848484848485,-0.20930232558139536,-3,-0.6666666666666666,-2.5833333333333335,-0.21608040201005024,0.9552238805970149,0.6764705882352942,0.6305732484076433,1.2857142857142858,0.7070063694267515,1.5789473684210527,0.5266666666666666,-2.8333333333333335,-3.8333333333333335
