variable,estimate,moe,isnonvet
age_vet_emp_total,3925956,1664,Veteran
total_18_34,1452575,1483,Veteran
total_18_34_vet,39532,1344,Veteran
total_18_34_vet_in_lf_tot,34613,1264,Veteran
total_18_34_vet_in_lf_emp,33352,1249,Veteran
total_18_34_vet_in_lf_unemp,1261,242,Veteran
total_18_34_vet_not_in_lf,4919,506,Veteran
total_18_34_nonvet,1413043,1770,Non-Veteran
total_18_34_nonvet_in_lf_tot,1135312,3324,Non-Veteran
total_18_34_nonvet_in_lf_emp,1052180,3586,Non-Veteran
total_18_34_nonvet_in_lf_unemp,83132,2047,Non-Veteran
total_18_34_nonvet_not_in_lf,277731,3511,Non-Veteran
total_35_54,1736264,943,Veteran
total_35_54_vet,132074,2371,Veteran
total_35_54_vet_in_lf_tot,122935,2210,Veteran
total_35_54_vet_in_lf_emp,119630,2210,Veteran
total_35_54_vet_in_lf_unemp,3305,393,Veteran
total_35_54_vet_not_in_lf,9139,593,Veteran
total_35_54_nonvet,1604190,2555,Non-Veteran
total_35_54_nonvet_in_lf_tot,1397396,3598,Non-Veteran
total_35_54_nonvet_in_lf_emp,1343557,3717,Non-Veteran
total_35_54_nonvet_in_lf_unemp,53839,1669,Non-Veteran
total_35_54_nonvet_not_in_lf,206794,3179,Non-Veteran
total_55_64,737117,440,Veteran
total_55_64_vet,79272,1649,Veteran
total_55_64_vet_in_lf_tot,61812,1456,Veteran
total_55_64_vet_in_lf_emp,59473,1441,Veteran
total_55_64_vet_in_lf_unemp,2339,286,Veteran
total_55_64_vet_not_in_lf,17460,813,Veteran
total_55_64_nonvet,657845,1562,Non-Veteran
total_55_64_nonvet_in_lf_tot,482226,2588,Non-Veteran
total_55_64_nonvet_in_lf_emp,463779,2396,Non-Veteran
total_55_64_nonvet_in_lf_unemp,18447,977,Non-Veteran
total_55_64_nonvet_not_in_lf,175619,2490,Non-Veteran
