"id","gender","degree_highest","date_enter_job_market"
11207016,"male","others",1968-05-01
16180110,"male","bachelor",1995-02-01
16149347,"male","bachelor",1981-05-01
7073855,"male","bachelor",1995-06-01
16126698,"male",NA,1992-06-01
15131445,"male",NA,NA
9507820,"male",NA,2003-02-02
15132957,"male","others",2006-01-01
16118916,"male","master",1973-05-01
16125050,"male","highschool",2005-04-01
16135143,"female","master",1990-01-01
16109041,"male","bachelor",2002-01-01
16122513,"female","bachelor",1997-01-01
15154425,"male","master",2004-05-01
16109564,"male",NA,1993-01-01
16111373,"male","master",1973-05-01
16110694,"male","master",2002-01-01
16094509,"male",NA,2000-06-01
16183866,"male","bachelor",1986-08-01
15179723,"male","master",2007-09-01
15131405,"male","bachelor",1993-06-01
16189262,"male",NA,2001-09-01
11086635,"male","master",1985-04-01
13705883,"male","master",1990-01-01
16536144,"male",NA,1993-12-01
11135265,"male",NA,1986-03-01
11116203,"male",NA,1982-01-01
16552247,"male",NA,1998-01-01
13710338,NA,"bachelor",1981-01-01
16211820,"male","master",1993-08-01
16527564,"male",NA,1994-01-01
16546756,"male","bachelor",1999-01-01
11135111,NA,"master",1974-06-01
11086072,NA,NA,1994-01-01
11117955,"male",NA,1992-01-01
11135137,NA,"master",1980-01-01
11106717,"male",NA,1994-11-01
11115799,NA,NA,1985-11-01
15131544,"male","master",1994-01-01
13702190,"male","master",1973-01-01
16529659,"female","bachelor",1994-02-01
16558888,"male",NA,1986-02-01
13703231,NA,NA,1993-05-01
16538592,"male",NA,1994-01-01
16527295,"male","master",1988-01-01
16177818,"male","master",1993-01-01
7140806,"female",NA,1971-06-01
7157329,"male","bachelor",1970-01-01
7128788,"male","master",1979-01-01
7143050,"male",NA,1993-08-01
7156873,"male",NA,1987-01-01
7156951,"female",NA,1986-01-01
7104913,"male","master",1987-01-01
7144447,"male","bachelor",1988-06-01
7157088,"female",NA,2004-08-01
7145224,"male","bachelor",1989-04-01
13711825,"male",NA,1981-01-01
7140245,"male",NA,NA
19238901,"female","master",2002-01-01
19255812,"male",NA,2003-11-01
19258869,"male",NA,2001-01-01
19246933,"male","highschool",1996-05-01
19265531,"male",NA,2008-04-01
19288733,NA,"master",1995-02-01
19240878,"male","master",2003-06-01
19269911,"female",NA,1994-05-01
19262297,"male",NA,2004-11-01
19239254,NA,NA,1993-01-01
7107194,"male",NA,1997-03-01
11305965,"male",NA,1985-01-01
15614524,"male",NA,2002-09-01
7156817,"male",NA,1992-10-01
7491245,"male",NA,1988-01-01
15657094,"female",NA,2006-09-01
7622861,"male",NA,2002-03-01
7165799,"female","certificate",1977-09-01
7635908,"male","master",1973-01-01
7163293,"male",NA,1996-01-01
7622807,"male",NA,1987-01-01
7660356,"male",NA,1986-03-01
15565558,"male","master",2011-01-01
7654563,"male",NA,1973-01-01
7664425,"male",NA,1992-05-01
7627197,"male",NA,1998-10-01
7625082,"male","master",2003-06-01
7167201,"male","doctor",1988-01-01
7685628,"male",NA,1984-01-01
7675774,"male","associate",1985-10-01
7502992,"male","master",1984-01-01
7673956,"male",NA,1998-01-01
7625935,"male",NA,1991-01-01
7626777,"male",NA,1986-01-01
15572086,"male","master",1992-12-01
19283296,"female",NA,2006-03-01
15563571,"male",NA,1985-11-01
15590148,"male","master",1988-01-01
15593091,"female","master",2003-12-01
15640272,NA,"master",2008-05-01
15610161,NA,"bachelor",1997-06-01
15610244,"female",NA,2010-05-01
7696177,"male",NA,2002-01-01
10361779,"male",NA,1990-01-01
7674696,"male","certificate",1986-01-01
7682000,"male",NA,2001-01-01
7685516,"male",NA,1987-01-01
7534113,"male","bachelor",1971-07-01
7638004,"female","others",1985-01-01
7673441,NA,NA,1997-07-01
7673802,"male",NA,1970-01-01
7645899,"male","others",1981-01-01
10394307,"male",NA,1983-01-01
7632394,"female",NA,1999-03-01
7680379,"female",NA,1986-01-01
7532088,"male",NA,1988-07-01
7666150,"male","bachelor",1982-01-01
10421976,NA,NA,1993-01-01
10434789,"male","bachelor",1995-01-01
10447486,"male","master",1977-01-01
10406655,NA,NA,1996-06-01
10365579,"male","master",1971-07-01
10448095,"male",NA,1998-01-01
10448483,NA,NA,1994-08-01
10422725,"male",NA,2001-01-01
15623083,"male","bachelor",1997-01-01
10369405,NA,"master",1980-01-01
10422490,"female","others",2001-09-01
15644150,"male",NA,2008-01-01
15661616,NA,"master",2001-12-01
10459428,NA,NA,1983-01-01
7120428,"female","bachelor",1993-01-01
8544021,"male",NA,1987-01-01
8537811,"male",NA,1996-12-01
7156719,"male","doctor",1988-01-01
7137633,"male","master",1996-07-01
8515391,"male",NA,2001-12-01
8517894,"male",NA,1988-03-01
8550339,"male","bachelor",1978-01-01
7162670,"male","master",2000-01-01
7156617,"female","bachelor",1981-01-01
8549135,"male","master",1974-06-01
8553331,"male","bachelor",1995-01-01
8527894,"male","master",2004-01-01
8549151,"male",NA,2001-03-01
8537084,"male",NA,1999-01-01
8536334,NA,NA,1993-01-01
8549165,"male",NA,1975-01-01
8537359,"male","master",1984-07-01
8537524,"male","master",1993-10-01
8537631,"female","master",NA
8537755,"male","master",2004-01-01
8538314,"male","master",1972-04-01
8539091,NA,"bachelor",1997-02-01
8537728,"male",NA,1990-03-01
8527695,"male",NA,1978-01-01
8535820,"male","master",1989-06-01
8545546,"male","doctor",1983-05-01
8542281,"female",NA,2000-06-01
8537604,"male","bachelor",1975-01-01
8502699,NA,"bachelor",1995-01-01
8550188,"male","others",1981-04-01
8538488,"male",NA,1993-04-01
8535881,NA,"master",1988-05-01
8525743,"male",NA,1985-02-01
8543019,"male","bachelor",1999-01-01
8536245,"male","master",1996-05-01
8497182,"male","bachelor",1988-11-01
8510530,"male","master",1979-01-01
8541119,"male",NA,1987-01-01
8536749,"male","others",2002-04-01
8537102,"male","bachelor",1986-01-01
8544375,"male",NA,1998-01-01
8549128,"male","master",1984-07-01
8546176,"male",NA,1962-01-01
8490053,"male","master",1987-02-01
8546561,"female","bachelor",2000-07-01
8549980,"male","master",1990-01-01
8535992,"male","master",1991-06-01
8537126,"male","bachelor",2002-01-01
8525575,"male","master",1998-01-01
8537730,"male","master",1983-06-01
10380963,NA,"master",1980-01-01
8536268,"male","bachelor",1984-01-01
8533572,"male","master",1995-01-01
15441360,"male","bachelor",2006-05-01
10423449,NA,NA,1988-05-01
10892246,"male","bachelor",1987-01-01
8129650,"male",NA,1999-01-01
8549765,"male","master",1974-01-01
8550486,"male",NA,2004-10-01
8537773,"male","bachelor",1992-02-01
8151209,"male","bachelor",1991-01-01
8151265,"male","master",NA
13746524,"male","others",1995-01-01
8549816,"male",NA,1979-05-01
8548070,"male","bachelor",1996-01-01
7140835,"female","master",1992-01-01
7157312,NA,"others",1999-08-01
8195394,"male","master",1967-04-01
8140133,NA,"master",1984-01-01
8574758,"male",NA,NA
8184617,NA,NA,1983-01-01
8184632,"male",NA,1988-09-01
7153673,"male","bachelor",1986-10-01
8139526,"male",NA,1976-04-01
8191760,"female","doctor",1991-01-01
8157200,"female","highschool",1995-03-01
8151610,"female","bachelor",1986-08-01
8158143,NA,"certificate",2000-05-01
8186076,"male",NA,1992-01-01
8564630,"male",NA,2003-12-01
8546149,NA,NA,1985-01-01
7140165,"male",NA,1989-06-01
8168443,"female","highschool",2002-06-01
7148472,"female","master",1977-12-01
7166912,"male",NA,1994-03-01
7157903,"female",NA,1993-07-01
7165887,"male",NA,1999-09-01
8548137,"male",NA,1991-08-01
8159471,"male",NA,1987-01-01
8154706,"female",NA,2004-12-01
8197160,NA,"bachelor",1988-01-01
8557454,"male","master",1996-09-01
8536905,"male","master",1991-03-01
8549740,"male","others",2000-08-01
13816523,"male",NA,1996-01-01
13754059,"male","master",1987-01-01
15417215,"male","master",1988-01-01
13757614,"male","others",1989-01-01
10459903,NA,"associate",1978-01-01
13765041,"male","master",1990-08-01
13771811,"male","master",1999-01-01
7167087,"male","master",NA
7178366,"male","master",1976-07-01
8205531,"male","doctor",1996-01-01
10479807,"male","bachelor",1982-01-01
10505049,"male","others",1992-10-01
7222754,"male","doctor",1988-01-01
8555940,"male","others",2002-01-01
10503358,"male",NA,1983-01-01
7174211,"male","master",1996-11-01
8191755,"female","doctor",1991-01-01
8560070,"male","master",1985-01-01
8599195,"male",NA,1983-01-01
8592994,"male",NA,1987-08-01
