word,count
"Abilene, TX",11
"Allen, TX",1
"Aurora, CO",18
"Brandon CDP, FL",4
"Bridgeport, CT",10
"Brownsville, TX",4
"Cape Coral, FL",2
"Carrollton, TX",6
"Cary town, NC",7
"Chattanooga, TN",1
"Chesapeake, VA",10
"Chula Vista, CA",2
"Clearwater, FL",7
"Coral Springs, FL",5
"Corona, CA",5
"Costa Mesa, CA",3
"Davenport, IA",7
"Denton, TX",7
"El Cajon, CA",1
"El Paso, TX",1
"Escondido, CA",1
"Everett, WA",4
"Fort Lauderdale, FL",11
"Fort Wayne, IN",11
"Frisco, TX",4
"Garden Grove, CA",4
"Garland, TX",14
"Grand Prairie, TX",5
"Greensboro, NC",34
"Hampton, VA",12
"High Point, NC",10
"Highlands Ranch CDP, CO",1
"Hillsboro, OR",1
"Hollywood, FL",9
"Huntington Beach, CA",3
"Independence, MO",10
"Irvine, CA",2
"Irving, TX",9
"Kansas City, KS",16
"Kent, WA",1
"Killeen, TX",12
"Lakeland, FL",12
"Lakewood, CO",11
"Lehigh Acres CDP, FL",4
"Lewisville, TX",7
"McAllen, TX",2
"McKinney, TX",7
"Mesquite, TX",12
"Metairie CDP, LA",11
"Moreno Valley, CA",14
"Murrieta, CA",1
"Newport News, VA",17
"Olathe, KS",5
"Orange, CA",2
"Orlando, FL",16
"Overland Park, KS",7
"Palm Bay, FL",3
"Pompano Beach, FL",7
"Renton, WA",1
"Richardson, TX",3
"Richmond, VA",25
"Roseville, CA",1
"Round Rock, TX",3
"Sandy Springs, GA",5
"Seattle, WA",3
"Shreveport, LA",16
"Spring Hill CDP, FL",3
"St. Petersburg, FL",16
"Stamford, CT",5
"Tacoma, WA",2
"Temecula, CA",3
"Vista, CA",4
"Wilmington, NC",6
