X,Y,Store_Name,Address,City,County,type
-122.68201,45.574055,Benitos Bakery n/a,7000 N Interstate Ave,Portland,MULTNOMAH,snap
-122.97015,44.969597,Lucky Market Llc,4602 Silverton Rd NE,Salem,MARION,snap
-121.08123,45.175064,Maupin Market,507 Deschutes Ave,Maupin,WASCO,snap
-121.56074,44.295147,Dollar General 20532,915 W McKinney Butte Rd,Sisters,DESCHUTES,snap
-122.76921,45.51593,The Little Store,8998 SW Leahy Rd,Portland,WASHINGTON,snap
-122.57204,45.146385,Molalla Farmers Market,523 E Main St,Molalla,CLACKAMAS,snap
-123.04339,44.070354,DOLLARTREE 8513,1028 Harlow Rd,Springfield,LANE,snap
-123.13235,44.051811,"Emerald Fruit And Produce, Inc.",2525 W 7th Pl,Eugene,LANE,snap
-122.58617,45.388241,Kearns Market #1,18505 Webster Rd,Gladstone,CLACKAMAS,snap
-122.69558,45.47823,Basics - Hillsdale,6344 SW Capitol Hwy,Portland,MULTNOMAH,snap
-122.76213,45.332138,"Sysco Portland, Inc. 52",26250 SW Parkway Center Dr,Wilsonville,CLACKAMAS,snap
-123.27917,42.925716,Canyonville Market 6118,203 NW 4th St,Canyonville,DOUGLAS,snap
-121.50239,43.671982,Vegetable Man Of La Pine,51530 Highway 97,La Pine,DESCHUTES,snap
-122.68781,45.569878,Papa Murphy's OR027,2004 N Rosa Parks Way,Portland,MULTNOMAH,snap
-123.0897,44.610271,Us Market 250,1012 34th Ave SE,Albany,LINN,snap
-122.51103,45.518822,7-eleven 14503A,14750 SE Stark St,Portland,MULTNOMAH,snap
-123.09783,44.610226,7 Eleven 38799A,333 34th Ave SE,Albany,LINN,snap
-121.30351,44.067616,"Papa Bend, Inc. OR014",211 NE Revere Ave,Bend,DESCHUTES,snap
-123.35294,43.226757,"KMR  Investments, LLC OR053",250 Ne Garden Valley Blvd,Roseburg,DOUGLAS,snap
-122.53479,45.504105,Al Amir Bakery,12503 SE Division St,Portland,MULTNOMAH,snap
-122.86253,45.53513,Aroma Meats,11460 NE Evergreen Pkwy,Beaverton,WASHINGTON,snap
-122.66549,45.588989,Mary's Food Market,9000 NE Martin Luther King,Portland,MULTNOMAH,snap
-118.80591,45.666401,SAFEWAY  1642,201 SW 20th St,Pendleton,UMATILLA,snap
-123.0452,44.913906,Papa Murphy's OR125,2755 Commercial St Se,Salem,MARION,snap
-122.5688,45.407761,7-Eleven 20175C,15970 Se 82nd Dr,Clackamas,CLACKAMAS,snap
-122.55781,45.555679,Saphire Petro Inc 205100,4513 NE 102nd Ave,Portland,MULTNOMAH,snap
-122.6545,45.535023,SAFEWAY 1612,1100 NE Broadway St,Portland,MULTNOMAH,snap
-123.17273,45.228878,WINCO FOODS 041,2585 NE Highway 99W,McMinnville,YAMHILL,snap
-123.1171,44.04039,7-ELEVEN 25649 B,1690 W 18th Ave,Eugene,LANE,snap
-118.03377,45.292099,Store 934,63276 Highway 203,La Grande,UNION,snap
-122.58586,45.562622,GARTNER'S COUNTRY MEAT MARKET,7450 NE Killingsworth St,Portland,MULTNOMAH,snap
-122.63219,45.443562,J & J Little Stor,2936 SE Washington St,Milwaukie,CLACKAMAS,snap
-124.2434,43.391491,Baileys Health Food Center,2235 Newmark St,North Bend,COOS,snap
-121.29559,44.076302,Quickway Market,690 NE Butler Market Rd,Bend,DESCHUTES,snap
-122.98373,44.70808,Laube Farms,3730 Jefferson Scio Dr SE,Jefferson,MARION,snap
-123.17049,45.669052,Snack Jacks,46760 Nw Sunset Hwy,Manning,WASHINGTON,snap
-124.10175,44.018551,American Market 10,87764 Highway 101,Florence,LANE,snap
-117.22988,45.353924,Market Place Fresh Foods Llc,208 N Main St,Joseph,WALLOWA,snap
-122.65319,45.500546,Edelweiss Sausage Company And Delicatessen Inc,3119 Se 12th Ave,Portland,MULTNOMAH,snap
-121.51219,45.708641,Gorge Grown Food Network Mobile Farmers' Market,203 2nd St,Hood River,HOOD RIVER,snap
-122.53674,45.476566,G & S Market,12217 SE Foster Rd,Portland,MULTNOMAH,snap
-122.62654,45.409081,Oak Grove Chevron,15710 Se Mcloughlin Blvd,Portland,CLACKAMAS,snap
-122.83726,45.144417,El Torito Meat Market,1032 N Pacific Hwy,Woodburn,MARION,snap
-122.84855,45.131798,ARS 516,490 S Pacific Hwy,Woodburn,MARION,snap
-122.98338,44.927303,Carniceria Los Compadres 2,152 Lancaster Dr SE,Salem,MARION,snap
-122.98347,44.968174,Papa Murphys OR094,3314 Lancaster Dr NE,Salem,MARION,snap
-123.20477,44.221653,Papa Murphy's Pizza OR021,890 Ivy St,Junction City,LANE,snap
-122.90702,44.53075,Lebanon Market,1695 S Main St,Lebanon,LINN,snap
-123.38259,43.235222,Ridgeway Market,1800 Nw Garden Valley Rd,Roseburg,DOUGLAS,snap
-122.85627,45.142693,Del Sol Market,397 N Front St,Woodburn,MARION,snap
-122.82606,45.452759,Walmart Neighborhood Market 3050,9055 SW Murray Blvd,Beaverton,WASHINGTON,snap
-122.6418,45.512043,Kruger's Farm Market- Hawthorne,2310 SE Hawthorne Blvd,Portland,MULTNOMAH,snap
-122.8673,44.840714,Stop N Save 7,210 Main St,Aumsville,MARION,snap
-123.25654,44.585812,The Grocery Depot 3,1829 Nw 9th St,Corvallis,BENTON,snap
-122.41319,45.52792,Plaid Pantry 224,725 NE 242nd Drive,Wood Village,MULTNOMAH,snap
-122.65673,45.57177,Woodlawn Neighborhood Farmers Market,1 NE Durham and Bekum Sts,Portland,MULTNOMAH,snap
-122.49616,45.519169,7-ELEVEN 23007 E,16221 SE Stark St,Portland,MULTNOMAH,snap
-123.08929,44.633472,Bimbo Bakeries 3289,1234 Pacific Blvd SE,Albany,LINN,snap
-122.64711,45.460972,Foster's Market  Deli,8533 SE 17th Ave,Portland,MULTNOMAH,snap
-121.92963,42.126923,The Keno Store,15211 Hwy 66,Keno,KLAMATH,snap
-122.65331,45.511837,Issac Petroleum LLC,1525 SE Ladd Ave,Portland,MULTNOMAH,snap
-122.94803,45.004925,E Z Orchards Farm Market,5504 Hazelgreen Rd Ne,Salem,MARION,snap
-122.9693,45.510208,Jackson's Food Store 511,1275 SE Tualatin Valley Hwy,Hillsboro,WASHINGTON,snap
-122.88268,42.318398,"Smart Choice Market 2, Inc",424 S Peach St,Medford,JACKSON,snap
-122.84441,45.530621,Plaid Pantry 232,16155 NW Cornell Rd,Beaverton,WASHINGTON,snap
-123.28941,43.025032,Stacie's Discount Outlet Llc,126 N Main St,Myrtle Creek,DOUGLAS,snap
-121.01984,44.2477,"Powell Butte Country Store, Inc",13673 SW Highway 126,Powell Butte,CROOK,snap
