STATEFP,UNSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"41","01660","4101660",Athena-Weston School District 29J,"00",KG,"12",G5420,,E,"842122328","187897","+45.7453190","-118.3598234"
"41","06300","4106300",Hermiston School District 8,"00",KG,"12",G5420,,E,"398054331","28263509","+45.8608244","-119.2169919"
"41","09660","4109660",Pilot Rock School District 2,"00",KG,"12",G5420,,E,"1608959090","103091","+45.4092940","-118.8535816"
"41","12600","4112600",Umatilla School District 6,"00",KG,"12",G5420,,E,"58437500","8270394","+45.8987053","-119.3466404"
"41","09270","4109270",Ontario School District 8,"00",KG,"12",G5420,,E,"319547453","4957736","+44.0588435","-117.0140695"
"41","01020","4101020",Adrian School District 61,"00",KG,"12",G5420,,E,"748964238","13893165","+43.6332381","-117.1412385"
"41","06120","4106120",Harper School District 66,"00",KG,"12",G5420,,E,"3038276984","448758","+43.7959757","-117.7611438"
"41","09000","4109000",Nyssa School District 26,"00",KG,"12",G5420,,E,"952471135","8752127","+43.7777878","-117.2994213"
"41","01350","4101350",Annex School District 29,"00",KG,"12",G5420,,E,"430093858","5698756","+44.2073251","-117.2079015"
"41","07880","4107880",McDermitt School District 51,"00",KG,"12",G5420,,E,"7185158475","282522","+42.3071136","-117.6338573"
"41","08520","4108520",Morrow School District 1,"00",KG,"12",G5420,,E,"4267842381","44372294","+45.3869477","-119.5259175"
"41","00047","4100047",Ione School District 2,"00",KG,"12",G5420,,E,"1085850208","0","+45.4910698","-119.8832022"
"41","07280","4107280",Lakeview School District 7,"00",KG,"12",G5420,,E,"4627827648","259637865","+42.3653864","-120.4003130"
"41","11400","4111400",North Lake School District 14,"00",KG,"12",G5420,,E,"7953731776","11902992","+43.2978269","-120.6056860"
"41","00990","4100990",Adel School District 21,"00",KG,"12",G5420,,E,"1410122925","6892209","+42.1230789","-119.7166502"
"41","09960","4109960",Plush School District 18,"00",KG,"12",G5420,,E,"3531836841","112664194","+42.4238067","-119.7767205"
"41","00021","4100021",South Wasco County School District 1,"00",KG,"12",G5420,,E,"2606324023","7873475","+45.0949853","-121.1065816"
"41","00048","4100048",North Wasco School District 21,"00",KG,"12",G5420,,E,"453268010","15326922","+45.5849590","-121.3145194"
"41","04500","4104500",Eagle Point School District 9,"00",KG,"12",G5420,,E,"1686205023","11726156","+42.7354527","-122.9164807"
"41","09750","4109750",Pinehurst School District 94,"00",KG,"12",G5420,,E,"242989792","187663","+42.0961079","-122.3534106"
"41","10200","4110200",Prospect School District 59,"00",KG,"12",G5420,,E,"646185659","10157907","+42.8308193","-122.4246084"
"41","02580","4102580",Butte Falls School District 91,"00",KG,"12",G5420,,E,"886133073","2375822","+42.5499599","-122.4603103"
"41","01980","4101980",Bend-La Pine Administrative School District 1,"00",KG,"12",G5420,,E,"4043696697","91360895","+43.8360961","-121.4163631"
"41","11490","4111490",Sisters School District 6,"00",KG,"12",G5420,,E,"702917366","482078","+44.3085420","-121.6091702"
"41","06930","4106930",Junction City School District 69,"00",KG,"12",G5420,,E,"422754102","2074786","+44.2061790","-123.3070442"
"41","05100","4105100",Siuslaw School District 97J,"00",KG,"12",G5420,,E,"571891448","259110727","+44.0106633","-124.0842489"
"41","07740","4107740",Marcola School District 79J,"00",KG,"12",G5420,,E,"302449509","0","+44.2142994","-122.7868321"
"41","09870","4109870",Pleasant Hill School District 1,"00",KG,"12",G5420,,E,"277699931","1279099","+43.9054748","-122.8664390"
"41","11670","4111670",Springfield School District 19,"00",KG,"12",G5420,,E,"469493816","5056649","+44.0891223","-122.8422781"
"41","02840","4102840",Central School District 13J,"00",KG,"12",G5420,,E,"400698762","3987312","+44.8165079","-123.2312196"
"41","09600","4109600",Philomath School District 17J,"00",KG,"12",G5420,,E,"530289739","809598","+44.5957682","-123.4770613"
"41","06820","4106820",Jordan Valley School District 3,"00",KG,"12",G5420,,E,"3797491605","48730177","+43.0672871","-117.2747209"
"41","03330","4103330",Condon School District 25J,"00",KG,"12",G5420,,E,"2122160195","3819725","+45.2530414","-120.2108054"
"41","06740","4106740",Jefferson County School District 509J,"00",KG,"12",G5420,,E,"3796788042","15366593","+44.8022764","-121.2606462"
"41","01590","4101590",Ashwood School District 8,"00",KG,"12",G5420,,E,"1110402083","319758","+44.6613371","-120.6140461"
"41","07080","4107080",Klamath Falls City Schools,"00",KG,"12",G5420,,E,"188169321","1426100","+42.2640991","-121.8038001"
"41","00040","4100040",Knappa School District 4,"00",KG,"12",G5420,,E,"175887745","82505490","+46.1974532","-123.5767604"
"41","01920","4101920",Beaverton School District 48J,"00",KG,"12",G5420,,E,"148315975","29221","+45.4957301","-122.8255214"
"41","08720","4108720",Newberg School District 29J,"00",KG,"12",G5420,,E,"209110886","1876748","+45.3207227","-122.9824492"
"41","10040","4110040",Portland School District 1J,"00",KG,"12",G5420,,E,"350628027","27232162","+45.5584071","-122.7274106"
"41","01120","4101120",Greater Albany School District 8J,"00",KG,"12",G5420,,E,"404281155","6146928","+44.6183605","-123.0802643"
"41","08430","4108430",Monroe School District 1J,"00",KG,"12",G5420,,E,"339807257","1111210","+44.3502692","-123.3924742"
"41","01200","4101200",Alsea School District 7J,"00",KG,"12",G5420,,E,"430327311","820590","+44.3649961","-123.6231522"
"41","10680","4110680",Rogue River School District 35,"00",KG,"12",G5420,,E,"653520478","731200","+42.5854261","-123.1092812"
"41","02940","4102940",Central Point School District 6,"00",KG,"12",G5420,,E,"596405965","4640159","+42.5082673","-122.9772141"
"41","08040","4108040",Medford School District 549,"00",KG,"12",G5420,,E,"949436850","4246518","+42.2053810","-122.9932690"
"41","09630","4109630",Phoenix-Talent School District 4,"00",KG,"12",G5420,,E,"358030072","53663","+42.1632200","-122.8117840"
"41","12690","4112690",Union School District 5,"00",KG,"12",G5420,,E,"886608084","2462782","+45.1286446","-117.6518423"
"41","03940","4103940",David Douglas School District 40,"00",KG,"12",G5420,,E,"28043639","49290","+45.4978793","-122.5382188"
"41","09480","4109480",Parkrose School District 3,"00",KG,"12",G5420,,E,"29137705","5073618","+45.5685716","-122.5620702"
"41","07380","4107380",Lebanon Community School District 9,"00",KG,"12",G5420,,E,"625025211","3151517","+44.5322410","-122.8210443"
"41","11040","4111040",Scio School District 95,"00",KG,"12",G5420,,E,"278252876","389320","+44.6836948","-122.7558049"
"41","00020","4100020",North Santiam School District 29J,"00",KG,"12",G5420,,E,"389338040","2828932","+44.7975498","-122.6577043"
"41","01500","4101500",Arock School District 81,"00",KG,"12",G5420,,E,"4554225280","5333103","+43.0501681","-117.8428014"
"41","02490","4102490",Harney County School District 3,"00",KG,"12",G5420,,E,"3390058540","2635138","+43.7200398","-119.1203883"
"41","07530","4107530",Long Creek School District 17,"00",KG,"12",G5420,,E,"2152066730","18184","+44.7773512","-119.0063990"
"41","01470","4101470",Arlington School District 3,"00",KG,"12",G5420,,E,"921194728","43094992","+45.6303392","-120.2190308"
"41","03990","4103990",Dayton School District 8,"00",KG,"12",G5420,,E,"146507298","3064435","+45.1939760","-123.0652565"
"41","00016","4100016",Yamhill-Carlton School District 1,"00",KG,"12",G5420,,E,"478364493","889596","+45.3575371","-123.2777040"
"41","10560","4110560",Riverdale School District 51J,"00",KG,"12",G5420,,E,"4407531","511705","+45.4454998","-122.6613922"
"41","06600","4106600",Huntington School District 16J,"00",KG,"12",G5420,,E,"853181784","16706326","+44.4549121","-117.3293124"
"41","09720","4109720",Pine-Eagle School District 61,"00",KG,"12",G5420,,E,"1652080707","18794161","+44.8900891","-117.1323641"
"41","13350","4113350",Willamina School District 30J,"00",KG,"12",G5420,,E,"672845787","223451","+45.1139191","-123.5875097"
"41","03265","4103265",Rainier School District 13,"00",KG,"12",G5420,,E,"294422424","19679188","+46.0144280","-122.9747953"
"41","10520","4110520",Reynolds School District 7,"00",KG,"12",G5420,,E,"65190862","20471726","+45.5520968","-122.4412559"
"41","02780","4102780",Cascade School District 5,"00",KG,"12",G5420,,E,"211766736","1121392","+44.8177870","-122.9101936"
"41","08880","4108880",North Marion School District 15,"00",KG,"12",G5420,,E,"113138663","602493","+45.2164059","-122.8145496"
"41","13530","4113530",Woodburn School District 103,"00",KG,"12",G5420,,E,"80684041","197914","+45.1442901","-122.8577301"
"41","00015","4100015",Gervais School District 1,"00",KG,"12",G5420,,E,"179558776","1858348","+45.0804800","-122.9424527"
"41","08550","4108550",Mount Angel School District 91,"00",KG,"12",G5420,,E,"34590159","92063","+45.0653929","-122.7958424"
"41","06900","4106900",Three Rivers School District,"00",KG,"12",G5420,,E,"4423625117","5620971","+42.3491489","-123.5215715"
"41","11760","4111760",St. Paul School District 45,"00",KG,"12",G5420,,E,"107975549","3095674","+45.2195094","-122.9484929"
"41","01800","4101800",Bandon School District 54,"00",KG,"12",G5420,,E,"275154980","174510352","+43.1316531","-124.3899914"
