osm_id,name,RLIS.reviewed,abandoned,access,addr.postcode,alt_name,area,bicycle,bridge,covered,created_by,destination,embankment,fixme,foot,footway,ford,golf,golf_cart,hgv,highway,horse,lanes,layer,lit,location,man_made,maxspeed,motor_vehicle,motorcar,name_1,name_2,name_3,noexit,noname,note,old_name,oneway,pc_left,pc_right,piste.difficulty,piste.lit,piste.name,piste.type,railway,ref,seasonal,segregated,service,sidewalk,smoothness,source,source.name,substance,surface,tiger.cfcc,tiger.county,tiger.name_base,tiger.name_base_1,tiger.name_base_2,tiger.name_base_3,tiger.name_direction_prefix,tiger.name_direction_suffix,tiger.name_direction_suffix_1,tiger.name_direction_suffix_2,tiger.name_type,tiger.name_type_1,tiger.name_type_2,tiger.name_type_3,tiger.reviewed,tiger.separated,tiger.source,tiger.tlid,tiger.upload_uuid,tracktype,tunnel,waterway,width
"5039282",,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,,
"5039284",,,,,,,,,,,,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,driveway,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,,
"5039286",9th Street,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A41,,9th,,,,,,,,St,,,,no,,,,,,,,
"5039288",Snowberry Drive,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A41,,,,,,,,,,,,,,no,,,,,,,,
"5039297",Klm Drive,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,,
"5039299",,,,,,,,,,,,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,driveway,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,,
"5039305",,,,,,,,,,,,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,driveway,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,,
"5039307",Marian Street,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A41,,Marian,,,,,,,,St,,,,no,,,,,,,,
"5039316",,,,,,,,,,,,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,driveway,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,,
"5039320",Orchard Road,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A41,,Orchard,,,,,,,,Rd,,,,no,,,,,,,,
"5039324",Lava Bed Drive,,,,,,,,,,,,,,,,,,,,unclassified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,,
"5039347",17th Street,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A41,,17th,,,,,,,,St,,,,no,,,,,,,,
"5039351",,,,,,,,,,,,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A41,,,,,,,,,,,,,,no,no,tiger_import_dch_v0.5_20070714,"158133011",,,,,
"5039355",,,,,,,,,,,,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,driveway,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,,
"5039367",Rainbow Drive,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A41,,,,,,,,,,,,,,no,,,,,,,,
"5039368",Beachwood Drive,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A41,,Beachwood,,,,,,,,Dr,,,,no,,,,,,,,
"5039373",,,,,,,,,,,,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,driveway,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,,
"5039376",Sterling Drive,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,Sterling Place,,,,,,,,,,,,,,,,,,,,,,,,,A41,,Sterling,Sterling,,,,,,,Dr,Pl,,,no,,,,,,,,
