Landmark,Station/Rescue,Address,Website,Latitude,Longitude,Notes
UVA University Hospital,,"1215 Lee St., Charlottesville, VA 22903",https://uvahealth.com/,38.03145,-78.49936,
Martha Jefferson Hospital,,"500 Martha Jefferson Dr, Charlottesville, VA 22911",https://www.sentara.com/charlottesville-virginia/hospitalslocations/locations/martha-jefferson-hospital.aspx,38.022781,-78.443993,
Charlottesville-Albemarle Rescue Squad,Rescue 1 & Rescue 8,"P.O. Box 160, 828 McIntire Road, Charlottesville, VA 22902",https://carsrescue.org/,38.04164,-78.47457,
Crozet Volunteer Fire Department,Station 5,"P.O. Box 696, 5652 Three Notch'd Road, Crozet, VA 22932",http://crozetfire.org/,38.06936,-78.69501,
Earlysville Volunteer Fire Company,Station 4,"P.O. Box 104, 283 Reas Ford Road, Earlysville, VA 22936",https://www.earlysvillefire.org/,38.14501,-78.49132,
East Rivanna Volunteer Fire Company,Station 2,"3501 Steamer Drive, Keswick, VA 22947",https://www.ervfc.com/,38.01121,-78.37381,
Hollymead Fire Rescue,Station 12 & Rescue 12,"3575 Innovation Drive, Charlottesville, VA 22911",,38.13833,-78.43837,
Ivy Fire Rescue,Station 15,"640 Kirtley Ln, Charlottesville, Virginia 22901",,38.0524,-78.55019,
Monticello Fire Rescue,Station 11,"25 Mill Creek Drive, Charlottesville, VA 22902",,37.99782,-78.49488,
North Garden Volunteer Fire Company,Station 3,"P.O. Box 33, 4907 Plank Road North Garden, VA 22959",https://www.ngvfc.org/,37.95602,-78.65806,
Pantops Rescue Squad,Rescue 16,"c/o Albemarle County Fire Rescue, 460 Stagecoach Road, Charlottesville, VA 22902",,38.00549,-78.51595,
Scottsville Volunteer Fire Department,Station 7,"P.O. Box 381, 141 Irish Road, Scottsville, VA 24590",http://www.scottsvillefire.org/,37.80764,-78.50487,
Scottsville Volunteer Rescue Squad,Rescue 7,"P.O. Box 550, 805 Irish Road Scottsville, VA 24590",,37.80812,-78.52859,Dissolved?
Seminole Trail Volunteer Fire Department,Station 8,"P.O. Box 7002, 3055 Berkmar Drive Charlottesville, VA 22906",http://stvfd.org/,38.08334,-78.4798,
Stony Point Volunteer Fire Company,Station 6,"3827 Stony Point Road, Charlottesville, VA 22911",http://spvfc.org/,38.11032,-78.37061,
Western Albemarle Rescue Squad,Rescue 5,"1265 Crozet Ave, Crozet, VA 22932",http://www.westernrescue.org/,38.07047,-78.69975,
Berkmar Rescue Squad (CARS)??,,,,,,
