year,FYtotal_revenue_actual,FYtotal_expenses_actual,FYtotal_revenue_approved,FYtotal_expenses_approved,FYtotal_corrections_expenses_actual,FYtotal_corrections_expenses_approved,corrections_pct_expenses,corrections_actual_appr_diff,FYtotal_drugprosec_expenses_actual,drugprosec_pct_expenses,FYtotal_drugprosec_expenses_approved,FYtotal_coopexten_actual,coopexten_pct_expenses,FYtotal_coopexten_approved
2008,"110,540,007","103,789,804",NA,NA,"2,214,681",NA,0.021338136,NA,"137,095",0.001320891,NA,"75,771",0.000730043,NA
2009,"93,225,223","93,497,874",NA,NA,"2,274,488","2,224,584",0.024326628,"-49,904","132,018",0.001411989,"138,233","97,873",0.001046794,"106,310"
2010,"95,000,845","94,237,084","91,659,098","91,659,098","2,046,893","2,081,430",0.021720674,"34,537","125,817",0.001335111,"135,954","102,929",0.001092235,"106,310"
2011,"89,668,515","90,656,735","89,904,676","89,904,676","1,944,648","2,112,986",0.021450673,"168,338","80,727",0.000890469,"128,949","76,735",0.000846435,"106,058"
2012,"87,867,504","90,530,690","86,216,400","86,216,400","2,397,944","2,397,561",0.026487636,-383,"112,438",0.001241988,"126,450","70,635",0.000780233,"66,117"
2013,"89,171,854","87,243,475","87,576,313","87,576,313","2,197,047","2,412,997",0.025182938,"215,950","130,017",0.001490278,"136,142","86,167",0.000987661,"83,477"
2014,"87,947,211","85,784,980","87,218,030","87,218,030","2,064,145","2,087,509",0.024061846,"23,364","135,588",0.001580556,"132,719","99,046",0.001154584,"98,054"
2015,"90,269,421","87,743,053","88,315,299","88,315,299","2,760,777","2,368,263",0.031464337,"-392,514","149,871",0.001708067,"146,862","115,866",0.001320515,"136,081"
2016,"88,722,457","85,500,717","90,862,023","90,862,023","3,403,404","3,379,791",0.039805561,"-23,613","150,997",0.001766032,"145,030","122,007",0.00142697,"132,781"
2017,"91,816,903","89,926,784","91,246,469]","91,246,469","2,687,696","2,708,081",0.029887603,"20,385","154,247",0.001715251,"158,077","107,809",0.001198853,"118,429"
2018,"93,692,087","95,528,376","92,798,816","92,798,816","2,853,487","2,839,228",0.02987057,"-14,259","161,368",0.001689215,"154,528","114,472",0.001198304,"115,543"
2019,"97,370,201","97,937,830","93,980,814","93,980,814","3,048,029","3,165,846",0.03112208,"117,817","163,267",0.001667047,"159,495","111,495",0.001138426,"116,954"
2020,NA,NA,"95,503,467","95,503,467",NA,"2,927,210",NA,NA,NA,NA,"164,309",NA,NA,"121,194"
2021,NA,NA,"106,392,317","106,392,317",NA,"3,326,923",NA,NA,NA,NA,"180,124",NA,NA,"113,786"
,,,,,,,,,,,,,,
