an,title,Is this article about a new product drug or medical device that is being launched or will be launched,If not about a launch is this article about FDA submission approval review process of a drug or medical device
AMHL000020170425ed4p00005,"Stents appear to increase stroke patients' recovery rate, but access to the treatment remains limited",no,no
RAUNEW0020160325ec3o00002,"ACE Inhibitors, ARBs Comparable for Diabetic Retinopathy Patients",no,no
FLYWAL0020181031eeav00hd2,"07:33 EDT Allergan post-earnings selloff looks overdone, says Morgan...",no,no
ECECON0020160408ec4800012,Environmental Research; Data on Environmental Research Described by Researchers at Washington State University (Fate of Antibiotics and Antibiotic Resistance during Digestion and Composting: A Review),no,no
DAINEG0020160614ec6e000e1,Japan's Terumo buying US brain catheter maker,no,no
CHPR000020160616ec6d0000v,Victoza significantly reduced the risk of major cardiovascular events and death in adults with type 2 diabetes in the LEADER trial.,no,no
DJDN000020161129ecbt003gb,Celldex Therapeutics Files 8K - Unregistered Equity Sales >CLDX,no,no
ICROWDN020180816ee8g001ut,Ibuprofen Market 2018 Global Industry Overview and Comprehensives Analysis Research Report,no,no
NFINCE0020180821ee8l001jy,"AMRX Soars On Contract Win, TRPX Looks Ahead With Hope, ALXN To Face FDA In Feb",no,yes
BIOELSE020130913e99500001,Adocia: Activity and results for 1H 2013.,no,no
OBWK000020140307ea3f0018h,Hormones; Researchers from University of Otago Report Recent Findings in Estradiol Congeners,no,no
INVWK00020130816e98o0008e,"Exactech, Inc. Exactech Announces Investor Presentation at Canaccord Genuity Growth Conference",no,no
PHBW000020140502ea55000bb,"Pharmaceutical Preparations; Valeant Pharmaceuticals International, Inc. Files SEC Form 8-K, Current Report (Apr. 21, 2014)",no,no
PHBW000020140627ea6u0000s,Institute for In Vitro Sciences; China FDA signs MOU with US laboratory to Promote Non-Animal Testing Methods in China,no,yes
HAMW000020131220e9cr003le,"K2M, Inc. Patent Issued for Posterior Modular Disc Replacement System",yes,no
IFDAW00020141107eab700006,FDA BIOLOGICS CENTER NETS FIRST 'BREAKTHROUGH' APPROVAL WITH VACCINE,no,yes
BTBW000020161114ecbe0004j,"Pharmaceutical Companies; World Liver Diseases Therapeutics Market Report 2014-2022 - Analysis, Technologies & Forecasts - Vendors: Abbott Labs, Astellas Pharma, Gilead Science - Research and Markets",no,no
BIOELSE020150810eb840000d,Medican enters into an agreement with Music Quest Entertainment Studio.,no,no
DJDN000020170607ed67002gd,"CEO Bryant Registers 12,000 Of Quidel Corporation >QDEL",no,no
PRESSA0020160901ec91000xf,Pharnext‰Ûªs PXT3003 Featured in Multiple Presentations at the 6th International Charcot-Marie-Tooth and Related Neuropathy Consortium (CMTR) Meeting,no,no
AIFW000020151123ebbn00001,Drugs and Therapies; Data on Antibiotics Reported by Researchers at Buddhist Tzu-Chi University (Effectiveness of Prophylactic Antibiotics against Post-Ureteroscopic Lithotripsy Infections: Systematic Review and Meta-Analysis),no,no
DJDN000020150105eb150024t,Novartis Wins FDA Staff Nod for Neupogen Biosimilar -- Market Talk,no,yes
MDST000020131108e9bh000tx,"Cyberonics, Inc. Patent Issued for Vagus Nerve Neurostimulator with Multiple Patient-Selectable Modes for Treating Chronic Cardiac Dysfunction",yes,no
PZON000020161108ecb80003w,Pomerantz Law Firm Announces the Filing of a Class Action against Allergan plc and Certain Officers -- AGN,no,no
JRML000020150306eb3900084,"Patents; Researchers Submit Patent Application, ""Robotic Surgical Devices, Systems and Related Methods"", for Approval",yes,no
DJDN000020140625ea6p0019o,Shire Creeps Up; AbbVie Outlines Deal Rationale -- Market Talk,no,no
BTBW000020150227eb3200078,"Medicinal Chemicals and Botanical Products; Transition Therapeutics Inc. Files SEC Form 6-K, Report of Foreign Issuer [Rules 13A-16 And 15D-16] (Feb. 12, 2015)",no,no
OBWK000020180302ee32000du,Gastroenterology - Colorectal Research; Findings in the Area of Colorectal Research Reported from Sapienza-University (SMO Inhibition Modulates Cellular Plasticity and Invasiveness in Colorectal Cancer),no,no
INDFED0020130121e91l000m2,ACADIA PHARMACEUTICALS REPORTS MULTIPLE TRANSACTIONS BY CEO HACKSELL (California),no,no
DJDN000020130507e957005mu,DJ Amer Science&Engineering Files 8K - Operations And Financial Condition >ASEI,no,no
DJDN000020181114eebe0020t,Press Release: Nemaura Medical to Present at the Canaccord Genuity Medical Technologies & Diagnostics Forum,no,no
DRGW000020140328ea440007g,Health and Medicine; New Neurooncology Findings from Laval University Discussed,no,no
ICROWDN020170822ed8m000rv,Chromatography Syringes Market provides an in-depth insight of Sales and Trends Forecast to 2022,no,no
DJDN000020171215edcf0031o,"Dir Thaure Registers 8,000 Of Pulse Biosciences Inc >PLSE",no,no
BIOELSE020170131ed1o0000h,ELC Group release: global life sciences partner company teams with PSR Group for advanced drug development.,no,no
BWR0000020180611ee6b0002a,Translate Bio Announces Agreement with Sanofi Pasteur to Develop Vaccines for Infectious Diseases using Novel mRNA Technology,no,no
PHBW000020140926ea9t0009p,"Pharmaceutical Preparations; Oramed Pharmaceuticals Inc. Files SEC Form 4, Statement of Changes in Beneficial Ownership of Securities (Sept. 12, 2014)",no,no
INVDAI0020141008eaa70002z,"Salix, Actavis Among Big Cap Pharmas In Merger Mambo",no,no
INDFED0020130510e95a000ia,STAAR SURGICAL REPORTS DISPOSITION BY VP ANDREWS (California),no,no
JOENG00020141120eaaf0026a,Sicor Inc. Patent Issued for Forms of Tiotropium Bromide and Processes for Preparation,yes,no
RPLNWS0020140218ea1e00001,Rubber product manufacturers in the US.,no,no
PRESSA0020180626ee6q0083q,Saladax Signs Licensing Agreement with Janssen for Antipsychotic Drug Testing Patents,yes,no
GLOMCP0020180704ee74003q6,Hemispherx Biopharma Inc - Company Locations and Subsidiaries,no,no
DLYNWSND20150605eb6400006,Innovations in contact lenses make them more comfortable than ever,no,no
MDST000020160902ec92000l5,"Surgical and Medical Instruments and Apparatus; Unilife Corp. Files SEC Form CT ORDER, Confidential Treatment Order (Aug. 19, 2016)",no,no
MTPW000020161020ecak003h2,Roche delivers good sales growth in the first nine months of 2016,no,no
ABZS000020160311ec380002t,Republicans Vote in Four States Today; Democrats Vote in Two States Today; U.S. Strike Kills 150 Suspected al-Shabaab Members; Two- year Anniversary of MH-370 Disappearance; Erin Andrews Wins $55 Million in Civil Suit. Aired 4:30-5a ET,no,no
NBPPBS0020160331ec3v0006r,USANA HEALTH SCIENCES UPDATES DIRECTOR PROFILES,no,no
NBPPBS0020140514ea5e0030k,Navidea Biopharmaceuticals chief executive officer Mark Pykett buys 14 May 2014,no,no
ICROWDN020171027edar000bb,2017 Market Research Report on Amifostine Industry,no,no
PHBW000020140124ea1r0004b,"Pharmaceutical Preparations; Alnylam Pharmaceuticals, Inc. Files SEC Form 4, Statement of Changes in Beneficial Ownership of Securities (Jan. 14, 2014)",no,no
DJDN000020180612ee6c0030z,Health Care Roundup: Market Talk,no,no
DJDN000020130708e978002lq,DJ BioSpecifics Files 8K - Regulation FD >BSTC,no,no
AMHL000020160311eb9o000d4,Clinton Follows Up Prescription Drug Plan With More General Health Care Reform Proposal,no,no
DJDN000020171206edc6001bq,Press Release: Madrigal's MGL-3196 Achieves Primary Endpoint in Patients with Biopsy-proven Non-alcoholic Steatohepatitis (NASH) in Phase 2 Clinical Trial,no,no
FLYWAL0020180220ee2k004jy,"Aimmune peanut allergy treatment proves' highly effective,' STAT reports",no,no
BTBW000020130823e98q0004w,"Pharmaceutical Preparations; Endocyte Inc. Files SEC Form 10-Q, Quarterly Report [Sections 13 Or 15(D)] (Aug. 9, 2013)",no,no
CTRW000020131101e9b4000kl,Clinical Research; Study Results from University of Michigan Update Understanding of Clinical Trials and Studies,no,no
RTNW000020130807e987000ng,DJ Tokyo Shares Post Biggest Fall Since Mid-June As Dollar Tumbles,no,no
DJ00000020130322e93m000bh,WSJ BLOG: Legal Events to Watch This Week,no,no
MERIRJ0020180221ee2l0000i,"Stuck in an opioids crisis, officials turn to acupuncture",no,no
DGAPCO0020140109ea1900105,"DGAP-News: Cancer Prevention Pharmaceuticals, Inc. and Tillotts Pharma AG Sign Licensing Agreement for CPP-1X/sulindac in Europe and Japan",yes,no
PHIBJO0020130606e9660008f,Aqua acquires another skin-care product,no,no
DJDN000020130822e98m003uu,DJ CHART Endo Pharmaceut Hldgs Inc ST: rise towards 41.5,no,no
KRTJG00020170607ed6600002,"EDITORIAL: AG Schimel, take on the opioid makers",no,no
LBA0000020141028eaas00af1,"UPDATE 3-Sanofi shares sink as diabetes sales slow, CEO pressured",no,no
EDGEWK0020170111ed190000r,Corporate:Cover Story: Glove makers no longer clear beneficiaries of stronger US dollar,no,no
ECOWEK0020150911eb9b000ax,"Air-Conditioning, Warm Air Heating Equipment and Industrial Refrigeration; Medbox, Inc. Files SEC Form D, Notice of Exempt Offering of Securities (Sept. 2, 2015)",no,no
