an,title,Is this article about a new product drug or medical device that is being launched or will be launched,If not about a launch is this article about FDA submission approval review process of a drug or medical device
DAMONL0020180322ee3m00al2,Glaxo in pole position in race for £14bn US rival as it fights to become a major player in the US,No,No
JOENG00020130329e943002f7,"Mallinckrodt LLC; Patent Issued for Methods for Producing Hydrocodone, Hydromorphone Or a Derivative",No,No
ATPATN0020160802ec82000b9,Mnemosyne Pharmaceuticals Inc Files Patent Application for N-alkylaryl-5-oxyaryl-octahydro-cyclopenta[c]pyrrole Negative Allosteric Modulators of NR2B,No,No
JOENG00020160808ec88000js,Eye Diseases and Disorders; New Glaucoma Study Findings Reported from Research Hospital (Evaluation of Retinal Nerve Fiber Layer and Ganglion Cell Complex Thickness in Unilateral Exfoliation Syndrome Using Optical Coherence Tomography),No,No
FNDW000020181108eeb700bqa,Q3 2018 Mannatech Inc Earnings Call - Final,No,No
HEALBE0020140408ea480004r,Biomet Releases 3Q Fiscal 2014 Results,No,No
DJDN000020161207ecc70003t,"VP Wang Sells 13,650 Of Edwards Lifesciences Corp >EW",No,No
GLOMCP0020151104ebb40039m,Cantel Medical Corp. - Company Locations and Subsidiaries,No,No
CHPR000020170912ed8v0000v,Sunovion submits New Drug Application for dasotraline to the FDA for the treatment of patients with ADHD.,No,Yes
DJDN000020150203eb23001zo,Can Afrezza Succeed Where Pfizer Failed? -- Market Talk,No,No
ATPHAM0020171002ed9s0005r,"CBT Pharmaceuticals Announces First U.S. Patient Dosed in Phase 1 Clinical Trial of c-Met inhibitor, CBT-101, for Advanced Solid Tumors with c-Met Dysregulation",Yes,No
LOGANB0020180807ee870000a,The Intelligencer of Wheeling: Release figures on opioid sales,No,No
HNFRDSNT20160728ec7r00006,Intro,No,No
HAMW000020160819ec8j000i8,"Electromedical and Electrotherapeutic Apparatus; Rockwell Medical, Inc. Files SEC Form 8-K, Current Report (Aug. 8, 2016)",No,No
ATPHAM0020150204eb1t00005,"Columbia Laboratories Announces Search for New Board Member, Impending Retirement of Chairman Stephen Kasnet",No,No
