an,title,Is this article about a new product drug or medical device that is being launched or will be launched,If not about a launch is this article about FDA submission approval review process of a drug or medical device
DJDN000020140904ea94003zy,"Press Release: Cortex Pharmaceuticals, Inc. Announces Appointment of Two Directors; Expands Board to Five Members",yes,no
IUST000020150724eb7o00005,Pro-TPA House Dems Poised To Warn USTR On Access To Meds In TPP,yes,no
NBPPBS0020150730eb7u00106,CONMED director John Workman buys 30 July 2015,no,no
ATPHAM0020180724ee7n00061,"Diplomat to Release Second-Quarter 2018 Operating Results, Host Conference Call on Aug. 6",no,no
CMPT000020140410ea4900009,iOS Brings Better Control To Hearing Aids,yes,no
RTNSIN0020150224eb2o0002y,"Sun Pharma recalls 3,263 bottles of epilepsy drug in US",no,yes
MDST000020161007eca7000b1,"Patents; Patent Application Titled ""Surgical Instrument Having a Multi-Layered Drive Beam"" Published Online (USPTO 20160270781)",yes,no
DJDN000020170117ed1h0012q,Press Release: Allergan and Gedeon Richter Announce Positive Phase III Results for Ulipristal Acetate 5 and 10 mg in the Treatment of Uterine Fibroids,no,yes
CAPTIM0020140422ea4m00004,Are parents putting kids' health at risk by refusing vaccines?,no,no
ENPNEW0020180214ee2e0002u,Abeona Therapeutics Receives FDA Orphan Drug Designation for ABO-202 Gene Therapy Program in Infantile Batten Disease,no,yes
PZON000020180509ee590000r,ThromboGenics Business Update - Q1 2018,no,no
PHBW000020130816e98j000gw,"Pharmaceutical Preparations; Tesaro, Inc. Files SEC Form 4, Statement of Changes in Beneficial Ownership of Securities (Aug. 1, 2013)",no,no
DJDN000020140207ea270004m,"VP POWERS Acquires 22,261 Of NUVASIVE INC >NUVA",no,no
PHBW000020140124ea1r000bp,"Pharmaceutical Preparations; Rexahn Pharmaceuticals, Inc. Files SEC Form 8-K, Current Report (Jan. 14, 2014)",no,yes
DJDN000020180601ee610016t,Press Release: Mylan to Present at Goldman Sachs 39th Annual Global Healthcare Conference,no,no
DJDN000020140430ea4u001zu,"Press Release: Rigel Announces Webcast of Investor Day on May 6, 2014",no,no
HAMW000020131004e9ab0036r,"Dental Equipment and Supplies; Biolase, Inc. Files SEC Form S-3, Registration Statement Under Securities Act of 1933 [Amend] (Sept. 19, 2013)",no,yes
VETWK00020141107eaba00001,Heska Corporation; Heska Signs Distribution Agreement with Henry Schein Animal Health,yes,no
ATEXPM0020180129ee1t0002u,Strides Shasun receives US FDA approval,no,yes
PBRELS0020131129e9bp00013,Stemline releases clinical trial results of brain cancer vaccine SL-701.,no,yes
OBWK000020160219ec2j0014b,Drug Eluting Stent; Researchers from Department of Internal Medicine Detail Findings in Drug Eluting Stent (Variability in Utilization of Drug Eluting Stents in United States: Insights From Nationwide Inpatient Sample),yes,no
BIWK000020150424eb4t001by,Fonds de solidarite Ftq; TVM Life Science Ventures VII Announces Investment in Esperas Pharma Inc.,no,no
BTBW000020170313ed3d00004,"Surgical and Medical Instruments and Apparatus; Boston Scientific Corp. Files SEC Form 4, Statement of Changes in Beneficial Ownership of Securities (Feb. 23, 2017)",no,yes
PRSNSSUN20150505eb170002c,The low-down on high fructose; On Living Healthier,no,no
LBA0000020180207ee2700kiz,Biogen stops testing Tysabri to treat stroke after study fails,no,yes
DRGW000020130712e97j0008v,"Nec Corporation; Researchers Submit Patent Application, ""Device, Method, and Program for Extracting Abnormal Event from Medical Information"", for Approval",no,yes
OFBOAR0020160118ec1b001pw,"Olerup - The organizational chart displays its 3 executives, including Roswitha Keller and Juergen Haeusler",no,no
ACQIND0020160804ec830004h,COMPANY SNAPSHOTS; SANOFI (FR: SAN) - UPDATED 03 AUGUST 2016,no,no
ENPNEW0020171002eda20001h,"RedHill Biopharma to Announce Top Line Results from BEKINDA 12 mg Phase II Study for IBS-D on October 3, 2017",no,yes
ATPHAM0020150616eb6g0005v,BioLineRx to Present at JMP Securities Life Sciences Conference in New York,yes,no
MPRMPR0020180403ee4200002,Novel Nasal Spray for Migraine Attacks to Be FDA Reviewed,no,yes
DJDN000020150401eb41001tn,Press Release: NIH Funds Study of Fully Personalized Immunotherapy AGS-004 Combined With a Latency Reversing Therapy for the Treatment of HIV,yes,no
JTRANS0020180309ee390002t,"Retail Drug Stores and Proprietary Stores; Diplomat Pharmacy, Inc. Files SEC Form 8-K, Current Report: (Feb. 26, 2018)",no,no
PZON000020141023eaan0000e,Global offering of DBV Technologies ordinary shares,,
APRS000020150530eb5u004po,Study sees benefit from more extensive breast cancer surgery,yes,no
JOENG00020170320ed3k0023e,Bovie Medical Corporation; Patent Issued for Surgical Sealing and Cutting Apparatus (USPTO 9585714),no,yes
VETWK00020150403eb460002z,"Pharmaceutical Companies; Eli Lilly's Trademark Application for ""LENZIAFOS"" Filed",no,yes
POLGOV0020140613ea6j0005d,"Ethicon Endo-Surgery, Inc. ""Adjustable Compression Staple and Method for Stapling with Adjustable Compression"" in Patent Application Approval Process",no,yes
