an,title,Is this article about a new product drug or medical device that is being launched or will be launched,If not about a launch is this article about FDA submission approval review process of a drug or medical device
METPHL0020161109ecb80002v,Some babies may need allergy tests before trying peanuts,,
PRESSA0020160426ec4q005bv,ARENA SOLUTIONS RINGS UP BEST QUARTER IN COMPANY'S HISTORY--AGAIN,,
CPIFIN0020170408ed4700009,United States : Governor Abbott Attends Grand Opening Of New McKesson Corporation Facility,,
DRGW000020140221ea2s0007z,Leukemia; New target isolated for leukemia drug development,,
EMNEAG0020171201edbu000e3,United States : Viking Therapeuticss VK5211 meets primary endpoint in phase 2 clinical trial,,
NASBJO0020140304ea34000b7,"Cumberland Pharmaceuticals reports net loss for Q4, full year",,
BOSBJO0020160907ec970005m,Agios gains $400M in market value on plans to seek approval for cancer drug,,
JMATH00020170103ed1300004,"CureLab, Inc. ""Methods for Introducing Mutations That Alter the Probability of Intranucleic Acid Base Pairing of a Conserved Structured Nucleotide and Related Compositions"" in Patent Application Approval Process (USPTO 20160364524)",,
PHBW000020150813eb8d0004n,"Pharmaceutical Preparations; Depomed Inc. Files SEC Form 8-K, Current Report (Aug. 3, 2015)",,
LATW000020170310ed3a00003,"Pharmaceutical Preparations; Achaogen Inc. Files SEC Form 4, Statement of Changes in Beneficial Ownership of Securities (Feb. 24, 2017)",,
FNDW000020180524ee5n004pi,Clementia Pharmaceuticals Inc. Special Call - Final,,
IDAHOSJ020171122edah000e7,Idaho State University students promote #ChoosePT campaign to curb opiate abuse,,
ENPNEW0020180205ee25000eg,Intercept Announces Updated U.S. Prescribing Information for Ocaliva to Reinforce Appropriate Dosing in PBC Patients with Advanced Cirrhosis,,
MDST000020180202ee22000gt,"Surgical and Medical Instruments and Apparatus; Pavmed Inc. Files SEC Form 424B5, Prospectus [Rule 424(B)(5)]: (Jan. 19, 2018)",,
DJDN000020170928ed9s002ir,Smaller Patient Pool for Amgen's Repatha Than Hoped -- Market Talk,,
HUGNEN0020130613e96d002jq,Medtronic CFO Gary Ellis to Speak at Wells Fargo Healthcare Conference,,
ICROWDN020180517ee5h001bt,"Emerging Trends in Gamma Probe Market 2022 by Investment Feasibility, Sales, Revenue and Production",,
BLACKHLS20170727ed7q0000e,The big reveal,,
