an,title,Is this article about a new product drug or medical device that is being launched or will be launched,If not about a launch is this article about FDA submission approval review process of a drug or medical device
HAMW000020170310ed3a0003k,"Trademarks; Edwards Lifesciences' Trademark Application for ""AUTHORITY"" Filed",,
WSJO000020160613ec6d00ayi,Corrections & Amplifications,,
MDST000020140523ea61000v7,"Surgical and Medical Instruments and Apparatus; Lombard Medical, Inc. Files SEC Form SC 13G, Statement of Acquisition of Beneficial Ownership By Individuals (May. 12, 2014)",,
MDST000020160805ec85000my,"Orthopedic, Prosthetic and Surgical Appliances and Supplies; Wright Medical Group N.V. Files SEC Form 4, Statement of Changes in Beneficial Ownership of Securities (Jul. 21, 2016)",,
DJDN000020141104eab4000fa,Antibiotic-Free Turkey Proves Scarce -- Market Talk,,
BWR0000020130909e9990000r,Genkyotex Receives FDA IND Approval for Phase II Clinical Study with First in Class NOX Inhibitor GKT137831,,
HTACCF0020180406ee46000p2,Glenmark recalls over 1 lakh bottles of Indomethacin capsules from US market,,
GLOMCP0020160119ec1j00b0u,"Pharmaceutical Manufacturing Research Services, Inc. - Company Overview",,
PEKNDT0020160928ec9r0000m,LETTERS TO THE EDITOR,,
ICROWDN020180718ee7i0006k,Global Dental Implants Market Size and Share 2018 – 2025,,
FNDW000020130610e9630035x,Alexion Pharmaceuticals at Jefferies Global Healthcare Conference - Final,,
CHEMEC0020151009eba9000hj,"Patents; Patent Application Titled ""Compounds and Methods for Treating Or Preventing Disease Conditions Associated with Alpha-1-Antirypsin"" Published Online (USPTO 20150265671)",,
DJDN000020180722ee7m000bl,"DJ Fluidigm Corporation, Inst Holders, 2Q 2018 (FLDM)",,
CTRW000020140801ea84000bf,General Mathematics; Investigators from Zhejiang University Have Reported New Data on General Mathematics (Research on a Nonlinear Robust Adaptive Control Method of the Elbow Joint of a Seven-Function Hydraulic Manipulator Based on Double-Screw-Pair Transmission),,
DJDN000020170404ed44000t4,Press Release: Provectus Biopharmaceuticals Closes Definitive Financing With PRH Group,,
DJDN000020160806ec86000b3,Follow-Up: Bristol's Bad Lung-Cancer News Buoys Merck -- Barron's,,
NBPPBS0020150710eb7b002pe,XOMA chief medical officer and senior vice president- research and development Paul Rubin sells 10 July 2015,,
APRS000020141007eaa700509,Video journalist getting experimental Ebola drug,,
AUSTOL0020160128ec1r0002v,"Zika virus: no vaccine, no cure",,
BON0000020150615eb6f000xd,Rachesky Buys $22M More in Navistar Shares,,
FLYWAL0020130528e95s0030e,"Cooper Companies to benefit from Bausch + Lomb deal, analyst says",,
PHBW000020150220eb2n0007r,"Pharmaceutical Preparations; Corbus Pharmaceuticals Holdings, Inc. Files SEC Form 8-K, Current Report (Feb. 10, 2015)",,
HAMW000020130412e94j000sy,"Aerie Pharmaceuticals, Inc. Aerie Pharmaceuticals Names Vicente Anido, Jr. as Chairman of the Board, and David Epstein as Chairman of Aerie's Scientific Advisory Board",,
ATPHAM0020160607ec6600060,Allergan Announces FDA Approval of BYVALSON (Nebivolol and Valsartan),,
DJDN000020170803ed830018i,Proteon Therapeutics Files 8K - Entry Into Definitive Agreement >PRTO,,
BTBW000020140221ea2o0002s,Drugs and Therapies; Researchers' Work from Vanderbilt University Focuses on Drug Delivery Systems,,
LBA0000020170518ed5i00c21,Johnson & Johnson offers EU concessions over Actelion deal,,
LFSW000020151020ebak0015j,"Panasonic Healthcare Holdings Co., Ltd. Patent Issued for Administration Apparatus for Medical Use (USPTO 9149582)",,
RTWK000020140718ea7l0003e,"Trademarks; Trademark Application for ""RESPIRATORY CARE CONNECTION"" Filed by GlaxoSmithKline",,
DJDN000020180703ee73002l0,NYSE American New 52-Week Highs And Lows,,
INDFED0020130510e95a0009e,FORM 8-K: SHIRE FILES CURRENT REPORT,,
NSWK000020150416eb4o0000c,Killer Pharmacy: Inside a Medical Mass Murder Case,,
BWR0000020140916ea9g0000j,"Pershing Square, Valeant and Allergan Settle Pending Litigation Before the Delaware Court of Chancery",,
BWR0000020130225e92p0009n,Third Annual Medical Pharmacy Trend Report Illuminates Hidden Healthcare Costs,,
NBPPBS0020131129e9bu0026f,Director Otterbach David P sees 166.7% return at Intelligent Living,,
DJDN000020130502e9520038a,PRESS RELEASE: Cardium Announces Generx Publication In Molecular Therapy,,
WLNW000020140206ea260000r,Lundbeck and NORD Introduce Raise Your Hand Campaign,,
PHBW000020130927e99u0001g,Lipocine Inc. Lipocine Inc. Appoints Morgan Brown as Executive Vice President and Chief Financial Officer,,
LBA0000020180112ee1c00op8,UPDATE 1-U.S. FDA approves expanded use of AstraZeneca cancer drug,,
ECOWEK0020151120ebbk0007u,"Laboratory Analytical Instruments; Coherent Inc. Files SEC Form 8-K, Current Report (Nov. 4, 2015)",,
IINM000020130419e94j0002m,US giant sells bulk of Elan shares,,
EURACOM020130521e95l00006,Pesticide firms compete to showcase bee-protection programmes,,
CQCRS00020180813ee890000g,S2920: Commit to Opioid Medical Prescriber Accountability and Safety for Seniors Act of 2018,,
MTEU000020180207ee27000b5,Vaccibody expands HPV vaccine human clinical trial via Stratis needle-free device,,
BIWK000020140627ea720007d,"Research and Markets; Electrodes for Medical Devices Market - Global Industry Analysis, Size, Share, Growth, Trends and Forecast, 2013 - 2019",,
DJDN000020171114edbe00330,"Press Release: Isodiol International Announces U.S. Sales Launch of Hops-derived CBD Product, ImmunAG(TM)",,
BIWK000020171018edai0000m,"Pharmaceutical Preparations; Dandrit Biotech Usa, Inc. Files SEC Form NT 10-K, Notification of Inability To Timely File Form 10-K 405, 10-K, 10-KSB 405, 10-KSB, 10-KT, Or 10-KT405: (Sept. 29, 2017)",,
JOENG00020130125e91u000by,Akonni Biosystems; Akonni Biosystems Expands Family of TruTip Extraction Products for Hamilton Microlab STAR Line of Liquid Handling Workstations,,
ATEXPM0020140214ea2e00001,Sun Pharma gets US FDA approval for generic Temodar Temozolomide capsules,,
DJDN000020170628ed6s0017y,Press Release: Audentes Therapeutics Announces Participation in Upcoming Investor Conferences,,
GLOMCP0020160225ec2p0025t,Pfizer Inc. - Company Locations and Subsidiaries,,
CTRW000020140606ea69000fr,Clinical Research; Study Results from University of Tubingen in the Area of Clinical Trials and Studies Reported,,
MDST000020170616ed6g0007q,"Surgical and Medical Instruments and Apparatus; Medovex Corp. Files SEC Form 8-K, Current Report (Jun. 6, 2017)",,
BFNW000020161109ec4r007a4,3 health insurers in Western New York agree to change policies on covering chronic hepatitis C,,
DJ00000020130211e92b000ao,WSJ BLOG: Regeneron Shares Spike as Sanofi Moves to Boost Stake,,
ACWIRE0020180226ee2q0018h,Independent Research on Trending Growth Companies: Northwest Biotherapeutics and Sanuwave Health,,
RDFN000020150508eb4t0003v,Novartis reports additional data for alpelisib in combination with letrozole.,,
HEALBE0020130201e9210000a,Gilead Sciences to Release 4Q and Year End 2012 Financial,,
CHPR000020130403e93q0001n,Solutions4CO2 Inc signs Project Development Agreement with Quinlan Brothers Ltd.,,
DJDN000020140113ea1d00101,Press Release: Emergent BioSolutions Announces Preliminary 2013 Financial Results and Provides 2014 Forecast,,
DTMNTR0020170613ed640002x,Myriad Genetics announces data from Phase III metastatic breast cancer trial,,
MDT0000020130204e9130003r,MORE PRODUCTS FOR YOUR LAB,,
ENPNEW0020170918ed9i00060,Arrowhead Hosts Investor and Analyst R&D Day to Introduce TRiM Platform and Lead RNAi based Drug Candidates,,
DJDN000020130123e91n005em,Einhorn's Firm Shorted Herbalife Shares in 2012,,
