an,title,Is this article about a new product drug or medical device that is being launched or will be launched,If not about a launch is this article about FDA submission approval review process of a drug or medical device
JOENG00020150921eb9l000mi,Cook Medical Technologies LLC; Patent Issued for Implant Deployment Restraint Device (USPTO 9125765),,
LFSW000020131122e9bq00405,"Biological Products, (No Diagnostic Substances); Seattle Genetics Inc. Files SEC Form 10-Q, Quarterly Report [Sections 13 Or 15(D)] (Nov. 8, 2013)",,
INDFED0020150708eb78000zh,Clinical Trial: Minimally Invasive Sphincter Sparing Total Mesorectal Excision for Ultra-low Rectal Cancer After Initial Chemo-radiotherapy (MISS-TRICR).,,
MHWK000020160613ec6d0000k,"Empire BlueCross BlueShield; Empire BlueCross BlueShield Launches Program to Tackle Inappropriate Opioid and Rx Drug Use, Improve Drug Safety, Health Care Quality",,
NBPPBS0020160505ec550002m,MARRONE BIO INNOVATIONS UPDATES DIRECTOR PROFILES,,
INDFED0020140626ea6q0000z,"US Patent Issued on June 24 for ""Apparatus and method for cleaning lumens of medical devices and lines"" (Louisiana Inventor)",,
PZON000020160418ec4i00025,ChemoCentryx Announces Immuno-Oncology Data Presentation at the American Association for Cancer Research (AACR) Annual Meeting,,
DJDN000020160604ec64000ae,Press Release: Stemline Therapeutics' SL-401 Phase 2 BPDCN Data Delivered Via Oral Presentation at ASCO; High Response Rates Demonstrated Across All Lines As Enrollment Proceeds,,
GLOMCP0020160208ec28009pm,CTI BioPharma Corp. - Key Employee Biographies,,
POLGOV0020160811ec8b001n6,COVIDIEN; Patent Issued for Antimicrobial Non-Adherent Dressings and Related Methods Therefor (USPTO 9402770),,
TEHRNT0020170929ed9t0005p,Sanofi and Regeneron Announce Approval of Dupixent (dupilumab) to Treat Adult Patients with Moderate-to-Severe Atopic Dermatitis in the European Union,,
DJDN000020160413ec4d003vc,Shire Sees 'Healthy Uptake' of Drug for Binge-Eating Disorder -- Market Talk,,
BIWK000020150605eb6a000o5,"Helsinn Healthcare SA; Researchers Submit Patent Application, ""Liquid Pharmaceutical Formulations of Palonosetron"", for Approval",,
ICROWDN020180418ee4i000uo,"UV Adhesives Market Segmented by Product, Top Manufacturers, Geography Trends & Forecasts to 2024",,
PHBW000020130104e91700059,Pharmaceutical Companies; Patent Issued for Methods and Apparatus for Transdermal Or Transmucosal Application of Testosterone,,
PSVCLU0020140210ea2a0000f,Axsun Technologies Gets Qualification of New Lead-Free Tunable Laser Platform,,
