an,title,Is this article about a new product drug or medical device that is being launched or will be launched,If not about a launch is this article about FDA submission approval review process of a drug or medical device
INDFED0020140722ea7n005qb,"US Patent Issued to Ethicon Endo-Surgery on July 22 for ""Tissue acquisition arrangements and methods for surgical stapling devices"" (Ohio Inventors)",,
DJDN000020140402ea42000ex,"VP PACELLI Registers 14,000 Of DEXCOM INC >DXCM",,
PHBW000020140718ea7l0008w,"Pharmaceutical Preparations; Tekmira Pharmaceuticals Corp. Files SEC Form 8-K, Current Report (Jul. 3, 2014)",,
DJDN000020171220edck00151,Press Release: Loxo Oncology Initiates Rolling Submission of New Drug Application to U.S. Food and Drug Administration for Larotrectinib for the Treatment of TRK Fusion Cancers,,
BWR0000020141211eacb0003f,Teva Provides 2015 Business Outlook,,
DJDN000020181128eebs0019g,Press Release: Diplomat Selects Inovalon's Specialty Pharmacy Platform,,
RTDW000020171129edbr0001d,Philip M. Rosoff: Drug shortages continue to plague U.S. doctors and hospitals,,
DJDN000020131029e9at000a3,"*Merck Announces Presentation Of Interim Data From Phase 1B Study Of MK-3475, Investigational Anti-PD-1 Immunotherapy, In Previously-Treated Patients With Non-Small Cell Lung Cancer (NSCLC) At 15th World Conference On Lung Cancer",,
JOENG00020140725ea7u004lb,"Takazono Technology Incorporated; Researchers Submit Patent Application, ""Drug Preparing System and Drug Preparing Device"", for Approval",,
DJDN000020130906e996004en,DJ FDA Approves Celgene's Abraxane to Treat Pancreatic Cancer,,
ENPNEW0020170220ed2k000f1,Immucor Announces the Launch of Pak Lx RUO in the United States,,
HAMW000020150529eb650047k,"Trademarks; Trademark Application for ""AZOSTIX"" Filed by Bayer",,
PHBW000020150109eb1c00090,"Pharmaceutical Preparations; Merus Labs International Inc. Files SEC Form F-X, Appointment of Agent For Service of Process And Undertaking (Dec. 24, 2014)",,
DJDN000020150918eb9i000or,Press Release: McKesson Announces Agreement to Purchase the Pharmaceutical Distribution Division of UDG Healthcare plc,,
DJDN000020141025eaap00073,CFO SMITHER Registers 375 Of KYTHERA BIOPHARMACEUTICALS INC >KYTH,,
BIWK000020180530ee5u000cc,Ligand Pharmaceuticals Incorporated; Ligand Announces Proposed Offering of $650 Million of Convertible Senior Notes,,
RTTNEW0020160726ec7q0030d,Eli Lilly And Co. Reports 5% Drop In Q2 Bottom Line,,
WLNW000020131205e9c50008a,Aerogen Gets the Zenith Award from the American Association of Respiratory Care,,
JRML000020141003eaa600066,"Restoration Robotics, Inc. Patent Application Titled ""Locator Device for Medical Procedures on the Body Surface and Method of Its Use"" Published Online",,
FDADB00020161109ecb900003,Denson's Specialty Pharmacy Lands Form 483 for GMP Issues,,
PHBW000020180611ee6b00014,"Amneal Pharmaceuticals Inc. Amneal Announces FDA Approval of Cyclophosphamide for Injection USP, Generic to Cytoxan(R)",,
ATPHAM0020140131ea1t00093,Pennsylvania Department of Health Encourages Multi-Unit Housing Properties Statewide to Go Smoke Free,,
DJDN000020130502e952006ks,"DJ US HOT STOCKS: LinkedIn, Zagg, Guidance Software Active in Late Trading",,
STAUGR0020150929eb9t00005,To your good health: Is testosterone therapy worth the risk for men?,,
ATPHAM0020180316ee3g000gs,NeuroVive to Present at 2nd Annual H.C. Wainwright NASH Investor Conference,,
OFBOAR0020160328ec3n001yn,"Alliance Oncology - The organizational chart displays its 12 executives, including Greg Spurlock and Tim Smith",,
CHPR000020131024e9ai00015,Regulatory update - GSK and Genmab announce submission to US regulatory authorities for Arzerra (ofatumumab) as 1st line treatment of Chronic Lymphocytic Leukaemia (CLL).,,
BTBW000020171030edau0002l,Pharmaceutical Companies; Vertex to Announce Third Quarter 2017 Financial Results on October 25,,
