an,title,Is this article about a new product drug or medical device that is being launched or will be launched,If not about a launch is this article about FDA submission approval review process of a drug or medical device
ATPHAM0020161226eccm0003c,"Tokai Pharmaceuticals, Otic Pharma Enter into Share Purchase Agreement",,
DRGW000020150723eb7n0009s,Drugs and Therapies; Studies from Ocean University of China Update Current Data on Toxicology and Pharmacology [Bioaccumulation and detoxification responses in the scallop Chlamys farreri exposed to tetrabromobisphenol A (TBBPA)],,
DJDN000020160503ec530040p,"Press Release: Lantheus Holdings, Inc. Reports 2016 First Quarter Financial Results",,
DRGW000020130503e95a0008f,Anesthesiology; Recent Research from Columbia University Highlight Findings in Anesthesiology,,
USITC00020150727eb7r00003,Certain Kinesiotherapy Devices and Components Thereof; Commission Decision To Rescind a General Exclusion Order and Cease and Desist Orders,,
FLYWAL0020141230eacu0010f,NeuroDerm reports results of Phase IIa study of ND0612H and ND0612L,,
HAMW000020140228ea37004a4,"Electromedical and Electrotherapeutic Apparatus; Digirad Corp. Files SEC Form SC 13G, Statement of Acquisition of Beneficial Ownership By Individuals [Amend] (Feb. 14, 2014)",,
SXCTYJNL20170702ed7100014,"High-tech wound dressing reduces pain, bleeding, gives patients more freedom",,
DJDN000020160727ec7r003cr,"Holder Domain Partners VII LP Registers 470,586 Of Evoke Pharma Inc >EVOK",,
FNDW000020160213ec2c003jv,Q3 2016 Sun Pharmaceutical Industries Ltd Earnings Call - Final,,
BIOELSE020150826eb8j00002,Esperion (ESPR) rockets as lead drug ETC-1002 will not require heart trial for FDA approval.,,
MWDN000020140526ea5q0000d,HEALTH,,
KANBJO0020170809ed890008f,KCK startup taps new partner to steer approval of ADHD drugs,,
LFSW000020160628ec6s000hg,Intercellular Signaling Peptides and Proteins; Findings on Angiogenic Proteins Detailed by Investigators at Huazhong Agricultural University (Angiopoietin-Like Protein 7 Promotes an Inflammatory Phenotype in RAW264.7 Macrophages Through the P38 MAPK Signaling Pathway),,
ATPHAM0020160604ec6300060,"Nexvet Announces Opening of Manufacturing Facility, Production Milestone Achievement",,
DJDN000020130808e98800419,DJ CHART Affymax Inc ST: the RSI is overbought,,
DJDN000020160916ec9g0020q,Goldman Optimistic on CMA After Expense Announcements -- Market Talk,,
FBCOM00020151012ebac000gq,Eli Lilly's Good Cholesterol Drug Went Bad. Here's What That Means For Pharma,,
CTRW000020140718ea7l000ed,Bacterial Infections and Mycoses; Reports from Patras University Hospital Highlight Recent Findings in Sepsis (Early Administration of Hydrocortisone Replacement After the Advent of Septic Shock: Impact on Survival and Immune Response),,
PLAELS0020140404ea3r00002,Duke engineers shake up catheter biofilm research.,,
MFGCLU0020130114e91e0000h,GE Capital Serving as Administrative Agent on Senior Secured Credit Facility for Amedica,,
BBPUB00020150210eb2a000e9,Patent Issues Will Remain After FDA Approval Of Sandoz' Application For Filgrastim,,
DRGW000020140808ea8f000a0,Drugs and Therapies; Researchers at School of Environmental Science and Engineering Target Antibiotics (Relationship between trans-generational effects of tetracycline on Daphnia magna at the physiological and whole organism level),,
CDWK000020140912ea9f000bu,"Medtronic, Inc. Patent Issued for Tissue Lesion Evaluation",,
SDU0000020160911ec9b0004r,"Allergan CEO is shocked, shocked by insane drug prices",,
FDADOC0020130204e9240002t,FDA approval of generic version of cancer drug Doxil is expected to help resolve shortage,,
MFGCLU0020140403ea430001x,Biostar Pharmaceuticals Posts Full Year 2013 Financial Results,,
OBWK000020130621e96t000zx,Antimicrobial Agents and Chemotherapy; Researchers at Northeastern University Target Antimicrobial Agents and Chemotherapy,,
ATPHAM0020130528e95r000ce,Alexion to Present at the BofA Merrill Lynch 2013 Healthcare Conference,,
ATPHAM0020140417ea4e0000l,"Cypress University 3.0 Kicks Off in Las Vegas, Conference to Cover Latest Cost Containment Strategies in Employee Benefits",,
INDFED0020150117eb1h002h0,FORM 8-K: HEAT BIOLOGICS FILES CURRENT REPORT,,
FLYWAL0020170106ed16005pm,"08:05 EDT Juniper Pharmaceuticals unveils strategic, product objectives for...",,
LBA0000020140402ea42001bc,REUTERS SUMMIT-U.S. senator urges budget neutrality on Obamacare risk provisions,,
DATMON0020181128ee9600c5b,National Dentex Corporation - Company Locations & Subsidiaries,,
DRGW000020140103ea1a00091,Drugs and Therapies; Researchers at Addis Ababa University Target Ethnopharmacology,,
SUDNWA0020180105ee150005l,Tyme Announces Presentation of Clinical Data on SM-88 in Prostate Cancer at 2018 ASCO Genitourinary Cancers Symposium,,
GMPL000020181207eec700008,FDA Reconsiders Electronic Labeling for Certain Devices,,
DJDN000020160715ec7f001zp,Ziopharm Files 8K - Regulation FD >ZIOP,,
CNEWAS0020160809ec89001mm,"Valeant looks to sell billions in assets to cut debt, stock soars",,
ATPHAM0020131217e9cg000g7,The Dukan Diet: Survey 7 of 10 Americans will Resolve to Lose Weight in the New Year Even Though Most have Failed in Previous Attempts,,
ATPHAM0020171106edan0005r,Tenet CEO Trevor Fetter Departs Company as Part of Previously Announced Leadership Transition,,
ATPHAM0020180124ee1n0008w,Aethlon Medical Announces Validation Completion for European Patent Protecting Methods of Quantifying Exosomes,,
BIWK000020130503e958000n1,"Pharmagenesis, Inc. Patent Issued for Triptolide Lactone Ring Derivatives as Immunomodulators and Anticancer Agents",,
BIOELSE020130109e9130000c,Sanford-Burnham Medical Research Institute and Intrexon Corp establish collaboration to accelerate stem cell research.,,
FNDW000020150129eb1d006k7,Halozyme Therapeutics Inc at JPMorgan Healthcare Conference - Final,,
MSPBJO0020160715ec7f0002z,"Venture capital deals for Minnesota jump as big rounds go to health care, tech",,
BIOELSE020160118ec1b0000f,Cytokinetics (CYTK) outlines Vision 2020 strategic initiative to advance portfolio of muscle biology drug candidates.,,
FNDW000020180203ee21000gp,Event Brief of Q4 2017 Edwards Lifesciences Corp Earnings Call - Final,,
LBA0000020170731ed7v00gat,BUZZ-Clovis Oncology Inc: BMY deal lowers likelihood of takeover,,
J000000020160202ec2200013,Abbott Deal For Alere Passes Test,,
INVWK00020130419e94r0008i,"Integrity Applications, Inc. Integrity Applications Common Stock is Publicly Quoted on the OTC Bulletin Board under the Symbol ""IGAP""",,
HEALBE0020130522e95m0002u,Impax Laboratories Introduces Authorized Generic of Zomig (zolmitriptan) Tablets and Orally Disintegrating Tablets in the U.S.,,
CALNWSWR20180514ee5900004,"EyeBuyDirect Launches 'Buy 1 Give 1' Initiative, Donating a Pair of Glasses with Every Order to Someone in Need",,
LBA0000020150427eb4r004k1,Reuters Science News Summary,,
CLADV00020140116ea1f00002,Green tea may interfere with antihypertensives,,
HEPT000020170327ed3r00003,Liver Diseases and Conditions - Hepatitis C Virus; Findings from Bristol-Myers Squibb Co. Broaden Understanding of Hepatitis C Virus (Asunaprevir: An HCV Protease Inhibitor With Preferential Liver Distribution),,
MDST000020170519ed5j00032,"Surgical and Medical Instruments and Apparatus; Dextera Surgical Inc. Files SEC Form FWP, Filing Under Securities Act Rules 163/433 of Free Writing Prospectuses (May. 4, 2017)",,
ATPHAM0020130411e94b000dx,Dr Reddy's starts voluntary recall of muscle relaxant tizanidine tablets from US mkt,,
ATPATN0020150117eb1h0008l,Rigel Pharmaceuticals Inc Files Patent Application for Substituted Triazoles Useful as Axl Inhibitors,,
BNZNGA0020160406ec46000um,6 Investment Banks Lost More Than $200 Million From Pfizer-Allergan Deal Collapse,,
DRGW000020151030ebau0004l,Psychopharmacology; Studies from Orion Corp. Have Provided New Information about Psychopharmacology (Sensitivity of [C-11]ORM-13070 to increased extracellular noradrenaline in the CNS - a PET study in human subjects),,
MWDN000020160109ec1900003,BUSINESS,,
HNFRDSNT20180623ee6l0002t,What the US can learn from other countries in dealing with pain and the opioid crisis,,
ENRGWK0020180928ee9s00017,"Philips Lighting Holding B.V. ""Methods, Systems And Apparatus For Emergency Lighting"" in Patent Application Approval Process (USPTO 20180259143)",,
MDST000020140725ea83000js,"Intuitive Surgical Operations, Inc. Researchers Submit Patent Application, ""Surgical Instruments Having Improved Wear Resistance, and Methods of Making the Same"", for Approval",,
DJDN000020181030eeau003ti,*Keryx Biopharmaceuticals Announces Filing Of Definitive Joint Proxy Statement In Connection With Pending Merger With Akebia Therapeutics >KERX,,
ATPHAM0020171208edc4000gr,ChroMedX Announces in-House Biosensor Manufacturing for Expedited Testing and Refinement,,
OBWK000020140117ea1p001ac,Life Science Research; New Leukocyte Biology Data Have Been Reported by Investigators at University of Catanzaro Magna Graecia,,
INDFED0020130425e94p0007x,"WIPO PUBLISHES PATENT OF TEVA PHARMACEUTICAL INDUSTRIES, MUHAMMAD SAFADI, ANTON FRENKEL, MICHAL KEISAR, DANIT LICHT, ELIEZER BAHAR, RAMY LIDOR-HADAS, MARINA ZHOLKOVSKY, RACHEL COHEN AND TEVA PHARMACEUTICALS USA FOR ""R(+)-N-FORMYL-PROPARGYL-AMINOINDAN"" (ISRAELI INVENTORS)",,
PHBW000020150813eb8d0006h,"Pharmaceutical Preparations; Intra-cellular Therapies, Inc. Files SEC Form 10-Q, Quarterly Report [Sections 13 Or 15(D)] (Aug. 5, 2015)",,
MDST000020180126ee1q0000f,"Patent Application; ""Intraluminal Devices Configured for Directional Expansion"" in Patent Application Approval Process (USPTO 20180008445)",,
JOENG00020130118e91n00322,Natco Pharma Limited; Patent Issued for Polymorphs of Erlotinib Hydrochloride and Method of Preparation,,
FLTY000020170111ed1b0003d,Chan Zuckerberg adds political heavyweights,,
PHBW000020160822ec8m0007z,"Pharmaceutical Preparations; Insys Therapeutics, Inc. Files SEC Form 4, Statement of Changes in Beneficial Ownership of Securities (Aug. 9, 2016)",,
SYRANA0020181018eeai0002v,"FDA, DHS announce memorandum of agreement to address cybersecurity in medical devices",,
PHBW000020131206e9c90002e,Drugs and Therapies; Investigators at Monash University Discuss Findings in Pharmaceutical Science,,
PHBW000020150227eb32000c4,"Biological Products, (No Diagnostic Substances); Nps Pharmaceuticals Inc. Files SEC Form SC TO-T, Tender Offer Statement By Third Party [Amend] (Feb. 17, 2015)",,
OBWK000020130503e95b000ut,"Advanced Cardiovascular Systems, Inc. Patent Issued for Biobeneficial Coating Compositions and Methods of Making and Using",,
DJDN000020170324ed3o002jz,Pfizer and Germany's Merck Get Toehold in Key Market -- Market Talk,,
ELECWK0020140627ea72001ki,"Miscellaneous Electrical Machinery, Equipment and Supplies; Electro Scientific Industries Inc. Files SEC Form 4, Statement of Changes in Beneficial Ownership of Securities (Jun. 12, 2014)",,
AMHL000020170124eca5000k7,DOJ files motions to dismiss insurer risk corridors lawsuits while pursuing settlements,,
WSJO000020160825ec8p00cqd,Triangle Capital Invests $24.5 Million in Gryphon-Backed Smile Brands,,
ECOWEK0020150206eb2d000gl,"Laboratory Analytical Instruments; Illumina Inc. Files SEC Form 4, Statement of Changes in Beneficial Ownership of Securities (Jan. 28, 2015)",,
MDST000020150109eb1i000zh,"Surgical and Medical Instruments and Apparatus; Atricure, Inc. Files SEC Form 4, Statement of Changes in Beneficial Ownership of Securities (Dec. 31, 2014)",,
PHBW000020140516ea5j00092,"Pharmaceutical Preparations; Egalet Corp. Files SEC Form DEFR14A, Revised Definitive Proxy Soliciting Materials (May. 6, 2014)",,
ICROWDN020170714ed7e000k4,Active Pharmaceutical Ingredients (API) Market Research Report 2016 to 2023,,
DRGW000020161125ecbp00014,"Pharmaceutical Preparations; Integrated Biopharma Inc. Files SEC Form 10-Q, Quarterly Report [Sections 13 Or 15(D)] (Nov. 10, 2016)",,
ATPHAM0020130123e91m0009e,TurningPoint to Showcase Mobile Efficiency Center (MEC) at the Federal Mobile Computing Summit,,
CGAZ000020160222ec2l00035, Waiting lists grow for medicine to fight opioid addiction,,
HORNET0020170807ed870000d,HEALTH; Immunization Awareness Month,,
PHBW000020130809e98c00042,"Pharmaceutical Companies; Researchers Submit Patent Application, ""Endolumenal Esophageal Restriction Device"", for Approval",,
ATPHAM0020130622e96l0008j,Dana-Farber Cancer Institute: White House: Dana-Farber's Quackenbush a 'Champion of Change',,
DJDN000020171221edcl0022x,*US FDA Updates SYMBICORT Label With LABA Safety Class Revisions And Removes Boxed WARNING For Serious Asthma-Related Outcomes >AZN,,
ELECWK0020131108e9bd001aw,B. Braun Melsungen AG; Patent Issued for Systems and Methods for Enabling Wireless Functionality in Electronic Devices,,
DJDN000020180823ee8n001yz,Press Release: Delcath Announces 3rd Independent Safety Review of Randomized Trial Data for Metastatic Ocular Melanoma; Recommended Continuation with no Trial Modification,,
ATPHAM0020151104ebb300035,"Arcturus Therapeutics Announces Appointment of Drew Weissman M D, Ph D to Scientific Advisory Board",,
DJDN000020131121e9bl004qv,"Dir SACHS Sells 8,300 Of VERTEX PHARMACEUTICALS INC >VRTX",,
DRGW000020130111e91i0008w,Pharmaceutical Research; Researchers from Yeungnam University Discuss Findings in Pharmaceutical Research,,
FREG000020130225e92p0000i,Human Subject Protection; Acceptance of Data From Clinical Studies for Medical Devices,,
INDY000020161124ecbo00006,"In one case, drugs OK'd before disorder",,
