an,title,Is this article about a new product drug or medical device that is being launched or will be launched,If not about a launch is this article about FDA submission approval review process of a drug or medical device
DAMONL0020180322ee3m00al2,Glaxo in pole position in race for £14bn US rival as it fights to become a major player in the US,,
JOENG00020130329e943002f7,"Mallinckrodt LLC; Patent Issued for Methods for Producing Hydrocodone, Hydromorphone Or a Derivative",,
ATPATN0020160802ec82000b9,Mnemosyne Pharmaceuticals Inc Files Patent Application for N-alkylaryl-5-oxyaryl-octahydro-cyclopenta[c]pyrrole Negative Allosteric Modulators of NR2B,,
JOENG00020160808ec88000js,Eye Diseases and Disorders; New Glaucoma Study Findings Reported from Research Hospital (Evaluation of Retinal Nerve Fiber Layer and Ganglion Cell Complex Thickness in Unilateral Exfoliation Syndrome Using Optical Coherence Tomography),,
FNDW000020181108eeb700bqa,Q3 2018 Mannatech Inc Earnings Call - Final,,
HEALBE0020140408ea480004r,Biomet Releases 3Q Fiscal 2014 Results,,
DJDN000020161207ecc70003t,"VP Wang Sells 13,650 Of Edwards Lifesciences Corp >EW",,
GLOMCP0020151104ebb40039m,Cantel Medical Corp. - Company Locations and Subsidiaries,,
CHPR000020170912ed8v0000v,Sunovion submits New Drug Application for dasotraline to the FDA for the treatment of patients with ADHD.,,
DJDN000020150203eb23001zo,Can Afrezza Succeed Where Pfizer Failed? -- Market Talk,,
ATPHAM0020171002ed9s0005r,"CBT Pharmaceuticals Announces First U.S. Patient Dosed in Phase 1 Clinical Trial of c-Met inhibitor, CBT-101, for Advanced Solid Tumors with c-Met Dysregulation",,
LOGANB0020180807ee870000a,The Intelligencer of Wheeling: Release figures on opioid sales,,
HNFRDSNT20160728ec7r00006,Intro,,
HAMW000020160819ec8j000i8,"Electromedical and Electrotherapeutic Apparatus; Rockwell Medical, Inc. Files SEC Form 8-K, Current Report (Aug. 8, 2016)",,
ATPHAM0020150204eb1t00005,"Columbia Laboratories Announces Search for New Board Member, Impending Retirement of Chairman Stephen Kasnet",,
PHBW000020140912ea9f000j9,"Trademarks; Trademark Application for ""BIOTRAD"" Filed by GlaxoSmithKline",,
ATPHAM0020140904ea930003a,Anacor Pharmaceuticals to Present at Morgan Stanley Global Healthcare Conference,,
ECTIM00020160106ec1700008,"Cipla drug launches hold promise for FY17, grows in prescription business",,
NBPPBS0020180609ee690007q,Bellerophon Therapeutics director Daniel Tasse awarded Stock Options 08 June 2018,,
BUFF000020150828eb8s00006,Buffalo gives birth to a Unicorn,,
CHPWAHLD20160428ec4r0002e,Kids From Poorer Families May Have Worse Food Allergy Care,,
CTRW000020140103ea160008j,Nervous System Diseases and Conditions; Findings from University of Illinois Has Provided New Data on Headache,,
CUMBTN0020160608ec31000wl,Second local firm wants to open medical cannabis dispensary in Cumberland,,
CONGDP0020181025eeao0003h,Fitzpatrick Opioid Legislation Signed into Law; Bipartisan opioid package includes measures to prevent prescription drug abuse; Rep. Brian Fitzpatrick (R-PA) News Release,,
FDADOC0020130715e97f0002t,Oral Dosage Form New Animal Drugs; Nicarbazin; Oclacitinib; Zilpaterol - Federal Register Extracts,,
