an,title,Is this article about a new product drug or medical device that is being launched or will be launched,If not about a launch is this article about FDA submission approval review process of a drug or medical device
ALBNYDEM20180214ee2c0000k,Vaccination clinics resume at OSU,,
SAUDPA0020150522eb5m000xh,Transvaginal Mesh Lawyers at Bernstein Liebhard LLP Look Ahead to June Conference in New Jersey Pelvic Mesh Litigations,,
CHEMEC0020130628e975001sp,Structural Chemistry; Researchers from University of Teramo Report New Studies and Findings in the Area of Structural Chemistry,,
MDST000020170505ed550000l,"Surgical and Medical Instruments and Apparatus; Bard C R Inc. Files SEC Form 425, Prospectuses And Communications, Business Combinations (Apr. 24, 2017)",,
BWR0000020131125e9bp0007x,Visionworks Announces Completion of Nationwide Rebranding,,
RTTNEW0020150710eb7a002xl,AbbVie: IMBRUVICA Now Approved In EU To Treat Waldenstrom's Macroglobulinemia,,
GLOMCP0020160210ec2a000l8,"ACEA Biosciences, Inc. - Company Overview",,
EQTBIT0020130911e99b000gp,Cubist Pharmaceuticals Inc closes USD800m convertible senior notes,,
INDFED0020140122ea1m000pw,FORM 8-K: DENDREON FILES CURRENT REPORT,,
ATPHAM0020130409e948000k8,Spirogen and BioAtla Present Positive Data on Next-Generation Warheads in ADCS Against Cancer,,
DJDN000020180905ee94001a5,Press Release: Celsion Strengthens Its Balance Sheet with the Approval of Its Application to Sell Net Operating Losses for up to $10 Million in Non-Dilutive Funding,,
CTRW000020160530ec5u0006b,Gastroenterology; Reports on Crohn's Disease from University Hospital Provide New Insights (Role of Probiotics in Crohn's Disease and in Pouchitis),,
BNZNGA0020130301e931000mf,"UPDATE: Deutsche Bank Reiterates Buy Rating, Lowers PT on Nektar Therapeutics on Q4 Loss",,
PITBJO0020140602ea620000c,Mylan reaches deal with Pfizer on generic version of painkiller Celebrex,,
PSVCLU0020131127e9br0003k,BioDelivery Sciences International Posts 3Q 2013 Financials,,
DRGW000020130111e91i000bt,Pharmaceutical Research; University of Cairo Describes Research in Pharmaceutical Research,,
LBA0000020130214e92e00030,Teva warns could face legal costs of $2.07 bln,,
LFSW000020140627ea710031s,"Biological Products, (No Diagnostic Substances); Oxigene Inc. Files SEC Form 424B3, Prospectus [Rule 424(B)(3)] (Jun. 16, 2014)",,
DJDN000020130814e98e0035x,"DJ Analysts' Highest-, Lowest-Rated Stocks: Pharm & Biotech",,
INSIN00020160629ec6t00004,FDA Issues Warning Letter to Texas Drugmaker for GMP Violations,,
FREG000020150218eb2i0002s,National Institute of Allergy and Infectious Diseases: Notice of Closed Meetings,,
INVDAI0020180312ee3900064,Why A Key Drug Launch Wasn't Enough To Help This Biotech Stock,,
CLINTON020140305ea3400004,Do flu shots cause runny noses?,,
PHBW000020170703ed7300018,"Pharmaceutical Companies; An Application for the Trademark ""DURLAMDA"" Has Been Filed by Bristol-Myers Squibb",,
CTRW000020150417eb4k000dp,Clinical Research; New Findings in Clinical Trials and Studies Described from University of Oxford (Is the relationship among outcome variables shown in randomized trials?),,
HTACCF0020131007e9a70003z,Ranbaxy Laboratories to acquire US FDA-approved plant in India: Report,,
FLYWAL0020180926ee9q00gtl,08:24 EDT Pacific Mercantile Bancorp provides $10M credit line to Great Elm...,,
DJDN000020140825ea8p002sk,"VP KENNY Surrenders 2,914 Of CARDIOVASCULAR SYSTEMS INC >CSII",,
GANSVL0020130807e9860000c,RTI Surgical revenues drop 6 percent,,
CTRW000020150410eb4d000fy,Surgery; Recent Research from University of Wisconsin Highlight Findings in General Surgery (Idle time: an underdeveloped performance metric for assessing surgical skill),,
ATPHAM0020180628ee6r00063,AcelRx receives European Commission approval for DZUVEO,,
INDFED0020130829e98t000hs,FORM 8-K: AKORN FILES CURRENT REPORT,,
PHBW000020130201e9240001y,Biotechnology Companies; Tau Therapeutics Hires Chief Medical Officer and VP of Operations and Strategy,,
