an,title,Is this article about a new product drug or medical device that is being launched or will be launched,If not about a launch is this article about FDA submission approval review process of a drug or medical device
ICROWDN020180604ee64000sj,"MYRIAD GENETICS SHAREHOLDER ALERT BY FORMER LOUISIANA ATTORNEY GENERAL: KAHN SWICK & FOTI, LLC REMINDS INVESTORS WITH LOSSES IN EXCESS OF $100,000 of Lead Plaintiff Deadline in Class Action Lawsuit Against Myriad Genetics, Inc. – MYGN",,
FLYWAL0020141014eaae0038p,"Gilead weakness a buying opportunity, says RBC Capital",,
ICROWDN020180719ee7j000l7,Latin America Infusion Pump Market Set to Register 6.6% CAGR During 2016-2021,,
ATPHAM0020170607ed65000jl,Marrone Bio Innovations to Webcast Its Presentation at the 2017 Marcum Microcap Conference,,
DJDN000020160404ec440035k,Gilead Sciences Buys Liver-Drug Program -- Update,,
PHBW000020140912ea9f0001s,PPD; PPD Acquires RCT Logic's Exclusive License to Patented Clinical Trial Design Technology,,
GOSHEN0020170629ed6s0001i,EDITORIAL: Placing blame for the opioid crisis,,
ATPHAM0020170215ed2e000jn,Quotient Clinical Announces Second US Acquisition: QS Pharma,,
ATPHAM0020170902ed8t0005l,Five Prime to Feature Two Oral Data Presentations at ESMO 2017 Congress,,
ATPHAM0020170807ed8400005,Johnson & Johnson to Participate in the 2017 Wells Fargo 12th Annual Healthcare Conference,,
CHAR000020170802ed8200001,Pfizer hits pause on deals amid US tax reform uncertainty,,
BWR0000020160428ec4s0005e,Arrowhead Pharmaceuticals Files for Regulatory Clearance to Begin Phase 1/2 Study of ARC-521,,
DAMONL0020151229ebct007pu,Dark day for star fund manager: Neil Woodford 'loses £38m' from failed investment in controversial US cancer firm,,
PZON000020160317ec3h0003p,Harvard Bioscience Receives NASDAQ Delinquency Notice,,
DAYB000020161003eca50002i,The Washington Daybook - Federal Agencies - Futures,,
DRGW000020170317ed3h0001s,Oncology - Colon Cancer; New Colon Cancer Findings from Taiho Pharmaceutical Described (Folic Acid-Metabolizing Enzymes Regulate the Antitumor Effect of 5-Fluoro-2'-Deoxyuridine in Colorectal Cancer Cell Lines),,
MDST000020171117edbh0006l,"Orthopedic, Prosthetic and Surgical Appliances and Supplies; Nanovibronix, Inc. Files SEC Form 424B4, Prospectus [Rule 424(B)(4)]: (Nov. 6, 2017)",,
RTTNEW0020181026eeaq000dx,Novartis Gets EC Approval For Cosentyx Label Update In Europe - Quick Facts,,
ICROWDN020180716ee7g000gz,"Healthcare Wearable Device Industry Overview by Brands, Regions, Applications, Types, Forecast to 2022",,
WDLT000020130325e93p00004,KV Fighting: Asks Appeals Court to Review Makena Suit vs. FDA,,
CM00000020130805e9850000v,NORDIC MORNING BRIEFING: Focus on Services PMI Data,,
WSJO000020180320ee3k003eb,CVS to Hire Former Eli Lilly CFO to Run Pharmacy Benefit Business; Longtime Eli Lilly CFO Derica Rice will take over CVS Caremark,,
DEALNEW020170608ed6100007,Rockwell Medical Shareholders Add Activist to Board,,
DTMNTR0020180319ee3g0006f,Fortress Biotech Announces Fourth Quarter And Full-Year 2017 Financial Results,,
CTRW000020160711ec7b0000f,Clinical Research; New Clinical Trials and Studies Study Findings Recently Were Reported by Researchers at Johns Hopkins University Bloomberg School of Public Health (Strategies for dealing with fraud in clinical trials),,
ATPHAM0020180908ee970008q,Portola Pharmaceuticals Announces Executive Leadership Change,,
INVWK00020160909ec99000qv,Financial Services; Delivra Corp. Announces Unsecured Convertible Debenture Financing,,
ICROWDN020180712ee7c00092,Global Biologic Drugs Market Predicted to Ride on the Rise over 2025,,
BTBW000020131206e9c900041,"Pharmaceutical Preparations; Clovis Oncology, Inc. Files SEC Form SC 13G, Statement of Acquisition of Beneficial Ownership By Individuals (Nov. 27, 2013)",,
PHBW000020151012ebac00061,"Pharmaceutical Preparations; Ligand Pharmaceuticals Inc. Files SEC Form 8-K, Current Report (Sept. 29, 2015)",,
JNWP000020150605eb650003a,Flu shot only 19% effective this year,,
LFSW000020160112ec1c0000n,"Fujirebio Inc. ""Method for Preventing Deterioration of Unsensitized Latex Reagent"" in Patent Application Approval Process (USPTO 20150369826)",,
CTRW000020131115e9bi00045,Papulosquamous Skin Diseases; New Psoriasis Findings Reported from School of Medicine,,
FLYWAL0020171113edbd00h1x,18:46 EDT Eli Lilly: New data shows Jardiance reduces risk of cardiovascular...,,
DJDN000020140227ea2r005ca,Press Release: Endo Health Solutions Announces Departure Of Chief Scientific Officer,,
NBPPBS0020161229eccu002s1,Chimerix chairman Ernest Mario sells 29 December 2016,,
