an,title,Is this article about a new product drug or medical device that is being launched or will be launched,If not about a launch is this article about FDA submission approval review process of a drug or medical device
INDFED0020151210ebca0030h,ST JUDE MEDICAL REPORTS MULTIPLE TRANSACTIONS BY VP ZELLERS (Minnesota),,
DLYJRNL020161030ecau00007,FDA approves test of Cuban-developed lung cancer treatment,,
FLYWAL0020180801ee81003op,07:18 EDT ITUS and Moffitt Cancer Center request FDA meeting on ovarian cancer...,,
SILBJO0020160411ec4b0005l,GE Ventures and Mayo Clinic launch platform to bring Internet of Things to cancer research,,
DJDN000020181001eea1000qq,*RXi Pharmaceuticals Announces Pricing of $15M Upsized Underwritten Public Offering,,
MARNEW0020151014ebae000ad,US Data: Final Demand PPI Commodity Group Pct Changes -2-,,
FREG000020141210eaca0001k,Ebola Virus Disease Vaccines,,
ATPHAM0020170922ed9l000bc,TG Therapeutics to Present at Upcoming Investor Conferences,,
ATPHAM0020150318eb3h00033,Adaptive Biotechnologies Invited to Present at Upcoming Conferences,,
PHBW000020130823e98q000bh,"Pharmaceutical Preparations; Merrimack Pharmaceuticals Inc. Files SEC Form 8-K, Current Report (Aug. 8, 2013)",,
BIWK000020140516ea5l00162,"Biological Products, (No Diagnostic Substances); Bacterin International Holdings, Inc. Files SEC Form 8-K, Current Report (May. 1, 2014)",,
DJDN000020130718e97i00037,"DJ Dir SLOVIN Acquires 1,688 Of CANTEL MEDICAL CORP >CMN",,
ACTNWE0020160314ec3e0008d,MEDTECH : MEDTECH ANNOUNCES NEW SALES OF THE ROSA(TM) BRAIN SYSTEM IN THE UNITED STATES AND CHINA,,
FNDW000020170406ed4300232,"DURECT Corporation Presents at H.C. Wainwright1st Annual NASH Investor Conference, Apr032017 04:40 PM - Final",,
BTBW000020140214ea2h00040,"Pharmaceutical Companies; Patent Application Titled ""Use of Mesenchymal Stem Cells for Treating Genetic Disease and Disorders"" Published Online",,
DRGW000020140822ea8t00046,Drugs and Therapies; New Natural Product Chemistry Data Have Been Reported by Researchers at Vanderbilt University (X-ray Crystal Structure of a Xanthine Oxidase Complex with the Flavonoid Inhibitor Quercetin),,
DJDN000020140717ea7h0023m,"Press Release: Health Enhancement Products, Inc. Secures Capital Increase To Fund Ongoing Bovine And Canine Studies For Licensing Opportunities",,
CTRW000020170417ed4h00007,Health and Medicine - Patient Counseling; Data on Patient Counseling Reported by Researchers at University of California [Detecting the effects of physician training in self-care interviewing skills: Coding of standardized patient (SP) visit recordings versus SP post-visit ratings],,
DJDN000020140613ea6d003l6,Dir CONNORS Sells 300 Of ICU MEDICAL INC >ICUI,,
DJDN000020140319ea3j003fk,Cadence Pharmaceuticals Files 8K - Changes Exec Mgmt >CADX,,
DJDN000020130104e9140055r,"DJ VP ALTON Sells 115,000 Of GILEAD SCIENCES INC >GILD",,
REVWTMES20170926ed9q0000b,"FDA OKs Glaxo's inhaler, first one to combine 3 medicines",,
PZON000020180904ee940005u,"Earth Science Tech, Inc. (ETST) Achieves Fully Reporting Status with the SEC under the Exchange Act of 1934",,
CHPR000020130705e9710001m,Life Sciences companies finish 1H 2013 with torrid pace of financings.,,
CHEMEC0020130215e92m00133,"Trustees of Tufts College; Patent Application Titled ""Methods of Preparing Substituted Tetracyclines with Transition Metal-Based Chemistries"" Under Review",,
PZON000020150819eb8j0001f,Hemispherx Biopharma Reminder Regarding Stockholder Open House at Manufacturing and Research Facility in New Jersey,,
MRKRE00020180720ee5i000g9,"Cardiac Electrophysiology Mapping, Navigation and Recording Devices Global Market - Forecast to 2024",,
SETL000020150310eb370002g,FDA: first lower-cost Copy of biotech drug OK'd,,
DJDN000020151223ebcn001yz,Press Release: OSE Pharma Announces Selection of 70 International Clinical Centers to Participate in Its Pivotal Phase 3 Trial of Tedopi(R) for Patients Diagnosed with Advanced Non-Small Cell Lung Cancer (NSCLC),,
IFDAW00020130125e91p00004,"LAWMAKER LAMBASTS FDA INACTION ON GENERIC OPIOIDS IN GUIDE, PUSHES BILL",,
HEALBE0020130312e93c0003d,Furiex Posts 4Q and Full Year 2012 Financial Results,,
CTRW000020131025e9as00056,Clinical Research; Study Findings from Eli Lilly Broaden Understanding of Clinical Trials and Studies,,
INDFED0020170803ed81000k2,SEN. BALDWIN INTRODUCES LEGISLATION TO ALLOW MEDICARE TO NEGOTIATE PRESCRIPTION DRUG PRICES AND LOWER COSTS FOR SENIORS,,
HLDMLMD020181026eeao00032,What's included in the opioids bill signed by President Trump,,
DATMON0020170213ed210080s,Vanda Pharmaceuticals Inc. - Key Employees and Biographies,,
WPCOM00020150930eb9u0040j,Groundbreaking guidelines expand population on HIV drugs by millions. But who will pay? ,,
MRKWN00020170616ed6g0001y,"Integrity Applications, Inc. Integrity Applications, GlucoTrack(R) Innovator, Names David Podwalski as Chief Commercial Officer",,
CTRW000020150227eb320005w,Clinical Research; Investigators at University of North Carolina Zero in on Clinical Trials and Studies (Clopidogrel dose adjustment after outpatient screening for CYP2C19 variant alleles: a pilot study),,
DNVR000020170317ed3g0002z,"FDA accuses Colorado dietary supplement maker of improper drug claims; Products were marketed with claims they could address high cholesterol levels, high blood pressure, diabetes, depression and muscle pain.",,
PCIA000020140828ea6900154,Career moves; Iowa City Area Development Group,,
PHBW000020150723eb7n000ak,"Trademarks; An Application for the Trademark ""DISTINGUISH"" Has Been Filed by Bayer",,
MTEU000020181220eeck000b5,Amgen signs collaboration and license agreement with Molecular Partners,,
ATPHAB0020180825ee8p0002u,US FDA approves Seqirus' next generation cell-based influenza vaccine manufacturing process,,
OBWK000020150320eb3s0014f,Drugs and Therapies; Researchers at Baylor University College of Medicine Have Reported New Data on Drug Delivery Systems (Ocular Drug Delivery Nanowafer with Enhanced Therapeutic Efficacy),,
ATPHAM0020170504ed53000n4,Clovis Oncology Announces First Quarter 2017 Operating Results,,
RTTNEW0020170512ed5c0028l,Fresenius SE Backs FY17 Forecast For Double Digit Growth - Quick Facts,,
ATPHAM0020180725ee7o000mn,"JLL Inks Lease for P3 with Teva at MCCBLUE in Parsippany, NJ",,
WLNW000020130505e9550006d,Synta Posts 1Q 2013 Results and Clinical Updates,,
MDST000020160325ec3p0006w,"Surgical and Medical Instruments and Apparatus; Invivo Therapeutics Holdings Corp. Files SEC Form 8-K, Current Report (Mar. 15, 2016)",,
DJDN000020180121ee1l00070,"DJ Actinium Pharmaceuticals Inc, Inst Holders, 4Q 2017 (ATNM)",,
DJ00000020130917e99h000gf,Sanofi's MS Drug Lemtrada Gets European Approval,,
DJDN000020160220ec2k00014,IPO Scorecard: Update on Selected Initial Stock Offerings,,
BIWK000020180411ee4b00009,"Boston Scientific Scimed Inc. ""Method and Apparatus for Dual-Wavelength Laser Treatment"" in Patent Application Approval Process (USPTO 20180078310)",,
ATPHAM0020140318ea3h0001r,"Telehealth Medical Group: Top Southern California Stem Cell Clinic, Telehealth Medical Group, Now Offering Treatment for Knee Cartilage Injury",,
ATPHAM0020181108eeb7000e1,Retrophin to Present at the Jefferies 2018 London Healthcare Conference,,
FNDW000020150208eb260038s,Q1 2015 Sirona Dental Systems Inc Earnings Call - Final,,
DJDN000020180516ee5g003ua,FDA Approves First Nonopioid Treatment for Opioid Withdrawal Symptoms,,
DJDN000020170727ed7r00467,"Health, Tech Weigh on S&P -- Market Talk",,
MFGCLU0020131117e9bh00053,Paragon Bioservices Gets Contract from Pfenex,,
NBPPBS0020170717ed7i001gu,ResMed president-americas Jim Hollingshead sells 17 July 2017,,
LBA0000020181214eece02k7i,US STOCKS-Rising global growth fears pull down Wall Street,,
DJDN000020140519ea5j001ya,Provectus Biopharma Files 8K - Regulation FD >PVCT,,
DEALNEW020141218eacb0000x,Danone to discuss fate of medical nutrition unit,,
DJDN000020170629ed6t001ez,"Press Release: Arena Pharmaceuticals Completes Trial Comparing Once-Daily, Extended Release Formulation of Ralinepag with Twice-Daily, Immediate Release Formulation in Normal Healthy Volunteers",,
MDST000020140829ea9700061,Nursing; Investigators from Linkoping University Zero in on Nursing Research (Spouses' reflections on Implantable Cardioverter Defibrillator treatment with focus on the future and the end-of-life: a qualitative content analysis),,
MDST000020130531e969000gf,"Surgical and Medical Instruments and Apparatus; Stryker Corp. Files SEC Form 4, Statement of Changes in Beneficial Ownership of Securities (May. 22, 2013)",,
PHIL000020180430ee4u00001,Voucher sale brings $110M payday for Spark Therapeutics,,
BMCFDA0020171129edbs0005d,Industry Trend Analysis - Lilly Expands Into Diabetes Device Management With Dexcom Collaboration,,
DRGW000020150501eb5800046,Stem Cell Research; Investigators at Tokyo University of Marine Science and Technology Describe Findings in Stem Cells (Generation of Enterocyte-Like Cells with Pharmacokinetic Functions from Human Induced Pluripotent Stem Cells Using Small-Molecule Compounds),,
BWR0000020181017eeah0003n,Medical Ultrasound Equipment Market 2016-2024 - Global Strategic Business Report 2018 - ResearchAndMarkets.com,,
RTWK000020160606ec660000k,Nosocomial Infections; Findings in Ventilator-Associated Pneumonia Reported from Johns Hopkins University School of Medicine (Variability in Diagnosis and Treatment of Ventilator-Associated Pneumonia in Neurocritical Care Patients),,
GLOMCP0020160204ec2400652,"TAXIS Pharmaceuticals, Inc. - Company Overview",,
DJDN000020141106eab6005an,Navidea Biopharm Files 8K - Regulation FD >NAVB,,
MDST000020130308e93h000er,Gastric Cancer; Researchers from Keio University Report Details of New Studies and Findings in the Area of Gastric Cancer,,
DJDN000020161103ecb30045a,Press Release: Aptose to Present New APTO-253 Data at the 2016 ASH Annual Meeting,,
