an,title,Is this article about a new product drug or medical device that is being launched or will be launched,If not about a launch is this article about FDA submission approval review process of a drug or medical device
PHBW000020130315e93i0008p,"Pharmaceutical Preparations; Immunocellular Therapeutics, Ltd. Files SEC Form 8-K, Current Report (Mar. 5, 2013)",,
ICROWDN020180427ee4r00136,New Research Report: Melanin Concentrating Hormone Receptor 1 market analysis forecast to 2025,,
MDST000020160930ec9u000m9,"Orthopedic, Prosthetic and Surgical Appliances and Supplies; Skyline Medical Inc. Files SEC Form 8-K, Current Report (Sept. 16, 2016)",,
HAMW000020160610ec6a000l9,"Optovue, Inc. Optovue Announces New AngioVue Retina Imaging System Commercial Availability",,
INDFED0020130208e9280001f,"US Patent Issued to Hitachi Medical on Feb. 5 for ""Ultrasonic Diagnostic Apparatus"" (Japanese Inventors)",,
CTRW000020151102ebb20000v,Health and Medicine; Investigators at University of British Columbia Report Findings in Perinatal Research (Prophylactic Interventions in Neonatology: How Do They Fare in Real Life?),,
ATPHAM0020131113e9bc000ce,PhyMed Healthcare Group Adds Lebanon Anesthesia Associates,,
DJDN000020140127ea1r003v0,Dir WATSON Acquires 279 Of BAKER HUGHES INC >BHI,,
CTRW000020131101e9b4000ig,Men's Health - Male Genital Diseases; Studies from F. Giuliano et al Provide New Data on Erectile Dysfunction,,
MDST000020170519ed5j000n2,"Orthopedic, Prosthetic and Surgical Appliances and Supplies; Span America Medical Systems Inc. Files SEC Form 8-K, Current Report (May. 5, 2017)",,
GLOMCP0020180717ee7h0060u,American Orthodontics Corp - Company Locations and Subsidiaries,,
INDFED0020150602eb620030f,FORM 8-K: MIRATI THERAPEUTICS FILES CURRENT REPORT,,
DJDN000020141223eacn003ao,Abbott Labs Files 8K - Changes Exec Mgmt >ABT,,
LFSW000020160315ec3f002o4,Science; Study Results from University of California in the Area of Science Reported (Culex quinquefasciatus larval microbiomes vary with instar and exposure to common wastewater contaminants),,
INDFED0020131026e9aq0006q,"US Patent Issued to Medtronic on Oct. 22 for ""System and method for providing improved atrial pacing based on physiological need"" (Minnesota, Massachusetts Inventors)",,
PHIBJO0020141007eaa700004,Another proxy battle looming at Echo Therapeutics?,,
ATPHAM0020150523eb5k00045,Corium to Present at Jefferies 2015 Global Healthcare Conference,,
WPATHN0020151103ebb300095,DRUG-PACKAGING FIRM OPENS BERGEN FACTORY; PROXIMITY TO PHARMA FIRMS KEY TO DEAL,,
HAMW000020131129e9c6002e8,"NxThera, Inc. Patent Issued for Systems and Methods for Treatment of Prostatic Tissue",,
PHBW000020150306eb390009g,"Medicinal Chemicals and Botanical Products; Fitlife Brands, Inc. Files SEC Form 5, Annual Statement of Changes in Beneficial Ownership of Securities (Feb. 23, 2015)",,
NASDQC0020171115edbf001md,NuCana Announces First Patients Enrolled in Phase 2 Study of Acelarin in Platinum-Resistant Ovarian Cancer,,
HNMINT0020160520ec5k000rw,Lupin shares fall most since November 2008 on USFDA concerns about Goa plant,,
ATPHAM0020160809ec84000b9,Abeona Therapeutics Announces European Regulatory Approval for Phase 1/2 Gene Therapy Clinical Study for Patients with Sanfilippo Syndrome Type A (MPS IIIA),,
MDST000020130705e97e000h6,"Surgical and Medical Instruments and Apparatus; Labstyle Innovations Corp. Files SEC Form CT ORDER, Confidential Treatment Order (Jun. 24, 2013)",,
GRNISL0020131001e99u0000n,Services,,
INVDAI0020150128eb1r0000h,"3M Organic Growth Solid, But Hot Dollar Saps Gains",,
DJDN000020160421ec4l001ih,"DJ Eli Lilly and Company, Inst Holders, 1Q 2016 (LLY)",,
