item1,item2,correlation
tape,red,0.880744601
red,tape,0.880744601
corp,air,0.666177325
air,corp,0.666177325
negro,white,0.651354934
white,negro,0.651354934
1,2,0.603452363
2,1,0.603452363
arm,forc,0.55621516
forc,arm,0.55621516
plant,defens,0.521074528
defens,plant,0.521074528
2,3,0.461627886
3,2,0.461627886
1,3,0.427878505
3,1,0.427878505
commiss,offic,0.425993653
offic,commiss,0.425993653
win,war,0.416981104
war,win,0.416981104
north,south,0.399700172
south,north,0.399700172
farmer,farm,0.399471413
farm,farmer,0.399471413
basic,train,0.393778985
train,basic,0.393778985
common,sens,0.385357119
sens,common,0.385357119
answer,question,0.385131199
question,answer,0.385131199
cook,food,0.372605043
food,cook,0.372605043
life,civilian,0.364773778
civilian,life,0.364773778
branch,servic,0.353979925
servic,branch,0.353979925
4,3,0.351531986
3,4,0.351531986
color,white,0.334791305
white,color,0.334791305
duti,extra,0.334743738
extra,duti,0.334743738
marri,singl,0.333020511
singl,marri,0.333020511
sick,extra,0.328557976
extra,sick,0.328557976
race,white,0.320787374
white,race,0.320787374
worker,strike,0.31891706
strike,worker,0.31891706
like,dislik,0.302665456
dislik,like,0.302665456
low,moral,0.295316519
moral,low,0.295316519
negro,race,0.290878067
race,negro,0.290878067
victori,nation,0.285193867
nation,victori,0.285193867
race,color,0.279675586
color,race,0.279675586
marri,wife,0.278540655
wife,marri,0.278540655
dai,pass,0.278234158
pass,dai,0.278234158
limit,servic,0.275154996
servic,limit,0.275154996
separ,negro,0.272508382
negro,separ,0.272508382
marri,famili,0.271328176
famili,marri,0.271328176
child,wife,0.267461056
wife,child,0.267461056
separ,white,0.266340891
white,separ,0.266340891
5,6,0.263519742
6,5,0.263519742
eat,food,0.261300839
food,eat,0.261300839
week,pass,0.260827867
pass,week,0.260827867
transport,bu,0.258852107
bu,transport,0.258852107
monei,wast,0.257485463
wast,monei,0.257485463
1,4,0.255910001
4,1,0.255910001
honest,opinion,0.251039745
opinion,honest,0.251039745
child,singl,0.248108785
singl,child,0.248108785
wast,time,0.24781826
time,wast,0.24781826
express,opinion,0.244276407
opinion,express,0.244276407
school,mechan,0.244153516
mechan,school,0.244153516
educ,opportun,0.240190712
opportun,educ,0.240190712
2,4,0.237756621
4,2,0.237756621
life,armi,0.237133487
armi,life,0.237133487
peopl,white,0.235507083
white,peopl,0.235507083
close,home,0.234425279
home,close,0.234425279
polic,militari,0.233647463
militari,polic,0.233647463
wonder,dai,0.232803764
dai,wonder,0.232803764
worri,wife,0.231963649
wife,worri,0.231963649
right,equal,0.23162572
equal,right,0.23162572
victori,complet,0.230298394
complet,victori,0.230298394
wait,line,0.230237695
line,wait,0.230237695
pai,monei,0.229734562
monei,pai,0.229734562
close,station,0.229225107
station,close,0.229225107
enjoi,freedom,0.227614304
freedom,enjoi,0.227614304
furlough,month,0.227259811
month,furlough,0.227259811
spend,time,0.22599131
time,spend,0.22599131
sick,call,0.225814534
call,sick,0.225814534
polic,town,0.224270648
town,polic,0.224270648
leader,com,0.223992322
com,leader,0.223992322
child,marri,0.221850119
marri,child,0.221850119
sick,night,0.221791727
night,sick,0.221791727
enlist,offic,0.219226341
offic,enlist,0.219226341
furlough,pass,0.219183422
pass,furlough,0.219183422
cook,eat,0.217514102
eat,cook,0.217514102
presid,talk,0.215419867
talk,presid,0.215419867
equal,negro,0.214241198
negro,equal,0.214241198
mess,eat,0.214062335
eat,mess,0.214062335
command,offic,0.21310674
offic,command,0.21310674
com,offic,0.212073539
offic,com,0.212073539
equal,white,0.21158056
white,equal,0.21158056
station,home,0.209592369
home,station,0.209592369
20,yr,0.209412581
yr,20,0.209412581
express,chanc,0.209264501
chanc,express,0.209264501
medic,corp,0.207444239
corp,medic,0.207444239
freedom,fight,0.207369239
fight,freedom,0.207369239
victori,peac,0.206634002
peac,victori,0.206634002
famili,wife,0.205467936
wife,famili,0.205467936
choic,includ,0.203889148
includ,choic,0.203889148
10,5,0.202387343
