source,target,weight
white,negro,0.486824382
negro,white,0.486824382
question,60,0.315935024
60,question,0.315935024
soldier,white,0.312578894
white,soldier,0.312578894
question,62,0.287504381
62,question,0.287504381
outfit,separ,0.268955608
separ,outfit,0.268955608
peopl,white,0.251020425
white,peopl,0.251020425
question,reason,0.249059204
reason,question,0.249059204
soldier,negro,0.228408972
negro,soldier,0.228408972
62,60,0.208458233
60,62,0.208458233
differ,live,0.197276914
live,differ,0.197276914
white,black,0.194879472
black,white,0.194879472
reason,62,0.186618655
62,reason,0.186618655
color,white,0.184269716
white,color,0.184269716
boi,south,0.158094318
south,boi,0.158094318
color,race,0.152499072
race,color,0.152499072
white,mix,0.148964078
mix,white,0.148964078
offic,armi,0.147743558
armi,offic,0.147743558
boi,southern,0.136030183
southern,boi,0.136030183
peopl,negro,0.135590347
negro,peopl,0.135590347
southern,negro,0.125997744
negro,southern,0.125997744
lot,negro,0.12289586
negro,lot,0.12289586
friction,chanc,0.122829958
chanc,friction,0.122829958
do,peopl,0.117918742
peopl,do,0.117918742
black,mix,0.117088261
mix,black,0.117088261
moral,armi,0.110741558
armi,moral,0.110741558
negro,live,0.107584099
live,negro,0.107584099
chanc,negro,0.106459086
sleep,negro,0.106459086
negro,chanc,0.106459086
negro,sleep,0.106459086
fight,black,0.106145224
black,fight,0.106145224
do,mix,0.10611277
mix,do,0.10611277
boi,negro,0.104889574
negro,boi,0.104889574
war,fight,0.099297786
fight,war,0.099297786
feel,armi,0.0975619
armi,feel,0.0975619
stai,negro,0.096750212
negro,stai,0.096750212
boi,white,0.092896005
white,boi,0.092896005
peopl,color,0.091467916
color,peopl,0.091467916
southern,soldier,0.090718471
soldier,southern,0.090718471
seper,outfit,0.090386525
outfit,seper,0.090386525
moral,soldier,0.087855131
soldier,moral,0.087855131
offic,black,0.085873526
black,offic,0.085873526
soldier,mix,0.084819506
mix,soldier,0.084819506
offic,soldier,0.084758947
soldier,offic,0.084758947
do,stai,0.083541278
stai,do,0.083541278
southern,outfit,0.082801182
outfit,southern,0.082801182
south,negro,0.080583553
negro,south,0.080583553
lot,boi,0.076839781
boi,lot,0.076839781
offic,negro,0.075412564
negro,offic,0.075412564
armi,question,0.07521501
question,armi,0.07521501
outfit,negro,0.074856246
negro,outfit,0.074856246
war,peopl,0.07374917
peopl,war,0.07374917
live,race,0.07290727
