word1,word2,n
negro,soldier,243
negro,soldiers,201
white,people,198
colored,soldiers,169
white,soldiers,158
white,officers,115
white,soldier,101
colored,soldier,72
southern,white,70
colored,people,66
jim,crow,65
civilian,life,57
fair,chance,56
colored,officers,55
negro,officers,54
bus,service,50
negro,race,50
army,life,45
equal,rights,45
white,race,41
negro,troops,40
service,club,38
company,commander,37
treated,fair,34
armed,forces,33
service,clubs,33
war,department,33
commissioned,officers,31
u.s,army,31
air,corps,30
southern,camps,30
colored,troops,27
don,äôt,27
white,officer,27
white,boys,26
jim,crowed,25
war,job,22
equal,chance,21
war,dept,21
northern,negro,20
southern,whites,20
american,negro,19
commanding,officer,19
commissioned,officer,19
created,equal,19
war,effort,19
white,civilians,19
white,colored,19
negro,people,18
southern,officers,18
air,force,17
basic,training,17
colored,race,17
army,camp,16
army,camps,16
defense,job,16
fair,deal,16
race,creed,16
white,m.p,16
color,soldiers,15
medical,care,15
southern,camp,15
world,war,15
colored,officer,14
defense,plant,14
dont,care,14
living,conditions,14
battle,field,13
color,soldier,13
white,person,13
air,corp,12
colored,boys,12
crow,jim,12
god,bless,12
negroes,soldiers,12
people,treat,12
uncle,sam,12
white,lieutenants,12
average,negro,11
civil,war,11
colored,person,11
negro,officer,11
treated,alike,11
unclear,unclear,11
war,worker,11
white,mans,11
arm,forces,10
equal,break,10
free,speech,10
honest,opinion,10
medical,attention,10
racial,discrimination,10
treat,colored,10
war,started,10
white,peoples,10
white,troops,10
white,woman,10
bed,check,9
colord,soldiers,9
equal,opportunity,9
extra,duty,9
frankly,speaking,9
guard,house,9
hard,time,9
military,police,9
northern,boys,9
northern,camp,9
southern,negro,9
truck,driver,9
TRUE,democracy,9
white,soilders,9
15,days,8
4,months,8
american,people,8
army,navy,8
color,people,8
company,commanders,8
dont,treat,8
free,country,8
negro,camps,8
negro,division,8
negro,soilder,8
negro,solider,8
negro,women,8
race,color,8
race,prejudice,8
stand,divided,8
transportation,facilities,8
white,boy,8
white,man's,8
white,southern,8
actual,combat,7
american,citizen,7
american,soldier,7
army,rules,7
camp,lee,7
colord,people,7
colored,white,7
combat,unit,7
commission,officers,7
day,pass,7
dear,sir,7
equal,basis,7
fair,brake,7
mess,hall,7
nearer,home,7
negro,units,7
negros,soldiers,7
northern,soldiers,7
northern,white,7
sincerely,hope,7
southern,officer,7
treated,fairly,7
war,jobs,7
white,races,7
white,women,7
air,base,6
american,citizens,6
american,white,6
army,air,6
army,post,6
bus,transportation,6
colored,camps,6
colored,division,6
colored,peoples,6
colored,soilders,6
combat,duty,6
combat,zone,6
commission,officer,6
complete,victory,6
decent,living,6
deep,south,6
equal,brake,6
fair,break,6
