word1,word2,n
army,life,59
civilian,life,53
basic,training,38
commissioned,officers,38
limited,service,36
white,people,28
air,corps,24
red,tape,21
armed,forces,18
fair,chance,18
white,soldiers,18
u.s,army,15
war,effort,15
army,camps,14
average,soldier,14
commissioned,officer,14
bus,service,13
extra,duty,13
honest,opinion,13
negro,question,13
air,corp,12
field,artillery,12
service,clubs,12
mess,hall,10
negro,soldiers,10
army,camp,9
army,training,9
common,sense,9
5,months,8
6,months,8
day,passes,8
day,wonders,8
defense,plant,8
equal,rights,8
ground,crew,8
living,conditions,8
questionaire,questionnaire,8
sick,call,8
war,department,8
3,day,7
90,day,7
a.m,school,7
atlantic,city,7
combat,duty,7
combat,outfit,7
day,pass,7
defense,plants,7
question,52,7
white,soldier,7
1,2,6
4,months,6
air,force,6
civil,war,6
colored,people,6
commanding,officers,6
complete,victory,6
free,time,6
goat,meat,6
guard,duty,6
military,police,6
military,training,6
negro,race,6
pvt,private,6
short,time,6
town,police,6
truck,driver,6
valuable,time,6
2,weeks,5
actual,combat,5
american,soldier,5
army,food,5
buck,private,5
candidate,school,5
colored,soldiers,5
commanding,officer,5
company,commander,5
cross,section,5
food,situation,5
free,speech,5
individual,soldier,5
mess,halls,5
officer,candidate,5
question,32,5
saturday,afternoon,5
superior,officers,5
technical,school,5
time,money,5
war,industries,5
war,jobs,5
white,boys,5
10,months,4
13,wks,4
2,months,4
3,4,4
american,soldiers,4
armed,service,4
army,job,4
classification,system,4
combat,unit,4
defense,job,4
induction,center,4
inlisted,enlisted,4
medical,corp,4
medical,corps,4
moral,morale,4
physically,fit,4
pretty,hard,4
question,24,4
question,49,4
question,63,4
red,cross,4
rich,people,4
separate,outfits,4
special,duty,4
stationed,closer,4
training,camps,4
training,period,4
visit,home,4
war,dept,4
war,job,4
war,workers,4
1st,sgt,3
3,months,3
3,weeks,3
4,30,3
7,months,3
8th,grade,3
9,months,3
air,base,3
allied,nations,3
answer,applies,3
army,exchange,3
army,navy,3
army,pay,3
army,posts,3
army,regulations,3
ass,kissing,3
aviation,cadet,3
axis,powers,3
bad,feet,3
bus,transportation,3
cadet,training,3
camp,pickett,3
camp,rucker,3
civil,service,3
classification,center,3
closer,home,3
colored,race,3
commission,officers,3
common,soldier,3
company,commanders,3
corp,ground,3
defense,jobs,3
dont,care,3
draft,board,3
drill,master,3
em,flying,3
enlisted,man's,3
essential,war,3
fair,knowledge,3
fair,play,3
garrison,hats,3
hand,shake,3
highly,educated,3
home,town,3
income,tax,3
induction,centers,3
intelligent,person,3
job,requires,3
lost,time,3
main,reason,3
months,ago,3
national,guard,3
negro,soldier,3
negro,troops,3
partiality,shown,3
peace,time,3
personal,feelings,3
personal,opinion,3
physical,condition,3
physical,training,3
physically,unfit,3
political,machine,3
pretty,bad,3
prevent,strikes,3
proper,respect,3
question,11,3
question,41,3
question,48,3
questionnaire,covers,3
questionnaire,deals,3
questions,53,3
questions,pertaining,3
racial,prejudice,3
radio,operator,3
round,holes,3
sat,afternoon,3
selective,service,3
service,club,3
ship,yard,3
signal,corps,3
simple,reason,3
single,boy,3
skilled,trade,3
soldier,feel,3
soldiers,moral,3
soldiers,opinions,3
southern,boys,3
southern,people,3
southern,soldiers,3
spare,time,3
specialized,training,3
square,pegs,3
taking,care,3
tech,school,3
time,wasted,3
total,victory,3
training,center,3
training,program,3
treat,soldiers,3
war,started,3
war,worker,3
wasting,money,3
white,negro,3
white,race,3
world,war,3
wrong,branch,3
10,days,2
11,p.m,2
15,day,2
15,months,2
1st,sergeant,2
2,miles,2
