"","source","target","weight"
"1","-coms","V2","7.74658630567677e-06"
"2","-operate","V2","7.74658630567677e-06"
"3","-people","V2","1.54164737370399e-05"
"4","?[/unclear","V2","5.37659108938556e-05"
"5","?ade","V2","7.66988743136314e-08"
"6","?anther","V2","7.74658630567677e-06"
"7",".unclear","V2","1.54164737370399e-05"
"8",".w.o","V2","7.74658630567677e-06"
"9",".W.O.l","V2","1.54164737370399e-05"
"10",".W.O.L.","V2","1.54164737370399e-05"
"11","'ey","V2","7.74658630567677e-06"
"12","'nt","V2","5.37659108938556e-05"
"13","[/insertion","V2","2.3086361168403e-05"
"14","[/unclear","V2","0.000513959156775644"
"15","[/underline","V2","1.54164737370399e-05"
"16","][/underline","V2","2.3086361168403e-05"
"17","]S.....e","V2","2.3086361168403e-05"
"18","/unclear","V2","3.84261360311293e-05"
"19","10th","V2","3.84261360311293e-05"
"20","11th","V2","2.3086361168403e-05"
"21","13th","V2","3.84261360311293e-05"
"22","14th","V2","4.60960234624924e-05"
"23","15th","V2","3.84261360311293e-05"
"24","184th","V2","3.07562485997662e-05"
"25","1st","V2","0.000199493772089755"
"26","24th","V2","2.3086361168403e-05"
"27","25th","V2","1.54164737370399e-05"
"28","2nd","V2","0.000107455122913398"
"29","3.6.9","V2","7.66988743136314e-08"
"30","369th","V2","7.74658630567677e-06"
"31","372nd","V2","7.74658630567677e-06"
"32","3rd","V2","3.07562485997662e-05"
"33","4th","V2","1.54164737370399e-05"
"34","5th","V2","8.44454606193081e-05"
"35","8.g","V2","7.74658630567677e-06"
"36","8th","V2","1.54164737370399e-05"
"37","92d","V2","2.3086361168403e-05"
"38","92nd","V2","2.3086361168403e-05"
"39","93rd","V2","0.00016114433493294"
"40","94th","V2","4.60960234624924e-05"
"41","99th","V2","7.74658630567677e-06"
"42","9th","V2","2.3086361168403e-05"
"43","a.m.","V2","1.54164737370399e-05"
"44","a.man","V2","7.74658630567677e-06"
"45","A.w.o.l","V2","7.74658630567677e-06"
"46","a.w.o.l.","V2","1.54164737370399e-05"
"47","A.W.O.L.","V2","7.66988743136314e-08"
"48","AAC'","V2","7.74658630567677e-06"
"49","abandon","V2","7.66988743136314e-08"
"50","abet","V2","1.54164737370399e-05"
"51","abide","V2","3.07562485997662e-05"
"52","abilitie","V2","3.07562485997662e-05"
"53","ability","V2","0.00115055981357878"
"54","able","V2","0.0013959962113824"
"55","abole","V2","1.54164737370399e-05"
"56","abolish","V2","0.000145804560070213"
"57","abolition","V2","7.74658630567677e-06"
"58","abotch","V2","7.66988743136314e-08"
"59","absence","V2","3.07562485997662e-05"
"60","absent","V2","2.3086361168403e-05"
"61","absolute","V2","7.66988743136314e-08"
"62","absolutely","V2","3.84261360311293e-05"
"63","absorb","V2","7.74658630567677e-06"
"64","absurd","V2","7.74658630567677e-06"
"65","abuse","V2","8.44454606193081e-05"
"66","accept","V2","0.000168814222364303"
"67","acceptiable","V2","1.54164737370399e-05"
"68","access","V2","7.74658630567677e-06"
"69","accommodation","V2","4.60960234624924e-05"
"70","accomodate","V2","7.74658630567677e-06"
"71","accomodation","V2","7.74658630567677e-06"
"72","accompany","V2","2.3086361168403e-05"
"73","accomplish","V2","0.000122794897776124"
"74","accord","V2","0.000207163659521118"
"75","account","V2","0.000199493772089755"
"76","accoustain","V2","7.74658630567677e-06"
"77","acct","V2","1.54164737370399e-05"
"78","accuse","V2","4.60960234624924e-05"
"79","accustom","V2","6.14357983252187e-05"
"80","Accustom","V2","1.54164737370399e-05"
"81","ace","V2","4.60960234624924e-05"
"82","acedental","V2","7.66988743136314e-08"
"83","achieve","V2","2.3086361168403e-05"
"84","ackitation","V2","7.74658630567677e-06"
"85","acknowledge","V2","2.3086361168403e-05"
"86","acknowledgment","V2","2.3086361168403e-05"
"87","acknowlege","V2","2.3086361168403e-05"
"88","acle","V2","7.74658630567677e-06"
"89","Acord","V2","1.54164737370399e-05"
"90","acount","V2","1.54164737370399e-05"
"91","acquaint","V2","1.54164737370399e-05"
"92","acquainted","V2","7.74658630567677e-06"
"93","acquantied","V2","7.66988743136314e-08"
"94","acre","V2","3.84261360311293e-05"
"95","act","V2","0.000475609719618828"
"96","action","V2","0.000452600057324739"
"97","activate","V2","2.3086361168403e-05"
"98","active","V2","5.37659108938556e-05"
"99","activity","V2","0.000245513096677934"
"100","actor","V2","7.74658630567677e-06"
"101","actual","V2","0.000268522758972023"
"102","actuality","V2","7.66988743136314e-08"
"103","acute","V2","2.3086361168403e-05"
"104","adapt","V2","2.3086361168403e-05"
"105","adaptiveness","V2","2.3086361168403e-05"
"106","add","V2","0.000184153997227029"
"107","address","V2","6.91056857565819e-05"
"108","adequate","V2","3.84261360311293e-05"
"109","adhere","V2","5.37659108938556e-05"
"110","adie","V2","7.66988743136314e-08"
"111","adjoining","V2","7.74658630567677e-06"
"112","adjust","V2","9.21153480506713e-05"
"113","adjustment","V2","1.54164737370399e-05"
"114","Adjutant","V2","2.3086361168403e-05"
"115","adment","V2","2.3086361168403e-05"
"116","administer","V2","6.14357983252187e-05"
"117","administration","V2","2.3086361168403e-05"
"118","administrative","V2","7.6775573187945e-05"
"119","admiration","V2","1.54164737370399e-05"
"120","admire","V2","1.54164737370399e-05"
"121","admit","V2","6.91056857565819e-05"
"122","adn","V2","3.07562485997662e-05"
"123","adopt","V2","2.3086361168403e-05"
"124","advanc","V2","2.3086361168403e-05"
"125","advance","V2","0.000306872196128839"
"126","advanced","V2","1.54164737370399e-05"
"127","advancement","V2","0.00026085287154066"
"128","advancing","V2","5.37659108938556e-05"
"129","advantage","V2","0.000230173321815208"
"130","advantages","V2","3.07562485997662e-05"
