"","source","target","weight"
"1","-people","soldier",1
"2","?[/unclear","father",1
"3","?ade","[/unclear",1
"4","?anther","[/unclear",1
"5","?anther","people",1
"6",".unclear","1st",1
"7",".W.O.l","keep",1
"8",".W.O.L.","mother",1
"9",".W.O.L.","see",1
"10","'ey","place",1
"11","'nt","die",1
"12","'nt","divide",1
"13","'nt","mind",1
"14","'nt","neger",1
"15","[/insertion","give",1
"16","[/unclear","ankle",1
"17","[/unclear","believe",1
"18","[/unclear","can",1
"19","[/unclear","cant",1
"20","[/unclear","chance",1
"21","[/unclear","colo",2
"22","[/unclear","defence",1
"23","[/unclear","deletion",1
"24","[/unclear","drill",1
"25","[/unclear","expect",1
"26","[/unclear","get",2
"27","[/unclear","good",1
"28","[/unclear","harder",1
"29","[/unclear","human",1
"30","[/unclear","less",1
"31","[/unclear","man",3
"32","[/unclear","mistake",1
"33","[/unclear","officer",1
"34","[/unclear","paragraph",1
"35","[/unclear","people",1
"36","[/unclear","poor",1
"37","[/unclear","put",1
"38","[/unclear","races",1
"39","[/unclear","self",1
"40","[/unclear","south",1
"41","[/unclear","subject",1
"42","[/unclear","think",1
"43","[/unclear","tired",1
"44","[/unclear","unclear",6
"45","[/unclear","want",1
"46","[/unclear","white",1
"47","[/unclear","work",1
"48","[/underline","make",1
"49","][/underline","thanks",1
"50","]S.....e","unclear",1
"51","/unclear","paragraph",1
"52","/unclear","unclear",1
"53","10th","11th",1
"54","10th","ammendment",1
"55","10th","give",1
"56","11th","ammendment",1
"57","11th","give",1
"58","11th","state",1
"59","13th","14th",1
"60","13th","15th",1
"61","13th","need",1
"62","14th","15th",1
"63","14th","adment",1
"64","14th","ammendment",1
"65","14th","help",1
"66","15th","ammendment",1
"67","15th","check",1
"68","15th","help",1
"69","184th","become",1
"70","184th","officer",1
"71","1st","2nd",1
"72","1st","close",1
"73","1st","cook",1
"74","1st","Div",1
"75","1st","face",1
"76","1st","field",1
"77","1st","grade",2
"78","1st","keep",1
"79","1st","knock",1
"80","1st","Lieutenant",1
"81","1st","Lt.",1
"82","1st","morale",1
"83","1st","noncommissioned",1
"84","1st","receive",1
"85","1st","say",1
"86","1st","sergeant",1
"87","1st","sgt",1
"88","1st","Sgt",3
"89","1st","St.",1
"90","1st","talk",1
"91","1st","unclear",1
"92","24th","ann",1
"93","24th","unclear",1
"94","25th","month",1
"95","2nd","authority",1
"96","2nd","come",1
"97","2nd","company",1
"98","2nd","cook",1
"99","2nd","lieutenant",1
"100","2nd","lieutenants",1
"101","2nd","Liut",1
"102","2nd","loutenant",1
"103","2nd","seem",1
"104","2nd","slow",1
"105","2nd","unclear",2
"106","2nd","While",1
"107","369th","INF",1
"108","3rd","comment",1
"109","3rd","term",1
"110","4th","say",1
"111","5th","activity",1
"112","5th","column",1
"113","5th","columnist",1
"114","5th","saboteur",1
"115","5th","sick",1
"116","5th","work",1
"117","8.g","paragraph",1
"118","92d","Inf",1
"119","92d","infantry",1
"120","92nd","close",1
"121","92nd","keep",1
"122","93rd","area",1
"123","93rd","Div",1
"124","93rd","Div.",2
"125","93rd","division",2
"126","93rd","know",1
"127","93rd","like",1
"128","93rd","line",1
"129","93rd","low",1
"130","93rd","offiecer",1
"131","93rd","recommend",1
"132","94th","colored",1
"133","94th","engineer",1
"134","94th","pursuit",1
"135","99th","P.5",1
"136","9th","cavalry",1
"137","9th","outfit",1
"138","a.m.","arrive",1
"139","a.man","army",1
"140","a.w.o.l.","army",1
"141","A.W.O.L.","high",1
"142","A.W.O.L.","record",1
"143","A.W.O.L.","sky",1
"144","abandon","better",1
"145","abandon","facility",1
"146","abandon","transportation",1
"147","abet","depression",1
"148","abet","firllo",1
"149","abet","give",1
"150","abide","law",1
"151","abide","people",1
"152","abilitie","power",1
"153","ability","184th",1
"154","ability","able",1
"155","ability","advance",1
"156","ability","allow",1
"157","ability","apparent",1
"158","ability","army",1
"159","ability","become",2
"160","ability","believe",1
"161","ability","better",1
