"","source","target","weight"
"1","_any","V2","2.7073325070357e-05"
"2","-[/unclear","V2","1.34693159554015e-07"
"3","-com","V2","2.7073325070357e-05"
"4","-Come","V2","1.36040091149555e-05"
"5","-commissioned","V2","1.36040091149555e-05"
"6","-treate","V2","1.36040091149555e-05"
"7","?[/unclear","V2","1.34693159554015e-07"
"8",".'s","V2","2.7073325070357e-05"
"9",".W.O.L.","V2","4.05426410257584e-05"
"10","'nt","V2","2.7073325070357e-05"
"11","[/insertion","V2","1.36040091149555e-05"
"12","[/unclear","V2","0.000161766484624372"
"13","[/underline","V2","1.36040091149555e-05"
"14","]1b[","V2","1.34693159554015e-07"
"15","/unclear","V2","5.40119569811599e-05"
"16","+i989:","V2","1.34693159554015e-07"
"17","1st","V2","0.000229113064401379"
"18","21st","V2","4.05426410257584e-05"
"19","25th","V2","4.05426410257584e-05"
"20","2nd","V2","0.000175235800579773"
"21","37th","V2","1.34693159554015e-07"
"22","45th","V2","8.09505888919629e-05"
"23","4th","V2","5.40119569811599e-05"
"24","53,54,56","V2","2.7073325070357e-05"
"25","5th","V2","2.7073325070357e-05"
"26","6th","V2","2.7073325070357e-05"
"27","81st","V2","1.36040091149555e-05"
"28","87th","V2","2.7073325070357e-05"
"29","8th","V2","1.36040091149555e-05"
"30","A.g.c.t","V2","2.7073325070357e-05"
"31","a.m.","V2","9.44199048473644e-05"
"32","A.M.","V2","2.7073325070357e-05"
"33","A.R.","V2","1.36040091149555e-05"
"34","A.w.o.l","V2","1.34693159554015e-07"
"35","a.w.o.l'","V2","1.36040091149555e-05"
"36","A.W.O.L's","V2","8.09505888919629e-05"
"37","abandon","V2","1.36040091149555e-05"
"38","abilitie","V2","2.7073325070357e-05"
"39","ability","V2","0.00198012413860357"
"40","abiliy","V2","2.7073325070357e-05"
"41","abitlity","V2","2.7073325070357e-05"
"42","able","V2","0.00150869808016452"
"43","abled","V2","4.05426410257584e-05"
"44","abolish","V2","2.7073325070357e-05"
"45","abrasion","V2","2.7073325070357e-05"
"46","absent","V2","6.74812729365614e-05"
"47","absenteeism","V2","1.36040091149555e-05"
"48","absentism","V2","1.36040091149555e-05"
"49","absorb","V2","1.36040091149555e-05"
"50","Abtain","V2","5.40119569811599e-05"
"51","abuse","V2","4.05426410257584e-05"
"52","academic","V2","5.40119569811599e-05"
"53","accept","V2","0.000215643748445978"
"54","acceptance","V2","5.40119569811599e-05"
"55","acclassifier","V2","2.7073325070357e-05"
"56","accomodate","V2","2.7073325070357e-05"
"57","accompany","V2","1.36040091149555e-05"
"58","accomplish","V2","0.000229113064401379"
"59","accomplishment","V2","0.000121358536758167"
"60","accord","V2","0.000390744855866197"
"61","accordance","V2","1.36040091149555e-05"
"62","account","V2","0.000404214171821598"
"63","accountant","V2","1.36040091149555e-05"
"64","accross","V2","4.05426410257584e-05"
"65","accuracy","V2","4.05426410257584e-05"
"66","accurate","V2","0.00014829716866897"
"67","accustom","V2","4.05426410257584e-05"
"68","achieve","V2","4.05426410257584e-05"
"69","achievement","V2","5.40119569811599e-05"
"70","achievements","V2","1.36040091149555e-05"
"71","acord","V2","2.7073325070357e-05"
"72","acount","V2","5.40119569811599e-05"
"73","acquaint","V2","9.44199048473644e-05"
"74","acquainted","V2","2.7073325070357e-05"
"75","acquire","V2","6.74812729365614e-05"
"76","acre","V2","1.34693159554015e-07"
"77","across","V2","2.7073325070357e-05"
"78","act","V2","0.000377275539910795"
"79","action","V2","0.000835232282394446"
"80","active","V2","0.000202174432490576"
"81","activity","V2","9.44199048473644e-05"
"82","actual","V2","0.000256051696312182"
"83","Acuse","V2","2.7073325070357e-05"
"84","adapt","V2","4.05426410257584e-05"
"85","adaptability","V2","1.34693159554015e-07"
"86","adaptabilty","V2","1.34693159554015e-07"
"87","add","V2","0.000175235800579773"
"88","addition","V2","2.7073325070357e-05"
"89","additional","V2","5.40119569811599e-05"
"90","address","V2","5.40119569811599e-05"
"91","adequate","V2","4.05426410257584e-05"
"92","adhere","V2","2.7073325070357e-05"
"93","adjust","V2","1.34693159554015e-07"
"94","adjustment","V2","5.40119569811599e-05"
"95","adjutant","V2","2.7073325070357e-05"
"96","administer","V2","4.05426410257584e-05"
"97","administration","V2","6.74812729365614e-05"
"98","administrative","V2","0.00032339827608919"
"99","administrave","V2","4.05426410257584e-05"
"100","admiration","V2","8.09505888919629e-05"
"101","admirer","V2","2.7073325070357e-05"
"102","admit","V2","0.000175235800579773"
"103","adopt","V2","2.7073325070357e-05"
"104","advanc","V2","2.7073325070357e-05"
"105","advance","V2","0.000161766484624372"
"106","advanced","V2","0.00014829716866897"
"107","advancement","V2","0.000336867592044591"
"108","advantage","V2","0.000363806223955394"
"109","advantages","V2","8.09505888919629e-05"
"110","adventerous","V2","4.05426410257584e-05"
"111","adventure","V2","6.74812729365614e-05"
"112","adverge","V2","1.34693159554015e-07"
"113","advesary","V2","2.7073325070357e-05"
"114","advice","V2","9.44199048473644e-05"
"115","advise","V2","2.7073325070357e-05"
"116","aere","V2","2.7073325070357e-05"
"117","aeronautic","V2","4.05426410257584e-05"
"118","aeroplane","V2","1.36040091149555e-05"
"119","affair","V2","0.000309928960133788"
"120","affairs","V2","1.36040091149555e-05"
"121","affect","V2","0.000188705116535175"
"122","affix","V2","1.36040091149555e-05"
"123","afford","V2","0.000134827852713569"
"124","afraid","V2","0.000390744855866197"
"125","Afri-can","V2","2.7073325070357e-05"
"126","afternoon","V2","0.000229113064401379"
"127","Afternoons","V2","1.36040091149555e-05"
"128","afterwards","V2","2.7073325070357e-05"
"129","age","V2","0.000714008438795832"
"130","aged","V2","8.09505888919629e-05"
"131","agency","V2","5.40119569811599e-05"
"132","agent","V2","1.34693159554015e-07"
"133","aggree","V2","1.36040091149555e-05"
"134","aggressive","V2","2.7073325070357e-05"
"135","agitate","V2","2.7073325070357e-05"
"136","agree","V2","0.00014829716866897"
"137","agreement","V2","2.7073325070357e-05"
"138","agression","V2","2.7073325070357e-05"
"139","agricultural","V2","9.44199048473644e-05"
"140","agrument","V2","1.36040091149555e-05"
"141","ahead","V2","2.7073325070357e-05"
"142","Äì¬†","V2","2.7073325070357e-05"
"143","aid","V2","0.000134827852713569"
"144","ailment","V2","4.05426410257584e-05"
"145","aine","V2","1.36040091149555e-05"
"146","aint","V2","2.7073325070357e-05"
"147","air","V2","0.000417683487777"
"148","Air","V2","5.40119569811599e-05"
"149","aircraft","V2","0.00014829716866897"
"150","aire","V2","2.7073325070357e-05"
"151","airplane","V2","0.00014829716866897"
"152","airs","V2","5.40119569811599e-05"
"153","alarming","V2","1.34693159554015e-07"
"154","alert","V2","1.34693159554015e-07"
"155","algie","V2","5.40119569811599e-05"
"156","alike","V2","0.000121358536758167"
"157","alive","V2","9.44199048473644e-05"
"158","allies","V2","1.36040091149555e-05"
"159","alligence","V2","4.05426410257584e-05"
"160","allocate","V2","4.05426410257584e-05"
"161","allotment","V2","0.000121358536758167"
"162","allow","V2","0.00169726850354014"
"163","allowance","V2","5.40119569811599e-05"
"164","allowances","V2","5.40119569811599e-05"
"165","allright","V2","8.09505888919629e-05"
"166","allway","V2","2.7073325070357e-05"
"167","ally","V2","0.000161766484624372"
"168","alone","V2","0.00014829716866897"
"169","along","V2","2.7073325070357e-05"
"170","alotment","V2","0.000107889220802766"
"171","alow","V2","1.34693159554015e-07"
"172","alowence","V2","2.7073325070357e-05"
"173","alright","V2","0.000350336907999992"
"174","alter","V2","5.40119569811599e-05"
"175","alternate","V2","2.7073325070357e-05"
"176","alternative","V2","1.34693159554015e-07"
"177","altogeater","V2","4.05426410257584e-05"
"178","aly","V2","2.7073325070357e-05"
"179","Aly","V2","2.7073325070357e-05"
"180","amb.","V2","1.36040091149555e-05"
"181","ambiguos","V2","2.7073325070357e-05"
"182","ambiguous","V2","2.7073325070357e-05"
"183","ambition","V2","0.000282990328222985"
"184","ambitionless","V2","4.05426410257584e-05"
"185","ambitious","V2","0.000121358536758167"
"186","amerian","V2","4.05426410257584e-05"
"187","american","V2","0.000417683487777"
"188","American","V2","4.05426410257584e-05"
"189","amount","V2","0.000552376647331015"
"190","ample","V2","5.40119569811599e-05"
"191","amunition","V2","4.05426410257584e-05"
"192","AMUS","V2","4.05426410257584e-05"
"193","amusement","V2","8.09505888919629e-05"
"194","analyze","V2","2.7073325070357e-05"
"195","andy","V2","1.36040091149555e-05"
"196","angel","V2","4.05426410257584e-05"
"197","angles","V2","2.7073325070357e-05"
"198","animal","V2","9.44199048473644e-05"
"199","animosity","V2","2.7073325070357e-05"
"200","anixous","V2","5.40119569811599e-05"
"201","anotch","V2","4.05426410257584e-05"
"202","ans","V2","5.40119569811599e-05"
"203","answer","V2","0.00237073430131021"
"204","answere","V2","1.36040091149555e-05"
"205","answerer","V2","2.7073325070357e-05"
"206","antagonism","V2","2.7073325070357e-05"
"207","antagonize","V2","2.7073325070357e-05"
"208","anticipate","V2","8.09505888919629e-05"
"209","antoher","V2","4.05426410257584e-05"
"210","antry","V2","2.7073325070357e-05"
"211","anxious","V2","0.000107889220802766"
"212","anybody","V2","1.34693159554015e-07"
"213","anymore","V2","2.7073325070357e-05"
"214","anyplace","V2","5.40119569811599e-05"
"215","anytime","V2","8.09505888919629e-05"
"216","anywhere","V2","2.7073325070357e-05"
"217","Äôt","V2","1.36040091149555e-05"
"218","appeal","V2","2.7073325070357e-05"
"219","appear","V2","6.74812729365614e-05"
"220","appearance","V2","8.09505888919629e-05"
"221","appinion","V2","1.36040091149555e-05"
"222","apple","V2","5.40119569811599e-05"
"223","applicant","V2","4.05426410257584e-05"
"224","application","V2","2.7073325070357e-05"
"225","applications","V2","2.7073325070357e-05"
"226","Applications","V2","2.7073325070357e-05"
"227","apply","V2","0.000229113064401379"
"228","appoint","V2","8.09505888919629e-05"
"229","appointment","V2","6.74812729365614e-05"
"230","appreciate","V2","9.44199048473644e-05"
"231","apprehend","V2","1.34693159554015e-07"
"232","approach","V2","8.09505888919629e-05"
"233","appropriate","V2","2.7073325070357e-05"
"234","approve","V2","2.7073325070357e-05"
"235","approx","V2","2.7073325070357e-05"
"236","apptitude","V2","1.36040091149555e-05"
"237","apt","V2","4.05426410257584e-05"
"238","aptitude","V2","1.36040091149555e-05"
"239","aquire","V2","4.05426410257584e-05"
"240","arangement","V2","2.7073325070357e-05"
"241","arbitrary","V2","6.74812729365614e-05"
"242","area","V2","0.000282990328222985"
"243","arent","V2","2.7073325070357e-05"
"244","argument","V2","8.09505888919629e-05"
"245","arise","V2","8.09505888919629e-05"
"246","arize","V2","1.36040091149555e-05"
"247","arm","V2","8.09505888919629e-05"
"248","armament","V2","1.36040091149555e-05"
"249","armed","V2","0.000350336907999992"
"250","armestic","V2","2.7073325070357e-05"
"251","armistis","V2","2.7073325070357e-05"
"252","armorer","V2","2.7073325070357e-05"
"253","arms","V2","1.36040091149555e-05"
"254","army","V2","0.0207024733166116"
"255","Army","V2","0.00235726498535481"
"256","army.No","V2","1.36040091149555e-05"
"257","armys","V2","4.05426410257584e-05"
"258","arny","V2","1.36040091149555e-05"
"259","arrange","V2","0.000188705116535175"
"260","arrival","V2","4.05426410257584e-05"
"261","arrive","V2","2.7073325070357e-05"
"262","article","V2","1.36040091149555e-05"
"263","artillery","V2","0.000188705116535175"
"264","Ary","V2","2.7073325070357e-05"
"265","Ascartaining","V2","2.7073325070357e-05"
"266","asham","V2","4.05426410257584e-05"
"267","asistance","V2","2.7073325070357e-05"
"268","ask","V2","0.00196665482264817"
"269","aslect","V2","1.36040091149555e-05"
"270","asleep","V2","1.34693159554015e-07"
"271","aspect","V2","5.40119569811599e-05"
"272","ass","V2","0.000175235800579773"
"273","asse","V2","4.05426410257584e-05"
"274","asset","V2","9.44199048473644e-05"
"275","assign","V2","0.000282990328222985"
"276","assistant","V2","2.7073325070357e-05"
"277","associate","V2","0.000175235800579773"
"278","association","V2","5.40119569811599e-05"
"279","associations","V2","4.05426410257584e-05"
"280","assortment","V2","4.05426410257584e-05"
"281","assume","V2","0.000134827852713569"
"282","assure","V2","4.05426410257584e-05"
"283","atch","V2","2.7073325070357e-05"
"284","athlete","V2","2.7073325070357e-05"
"285","athority","V2","5.40119569811599e-05"
"286","attach","V2","9.44199048473644e-05"
"287","attack","V2","6.74812729365614e-05"
"288","attain","V2","0.00014829716866897"
"289","attaine","V2","0.000121358536758167"
"290","attainment","V2","4.05426410257584e-05"
"291","attempt","V2","6.74812729365614e-05"
"292","attend","V2","0.000161766484624372"
"293","attendance","V2","4.05426410257584e-05"
"294","attention","V2","0.000269521012267584"
"295","attitude","V2","0.000471560751598606"
"296","attorney","V2","2.7073325070357e-05"
"297","attributable","V2","2.7073325070357e-05"
"298","attribute","V2","1.34693159554015e-07"
"299","aur","V2","2.7073325070357e-05"
"300","author","V2","2.7073325070357e-05"
"301","authoraty","V2","2.7073325070357e-05"
"302","authoritative","V2","2.7073325070357e-05"
"303","authority","V2","0.000485030067554007"
"304","authorize","V2","5.40119569811599e-05"
"305","automobile","V2","4.05426410257584e-05"
"306","auxiliary","V2","1.34693159554015e-07"
"307","available","V2","4.05426410257584e-05"
"308","avaition","V2","1.34693159554015e-07"
"309","average","V2","0.000808293650483643"
"310","averything","V2","1.34693159554015e-07"
"311","aviation","V2","1.36040091149555e-05"
"312","avoid","V2","0.00014829716866897"
"313","avow","V2","2.7073325070357e-05"
"314","await","V2","2.7073325070357e-05"
"315","award","V2","2.7073325070357e-05"
"316","aware","V2","2.7073325070357e-05"
"317","awful","V2","9.44199048473644e-05"
"318","awhile","V2","1.36040091149555e-05"
"319","awol","V2","6.74812729365614e-05"
"320","Awol","V2","2.7073325070357e-05"
"321","axis","V2","2.7073325070357e-05"
"322","Axis","V2","1.36040091149555e-05"
"323","B.t.c","V2","1.36040091149555e-05"
"324","baby","V2","0.000215643748445978"
"325","back","V2","0.000444622119687803"
"326","backbone","V2","2.7073325070357e-05"
"327","background","V2","0.00014829716866897"
"328","backing","V2","1.36040091149555e-05"
"329","bad","V2","0.00179155371522795"
"330","bag","V2","6.74812729365614e-05"
"331","baker","V2","9.44199048473644e-05"
"332","balance","V2","1.36040091149555e-05"
"333","ball","V2","0.000134827852713569"
"334","Ball","V2","1.36040091149555e-05"
"335","ban","V2","1.34693159554015e-07"
"336","band","V2","0.00032339827608919"
"337","bar","V2","0.000269521012267584"
"338","Barbers","V2","2.7073325070357e-05"
"339","barrack","V2","0.00032339827608919"
"340","Barrack","V2","2.7073325070357e-05"
"341","barrick","V2","1.36040091149555e-05"
"342","barrier","V2","0.000134827852713569"
"343","bars","V2","1.34693159554015e-07"
"344","base","V2","0.00051196869946481"
"345","baseball","V2","0.000107889220802766"
"346","basement","V2","1.36040091149555e-05"
"347","basic","V2","0.000619723227108022"
"348","basis","V2","0.00051196869946481"
"349","basket","V2","4.05426410257584e-05"
"350","basketball","V2","2.7073325070357e-05"
"351","bat","V2","4.05426410257584e-05"
"352","batallion","V2","2.7073325070357e-05"
"353","Batha","V2","2.7073325070357e-05"
"354","bathe","V2","1.36040091149555e-05"
"355","bathing","V2","1.36040091149555e-05"
"356","batlallion","V2","2.7073325070357e-05"
"357","battalion","V2","8.09505888919629e-05"
"358","battery","V2","0.000336867592044591"
"359","Battion","V2","5.40119569811599e-05"
"360","battle","V2","0.000202174432490576"
"361","battlefield","V2","4.05426410257584e-05"
"362","bay","V2","2.7073325070357e-05"
"363","bayonet","V2","1.36040091149555e-05"
"364","beach","V2","0.00014829716866897"
"365","beacuse","V2","4.05426410257584e-05"
"366","bean","V2","2.7073325070357e-05"
"367","bear","V2","0.000229113064401379"
"368","bearing","V2","5.40119569811599e-05"
"369","beat","V2","9.44199048473644e-05"
"370","beaten","V2","4.05426410257584e-05"
"371","becoar","V2","2.7073325070357e-05"
"372","become","V2","0.000942986810037658"
"373","bed","V2","0.000229113064401379"
"374","bee","V2","4.05426410257584e-05"
