"","source","target","weight"
"1","_any","man",1
"2","-com","better",1
"3","-com","respect",1
"4","-Come","officer",1
"5","-commissioned","get",1
"6","-commissioned","officer",2
"7",".'s","common",1
"8",".W.O.L.","happen",1
"9","'nt","know",1
"10","[/insertion","ntry",1
"11","[/unclear","enemy",1
"12","[/unclear","final",1
"13","[/unclear","give",1
"14","[/unclear","handling",1
"15","[/unclear","inforce",1
"16","[/unclear","man",1
"17","[/unclear","unclear",1
"18","[/unclear","work",1
"19","[/underline","limit",1
"20","]1b[","unclear",1
"21","/unclear","government",1
"22","/unclear","use",1
"23","+i989:","J989",1
"24","1st","2nd",1
"25","1st","act",1
"26","1st","chance",1
"27","1st","classify",1
"28","1st","Lieutenants",1
"29","1st","part",1
"30","1st","physical",1
"31","1st","rating",1
"32","1st","sergeant",2
"33","1st","Sergeants",1
"34","1st","Sgt",4
"35","1st","staff",1
"36","1st","Underlined",1
"37","21st","Abtain",1
"38","21st","birthday",1
"39","25th","Div",1
"40","25th","fuck",1
"41","25th","good",1
"42","2nd","day",1
"43","2nd","induction",1
"44","2nd","Lieutenant",1
"45","2nd","Lieutenants",1
"46","2nd","paragraph",1
"47","2nd","think",1
"48","45th","Div",1
"49","45th","division",2
"50","45th","find",1
"51","4th","class",1
"52","4th","good",1
"53","4th","office",1
"54","53,54,56","know",1
"55","5th","unclear",1
"56","6th","month",1
"57","6th","outfit",1
"58","81st","Q.M.C",1
"59","87th","amb.",1
"60","8th","grade",2
"61","8th","school",1
"62","8th","year",1
"63","A.g.c.t","make",1
"64","a.m.","get",1
"65","a.m.","morning",1
"66","a.m.","pass",1
"67","a.m.","promise",1
"68","a.m.","school",3
"69","a.m.","specialist",1
"70","A.M.","advanced",1
"71","A.M.","school",1
"72","A.W.O.L's","man",1
"73","A.W.O.L's","paragraph",1
"74","abilitie","duty",1
"75","ability","ability",1
"76","ability","acceptance",1
"77","ability","accord",1
"78","ability","advanced",1
"79","ability","army",1
"80","ability","background",1
"81","ability","boy",1
"82","ability","bullshit",1
"83","ability","character",1
"84","ability","concerned",1
"85","ability","consider",1
"86","ability","disregard",1
"87","ability","educational",1
"88","ability","enjoy",1
"89","ability","entitle",1
"90","ability","express",1
"91","ability","faith",1
"92","ability","family",1
"93","ability","favor",1
"94","ability","feel",2
"95","ability","field",1
"96","ability","find",1
"97","ability","first",1
"98","ability","get",1
"99","ability","half",1
"100","ability","ing",1
"101","ability","initive",1
"102","ability","insertion",1
"103","ability","intelligence",1
"104","ability","job",1
"105","ability","kind",1
"106","ability","lead",2
"107","ability","lose",1
"108","ability","man",2
"109","ability","matter",1
"110","ability","need",1
"111","ability","older",1
"112","ability","pass",1
"113","ability","personality",2
"114","ability","physical",1
"115","ability","pluck",1
"116","ability","politics",1
"117","ability","present",1
"118","ability","private",1
"119","ability","promotion",1
"120","ability","rate",1
"121","ability","read",1
"122","ability","reason",1
"123","ability","recruit",1
"124","ability","right",1
"125","ability","see",1
"126","ability","soldier",1
"127","ability","solidier",1
"128","ability","subject",1
"129","ability","sure",1
"130","ability","talents",1
"131","ability","thing",1
"132","ability","understand",1
"133","ability","victor",1
"134","ability","way",2
"135","ability","write",1
"136","ability","younger",1
"137","abiliy","count",1
"138","abitlity","suction",1
"139","able","answer",1
"140","able","attend",1
"141","able","bed",1
"142","able","best",1
"143","able","better",1
"144","able","body",1
"145","able","bomber",1
"146","able","branch",1
"147","able","buy",1
"148","able","chance",1
"149","able","change",1
"150","able","choose",1
"151","able","college",1
"152","able","come",1
"153","able","country",1
"154","able","create",1
"155","able","decent",1
"156","able","dress",1
"157","able","drink",1
"158","able","field",1
"159","able","fight",1
"160","able","fill",1
"161","able","form",1
"162","able","function",1
"163","able","get",6
"164","able","good",2
"165","able","handel",1
"166","able","handle",2
"167","able","help",3
"168","able","idea",1
"169","able","job",3
"170","able","life",1
"171","able","linen",1
"172","able","make",3
"173","able","man",1
"174","able","mix",1
"175","able","much",1
"176","able","opinion",1
"177","able","pay",1
"178","able","procure",1
"179","able","qualify",1
"180","able","races",1
"181","able","satisfactory",1
"182","able","secure",2
"183","able","see",1
"184","able","seem",1
"185","able","serve",1
"186","able","set",1
"187","able","shoe",1
"188","able","stay",1
"189","able","support",1
"190","able","tax",1
"191","able","thing",1
"192","able","town",1
"193","able","train",1
"194","able","transfer",1
"195","able","trust",1
"196","able","turn",1
"197","able","unclear",1
"198","able","wear",1
"199","able","wife",1
"200","able","work",1
"201","abled","bodied",1
"202","abled","man",1
"203","abolish","Communisim",1
"204","abolish","military",1
"205","abolish","personel",1
"206","abrasion","difference",1
"207","abrasion","man",1
"208","absent","leave",1
"209","absent","question",1
"210","absentism","worker",1
"211","Abtain","training",1
"212","Abtain","year",1
"213","abuse","man",1
"214","abuse","privileges",1
"215","academic","army",1
"216","academic","question",1
"217","accept","barrier",1
"218","accept","call",1
"219","accept","equal",1
"220","accept","life",1
"221","accept","live",1
"222","accept","meteorology",1
"223","accept","much",1
"224","accept","responsibility",1
"225","accept","special",1
"226","accept","train",1
"227","acceptance","good",1
"228","acceptance","idea",1
"229","acceptance","new",1
"230","acclassifier","make",1
"231","accomodate","serviceman",1
"232","accompany","questionaire",1
"233","accomplish","allow",1
"234","accomplish","boost",1
"235","accomplish","help",1
"236","accomplish","much",1
"237","accomplish","opinion",1
"238","accomplish","place",1
"239","accomplish","questionaire",1
"240","accomplish","serveral",1
"241","accomplish","thing",1
"242","accomplish","use",1
"243","accomplishment","better",1
"244","accomplishment","chance",1
"245","accomplishment","efficiency",1
"246","accord","ability",1
"247","accord","exam",1
"248","accord","failure",1
"249","accord","grade",1
"250","accord","many",1
"251","accord","personality",1
"252","accord","regulations",1
"253","accord","report",1
"254","accord","soldier",1
"255","accord","specialty",1
"256","accord","worth",1
"257","accordance","fight",1
"258","accordance","man",1
"259","account","ability",1
"260","account","age",1
"261","account","continuous",1
"262","account","disagreement",1
"263","account","effort",1
"264","account","eyesight",1
"265","account","fact",1
"266","account","guardsman",1
"267","account","many",1
"268","account","national",1
"269","account","period",1
"270","account","physical",1
"271","account","short",1
"272","account","take",1
"273","account","war",1
"274","account","work",1
"275","accross","let",1
"276","accuracy","war",1
"277","accurate","answer",1
"278","accurate","enlisted",1
"279","accurate","measurement",1
"280","accurate","seem",1
"281","accurate","tabulation",1
"282","accurate","view",1
"283","accustom","particular",1
"284","accustom","work",1
"285","achieve","combine",1
"286","achieve","effort",1
"287","achieve","thing",1
"288","achievement","transfer",1
"289","achievements","form",1
"290","acord","ability",1
"291","acount","fathers",1
"292","acount","Mother",1
"293","acquaint","form",1
"294","acquaint","help",1
"295","acquaint","negro",1
"296","acquaint","qualifie",1
"297","acquaint","readily",1
"298","acquainted","man",1
"299","acquire","chance",1
"300","acquire","power",1
"301","acquire","self",1
"302","acre","farm",1
"303","across","average",1
"304","act","action",1
"305","act","alike",1
"306","act","better",1
"307","act","Boxe",1
"308","act","deal",1
"309","act","different",1
"310","act","dog",1
"311","act","get",1
"312","act","great",1
"313","act","hour",1
"314","act","instrument",1
"315","act","Lieutenants",1
"316","act","owner",1
"317","act","private",1
"318","act","time",1
"319","act","way",1
"320","act","work",1
"321","action","deletion",2
"322","action","independent",1
"323","action","lieutenant",1
"324","action","long",1
"325","action","meal",1
"326","action","mind",1
"327","action","much",1
"328","action","one",1
"329","action","paragraph",1
"330","action","place",1
"331","action","president",1
"332","action","problem",1
"333","action","questionnaire",1
"334","action","result",2
"335","action","see",1
"336","action","survey",1
"337","action","take",4
"338","action","time",1
"339","action","unclear",1
"340","action","war",1
"341","action","work",1
"342","active","able",1
"343","active","combat",2
"344","active","contribute",1
"345","active","duty",2
"346","active","good",1
"347","active","one",1
"348","active","service",1
"349","active","status",1
"350","active","unit",1
"351","active","younger",1
"352","activity","administrave",1
"353","activity","give",1
"354","actual","ability",1
"355","actual","advanced",1
"356","actual","army",1
"357","actual","combat",5
"358","actual","condition",1
"359","actual","duty",1
"360","actual","experience",1
"361","actual","fighting",1
"362","actual","make",1
"363","actual","necessity",1
"364","actual","private",1
"365","actual","soldier",1
"366","actual","warfare",1
"367","Acuse","Colonel",1
"368","adapt","life",1
"369","adaptability","civilian",1
"370","adaptability","job",1
"371","adaptability","relate",1
"372","adaptabilty","ultimate",1
"373","adaptabilty","vizulize",1
"374","add","bring",1
"375","add","bus",1
"376","add","comment",1
"377","add","gether",1
"378","add","moral",1
"379","add","opinion",1
"380","add","particular",1
"381","add","question",1
"382","add","service",1
"383","addition","officer",1
"384","additional","expenditure",1
"385","additional","insertion",1
"386","additional","money",1
"387","additional","training",1
"388","additional","week",1
"389","address","man",1
"390","address","manage",1
"391","address","officer",1
"392","address","town",1
"393","adequate","discover",1
"394","adequate","method",1
"395","adequate","possibility",1
"396","adequate","sleep",1
"397","adequate","trainee",1
"398","adhere","uniformity",1
"399","adjustment","enter",1
"400","adjustment","man",1
"401","adjutant","officer",1
"402","administer","pay",1
"403","administer","questionnaire",1
"404","administration","relative",1
"405","administration","try",1
"406","administration","unclear",1
"407","administrative","average",1
"408","administrative","choose",1
"409","administrative","effecient",1
"410","administrative","insertion",1
"411","administrative","inspector",1
"412","administrative","job",1
"413","administrative","know",1
"414","administrative","officer",1
"415","administrative","part",1
"416","administrative","personnel",1
"417","administrative","Personnel",1
"418","administrative","policy",1
"419","administrative","untrained",1
"420","administrative","work",1
"421","administrave","administrative",1
"422","administrave","inspector",1
"423","admiration","average",1
"424","admiration","government",1
"425","admiration","officer",1
"426","admirer","scientist",1
"427","admit","bragging",1
"428","admit","negro",1
"429","admit","new",1
"430","admit","prove",1
"431","admit","service",1
"432","adopt","policy",1
"433","advance","believe",1
"434","advance","fight",1
"435","advance","Negroes",1
"436","advance","rank",1
"437","advance","whites",1
"438","advanced","age",1
"439","advanced","com",1
"440","advanced","month",1
"441","advanced","non",1
"442","advanced","school",2
"443","advanced","training",1
"444","advancement","account",1
"445","advancement","come",1
"446","advancement","concerned",1
"447","advancement","education",1
"448","advancement","entertainment",1
"449","advancement","faster",1
"450","advancement","grade",1
"451","advancement","order",1
"452","advancement","promotion",1
"453","advancement","take",1
"454","advantage","army",1
"455","advantage","authority",1
"456","advantage","boy",1
"457","advantage","encluding",1
"458","advantage","fact",1
"459","advantage","make",1
"460","advantage","one",1
"461","advantage","rank",1
"462","advantages","leave",1
"463","advantages","pass",1
"464","adventerous","illusion",1
"465","adventerous","shatter",1
"466","adventure","anytime",1
"467","adventure","country",1
"468","adverge","american",1
"469","adverge","soldier",1
"470","advesary","war",1
"471","advice","officr",1
"472","advice","thing",1
"473","advise","air",1
"474","advise","corps",1
"475","aere","think",1
"476","aeronautic","get",1
"477","aeronautic","try",1
"478","affair","accomplish",1
"479","affair","answer",1
"480","affair","ask",1
"481","affair","break",1
"482","affair","fights",1
"483","affair","negro",1
"484","affair","person",1
"485","affair","program",1
"486","affair","recreational",1
"487","affairs","war",1
"488","affect","daily",1
"489","affect","future",1
"490","affect","life",1
"491","affect","matter",1
"492","affect","military",1
"493","affect","much",1
"494","affect","test",1
"495","affect","work",1
"496","affix","signature",1
"497","afford","know",1
"498","afford","pay",1
"499","afford","stay",1
"500","afford","time",1
"501","afford","wage",1
"502","afraid","bet",1
"503","afraid","boy",1
"504","afraid","bus",1
"505","afraid","business",1
"506","afraid","carry",1
"507","afraid","civilian",1
"508","afraid","cover",1
"509","afraid","detail",1
"510","afraid","last",2
"511","afraid","medical",1
"512","afraid","peace",1
"513","afraid","question",1
"514","afraid","report",1
"515","afraid","see",1
"516","afraid","shit",1
"517","afraid","sick",1
"518","afraid","southern",1
"519","afraid","unclear",1
"520","Afri-can","campaign",1
"521","afternoon","afternoon",2
"522","afternoon","catch",1
"523","afternoon","clock",1
"524","afternoon","day",1
"525","afternoon","give",1
"526","afternoon","inspections",1
"527","afternoon","less",1
"528","afternoon","man",1
"529","afternoon","noon",1
"530","Afternoons","game",1
"531","age","allow",1
"532","age","army",1
"533","age","best",1
"534","age","complete",1
"535","age","farm",1
"536","age","feeling",1
"537","age","fighting",1
"538","age","get",2
"539","age","give",1
"540","age","group",1
"541","age","hell",1
"542","age","like",1
"543","age","limited",1
"544","age","living",1
"545","age","man",2
"546","age","next",1
