"","source","target","weight"
"1","'nt","V2","1.21344349782369e-06"
"2","[/unclear","V2","0.00036524649284493"
"3","60'","V2","0.000122557793280193"
"4","abide","V2","0.000122557793280193"
"5","ability","V2","0.000607935192409668"
"6","able","V2","0.000486590842627299"
"7","abuse","V2","0.00036524649284493"
"8","abusive","V2","0.000122557793280193"
"9","accept","V2","0.000729279542192037"
"10","acceptable","V2","0.000122557793280193"
"11","acceptance","V2","1.21344349782369e-06"
"12","accomplish","V2","0.000486590842627299"
"13","accomplishment","V2","0.00036524649284493"
"14","accord","V2","0.000243902143062561"
"15","account","V2","0.000122557793280193"
"16","accustom","V2","0.000850623891974406"
"17","achieve","V2","1.21344349782369e-06"
"18","achievement","V2","0.00036524649284493"
"19","acquaintance","V2","0.000243902143062561"
"20","act","V2","0.00121465694132151"
"21","action","V2","0.000243902143062561"
"22","actual","V2","0.000729279542192037"
"23","adapt","V2","0.000486590842627299"
"24","adjust","V2","0.000122557793280193"
"25","adjustment","V2","0.000122557793280193"
"26","admit","V2","0.000122557793280193"
"27","advance","V2","0.000486590842627299"
"28","advancement","V2","0.000607935192409668"
"29","advantage","V2","0.000850623891974406"
"30","affect","V2","0.000243902143062561"
"31","afford","V2","0.00036524649284493"
"32","agree","V2","0.000486590842627299"
"33","ague","V2","0.00036524649284493"
"34","alien","V2","0.000243902143062561"
"35","alike","V2","0.000122557793280193"
"36","allow","V2","0.00170003434045099"
"37","alone","V2","0.00036524649284493"
"38","alow","V2","0.000243902143062561"
"39","alright","V2","0.000243902143062561"
"40","ambitious","V2","0.000243902143062561"
"41","amendment","V2","1.21344349782369e-06"
"42","american","V2","0.000971968241756775"
"43","amount","V2","0.000729279542192037"
"44","answer","V2","0.000486590842627299"
"45","anthr","V2","0.00036524649284493"
"46","anti-negro","V2","1.21344349782369e-06"
"47","apply","V2","0.000486590842627299"
"48","approve","V2","0.000243902143062561"
"49","area","V2","0.000243902143062561"
"50","argue","V2","0.00036524649284493"
"51","argument","V2","0.000486590842627299"
"52","arise","V2","0.00036524649284493"
"53","arm","V2","1.21344349782369e-06"
"54","army","V2","0.00618977528239864"
"55","Army","V2","0.000243902143062561"
"56","around","V2","0.000122557793280193"
"57","arrange","V2","1.21344349782369e-06"
"58","asham","V2","0.000243902143062561"
"59","ask","V2","0.000122557793280193"
"60","assault","V2","0.00036524649284493"
"61","associate","V2","0.00157868999066862"
"62","association","V2","0.000607935192409668"
"63","attain","V2","0.00036524649284493"
"64","attaine","V2","0.000122557793280193"
"65","attitude","V2","0.000971968241756775"
"66","average","V2","0.000243902143062561"
"67","aversion","V2","0.000243902143062561"
"68","avoid","V2","0.00109331259153914"
"69","background","V2","0.00036524649284493"
"70","bad","V2","0.00412692133609837"
"71","barrack","V2","0.000971968241756775"
"72","barrick","V2","0.000122557793280193"
"73","basic","V2","0.000607935192409668"
"74","bath","V2","0.000122557793280193"
"75","battery","V2","0.000243902143062561"
"76","battle","V2","0.000850623891974406"
"77","battlefront","V2","0.000243902143062561"
"78","bear","V2","0.00121465694132151"
"79","become","V2","0.0020640673897981"
"80","behave","V2","0.000122557793280193"
"81","beleve","V2","0.000243902143062561"
"82","belief","V2","0.000486590842627299"
"83","believe","V2","0.0043696100356631"
"84","belong","V2","1.21344349782369e-06"
"85","benefit","V2","0.00036524649284493"
"86","best","V2","0.00218541173958046"
"87","beter","V2","0.000243902143062561"
"88","better","V2","0.0288811686917016"
"89","bettween","V2","0.00036524649284493"
"90","betwen","V2","0.00036524649284493"
"91","big","V2","0.00036524649284493"
"92","bigote","V2","0.00036524649284493"
"93","bigoted","V2","0.000122557793280193"
"94","bind","V2","0.000243902143062561"
"95","bink","V2","0.000486590842627299"
"96","bit","V2","0.000122557793280193"
"97","bitter","V2","0.00036524649284493"
"98","black","V2","0.00352019958718652"
"99","Black","V2","0.000243902143062561"
"100","blacks","V2","0.000122557793280193"
"101","blend","V2","0.000243902143062561"
"102","bless","V2","0.000122557793280193"
"103","blind","V2","0.000122557793280193"
"104","blood","V2","0.000243902143062561"
"105","boat","V2","0.000243902143062561"
"106","body","V2","0.000971968241756775"
"107","bound","V2","0.000486590842627299"
"108","boy","V2","0.00230675608936283"
"109","boys","V2","0.00036524649284493"
"110","break","V2","0.00109331259153914"
"111","breed","V2","0.000486590842627299"
"112","bring","V2","0.00145734564088625"
"113","broadmind","V2","0.000486590842627299"
"114","brother","V2","0.000607935192409668"
"115","buddie","V2","0.000243902143062561"
"116","buddy","V2","0.00036524649284493"
"117","builders","V2","0.000243902143062561"
"118","building","V2","0.000243902143062561"
"119","bully","V2","0.000486590842627299"
"120","bum","V2","1.21344349782369e-06"
"121","bunch","V2","0.000850623891974406"
"122","bunk","V2","0.000243902143062561"
"123","bunking","V2","0.000243902143062561"
"124","business","V2","0.00036524649284493"
"125","C.o","V2","0.00036524649284493"
"126","call","V2","0.000243902143062561"
"127","camp","V2","0.00230675608936283"
"128","can","V2","0.000486590842627299"
"129","capable","V2","1.21344349782369e-06"
"130","capacity","V2","0.000122557793280193"
"131","car","V2","0.000607935192409668"
"132","care","V2","0.00157868999066862"
"133","carry","V2","0.000729279542192037"
"134","case","V2","0.000971968241756775"
"135","cast","V2","0.00036524649284493"
"136","cause","V2","0.00449095438544547"
"137","cent","V2","0.000486590842627299"
"138","certain","V2","0.00036524649284493"
"139","chain","V2","0.000122557793280193"
"140","chance","V2","0.00655380833174574"
"141","change","V2","0.00170003434045099"
"142","character","V2","0.000122557793280193"
"143","characteristic","V2","1.21344349782369e-06"
"144","check","V2","0.000122557793280193"
"145","child","V2","0.000122557793280193"
"146","chinese","V2","0.00036524649284493"
"147","choose","V2","0.000243902143062561"
"148","circumstance","V2","0.000243902143062561"
"149","citizen","V2","1.21344349782369e-06"
"150","city","V2","0.000486590842627299"
"151","civil","V2","0.000122557793280193"
"152","civilian","V2","0.000850623891974406"
"153","civilize","V2","0.000243902143062561"
"154","clase","V2","0.000122557793280193"
"155","class","V2","0.00121465694132151"
"156","classify","V2","1.21344349782369e-06"
"157","clean","V2","0.000971968241756775"
"158","Clean","V2","1.21344349782369e-06"
"159","cleaner","V2","0.00036524649284493"
"160","cleanliness","V2","0.00036524649284493"
"161","climate","V2","0.000486590842627299"
"162","close","V2","0.00133600129110388"
"163","co.operate","V2","0.000122557793280193"
"164","code","V2","0.00036524649284493"
"165","cold","V2","0.000243902143062561"
"166","coler","V2","0.000122557793280193"
"167","colo","V2","1.21344349782369e-06"
"168","color","V2","0.00546170918370442"
"169","colored","V2","0.00352019958718652"
"170","colors","V2","0.000122557793280193"
"171","com","V2","0.000243902143062561"
"172","combat","V2","0.00121465694132151"
"173","combine","V2","0.000729279542192037"
"174","come","V2","0.00339885523740415"
"175","coment","V2","1.21344349782369e-06"
"176","comfort","V2","0.000122557793280193"
"177","comfortable","V2","0.000243902143062561"
"178","comm","V2","0.00036524649284493"
"179","command","V2","1.21344349782369e-06"
"180","commander","V2","0.000243902143062561"
"181","commen","V2","0.000122557793280193"
"182","comment","V2","0.000850623891974406"
"183","commision","V2","0.000486590842627299"
"184","commissione","V2","0.000243902143062561"
"185","common","V2","0.000729279542192037"
"186","commotion","V2","0.000122557793280193"
"187","company","V2","0.000729279542192037"
"188","compete","V2","0.00036524649284493"
"189","competion","V2","0.000122557793280193"
"190","competition","V2","0.000729279542192037"
"191","competitive","V2","1.21344349782369e-06"
"192","complain","V2","0.000122557793280193"
"193","complete","V2","0.00036524649284493"
"194","complex","V2","1.21344349782369e-06"
"195","complicated","V2","0.00036524649284493"
"196","complication","V2","0.000243902143062561"
"197","comradeship","V2","1.21344349782369e-06"
"198","concentrate","V2","0.000243902143062561"
"199","concerned","V2","0.000607935192409668"
"200","concerning","V2","0.00036524649284493"
"201","condition","V2","0.00315616653783942"
"202","conduct","V2","0.00036524649284493"
"203","confliction","V2","1.21344349782369e-06"
"204","confusion","V2","0.000122557793280193"
"205","connect","V2","0.000243902143062561"
"206","consider","V2","1.21344349782369e-06"
