source,target,weight
unclear,crowd,1
unclear,sepert,1
unclear,want,1
60',answer,1
abide,spirit,1
ability,want,1
able,better,1
able,get,1
able,work,2
abuse,soldier,1
abuse,white,1
abusive,deletion,1
accept,rank,1
accept,work,1
acceptable,majority,1
acceptance,negro,1
accomplish,separate,1
accomplish,units,1
accomplishment,negro,1
accomplishment,total,1
accord,ability,1
account,difference,1
account,racial,1
accustom,association,1
accustom,color,1
accustom,separate,1
achieve,victory,1
achievement,unclear,1
act,less,1
act,officer,1
act,restraint,1
act,think,1
act,whites,1
actual,combat,2
actual,demonstration,1
actual,method,1
adapt,climate,1
adapt,different,1
admit,negro,1
advancement,feeling,1
advancement,prevent,1
advantage,priviledge,1
affect,unclear,1
afford,dissatisfaction,1
afford,thorough,1
agree,mingle,1
ague,equal,1
ague,give,1
ague,rights,1
alien,poor,1
alien,race,1
allow,contact,1
allow,direct,1
allow,fight,1
allow,intermingling,1
allow,live,1
allow,mix,1
allow,possible,1
allow,races,1
allow,train,1
allow,white,1
alone,group,1
alow,allow,1
alright,friend,1
alright,place,1
ambitious,man,1
ambitious,profit,1
american,black,1
american,person,1
american,rights,1
amount,lost,1
amount,motion,1
amount,negroe,1
amount,white,1
answer,get,1
answer,last,1
answer,question,3
anthr,better,1
anti-negro,organization,1
anti-negro,retard,1
apply,education,1
apply,practical,1
approve,officr,1
approve,white,1
area,one,1
argue,work,1
argument,fight,1
argument,friction,1
argument,separate,1
argument,trouble,1
army,afford,1
army,become,1
army,camp,1
army,Corps,1
army,family,1
army,get,1
army,gut,1
army,instance,1
army,life,2
army,live,1
army,man,1
army,outfit,1
army,separate,1
army,signal,1
army,sit,1
army,stomach,1
army,strict,1
army,subscribe,1
army,war,1
army,white,1
Army,force,1
Army,know,1
asham,tell,1
asham,truth,1
assault,battery,1
associate,negro,1
associate,negroe,2
associate,people,1
associate,white,1
association,emphasize,1
attain,larged,1
attain,quide,1
attitude,capacity,1
attitude,know,1
attitude,Negro,1
attitude,Northern,1
attitude,southern,1
attitude,whites,1
average,negro,1
average,reckless,1
avoid,difference,1
avoid,disorder,1
avoid,jelousy,1
avoid,oppinion,1
avoid,riot,1
avoid,separate,1
avoid,trouble,1
background,different,1
background,soldier,1
bad,body,1
bad,bring,1
bad,business,1
bad,condition,1
bad,detrimental,1
bad,epnian,1
bad,feeling,2
bad,felling,1
bad,foot,1
bad,let,1
bad,many,1
bad,moral,1
bad,negroe,1
bad,oder,1
bad,odor,1
bad,people,1
bad,perspire,1
bad,practice,1
bad,reason,1
bad,soldier,1
bad,stay,1
bad,unclear,1
bad,white,2
