source,target,weight
[/unclear,crowd,1
[/unclear,separ,1
60,answer,1
abid,spirit,1
abus,soldier,1
abus,white,1
abus,delet,1
accept,rank,1
accept,major,1
accept,negro,1
accomplish,separ,1
accomplish,unit,1
accomplish,negro,1
accomplish,total,1
account,differ,1
account,racial,1
accustom,associ,1
accustom,color,1
accustom,separ,1
achiev,victori,1
achiev,unclear,1
act,offic,1
act,restraint,1
act,white,1
actual,combat,2
actual,demonstr,1
actual,method,1
adapt,climat,1
admit,negro,1
advanc,feel,1
advanc,prevent,1
advantag,privileg,1
affect,unclear,1
afford,dissatisfact,1
agre,mingl,1
argu,equal,1
argu,right,1
alien,poor,1
alien,race,1
alright,friend,1
ambiti,profit,1
american,black,1
american,person,1
american,right,1
amount,lost,1
amount,motion,1
amount,negro,1
amount,white,1
answer,question,3
antinegro,organ,1
antinegro,retard,1
appli,educ,1
appli,practic,1
approv,offic,1
approv,white,1
argument,fight,1
argument,friction,1
argument,separ,1
argument,troubl,1
armi,afford,1
armi,camp,1
armi,corp,1
armi,famili,1
armi,gut,1
armi,instanc,1
armi,life,2
armi,live,1
armi,outfit,1
armi,separ,1
armi,signal,1
armi,sit,1
armi,stomach,1
armi,strict,1
armi,subscrib,1
armi,war,1
armi,white,1
armi,forc,1
asham,truth,1
assault,batteri,1
associ,negro,1
associ,negro,2
associ,peopl,1
associ,white,1
associ,emphas,1
attain,guid,1
attitud,capac,1
attitud,negro,1
attitud,northern,1
attitud,southern,1
attitud,white,1
averag,negro,1
averag,reckless,1
avoid,differ,1
avoid,disord,1
avoid,jealousi,1
avoid,opinion,1
avoid,riot,1
avoid,separ,1
avoid,troubl,1
background,soldier,1
bad,bodi,1
bad,bring,1
bad,busi,1
bad,condit,1
bad,detriment,1
bad,opinion,1
bad,feel,2
bad,feel,1
bad,foot,1
bad,moral,1
bad,negro,1
bad,odor,1
bad,odor,1
bad,peopl,1
bad,perspir,1
bad,practic,1
bad,reason,1
bad,soldier,1
bad,stai,1
bad,unclear,1
bad,white,2
barrack,bad,1
barrack,hall,1
barrack,mess,1
barrack,negro,1
basic,train,1
bath,eat,1
bath,sleep,1
battlefront,share,1
bear,natur,1
bear,negro,1
bear,prejudic,1
bear,south,1
bear,teach,1
behav,act,1
belief,tradit,1
belief,train,1
belong,negro,1
benefit,race,1
bigot,armi,1
bigot,person,1
bigot,live,1
bind,brother,1
bitter,soldier,1
bitter,white,1
black,car,1
black,cleaner,1
black,fight,1
black,mix,1
black,offic,1
black,race,3
black,separ,2
black,soldier,1
black,stripe,1
black,white,6
black,prejudic,1
black,racial,1
black,white,1
blend,negro,1
blend,white,1
blind,white,1
blood,battlefront,1
bodi,cleanli,1
bodi,light,1
bodi,mind,1
bodi,odor,2
bound,aris,1
bound,discord,1
bound,troubl,1
boi,boi,1
boi,damn,1
boi,feel,1
boi,lot,1
boi,mix,1
boi,negro,2
boi,resent,1
boi,smarter,1
boi,south,1
boi,unclear,1
boi,war,1
boi,corp,1
break,custom,1
break,friendship,1
break,mix,1
break,white,1
breed,discont,1
breed,understand,1
bring,disharmoni,1
bring,friction,1
bring,negro,1
bring,relationship,1
bring,understand,1
bring,white,1
broadmind,peopl,1
broadmind,understand,1
brother,brother,1
brother,common,1
build,moral,1
bulli,privat,1
bulli,white,1
bunch,poor,1
bunch,southern,1
bunk,enlist,1
busi,reason,1
call,buddi,1
call,negro,1
camp,basic,1
camp,feel,1
camp,offic,1
camp,start,1
camp,train,1
capabl,type,1
car,stripe,1
car,suit,1
care,mix,2
care,negro,1
care,negro,1
care,object,1
care,sleep,2
carri,diseas,1
cast,tradit,1
cent,negro,1
cent,stand,1
cent,trust,1
chain,strong,1
chanc,abil,1
chanc,advanc,1
chanc,advanc,4
chanc,discontent,1
chanc,express,1
chanc,friction,3
chanc,life,1
chanc,outfit,1
chanc,person,1
chanc,prevent,1
chanc,promot,1
chanc,prove,3
chanc,race,1
chanc,racial,1
chanc,riot,1
chanc,serv,1
chanc,share,1
chanc,undesir,1
chanc,undesir,1
chanc,white,2
chanc,worth,1
chang,armi,2
chang,belief,1
chang,mind,1
chang,tradit,1
characterist,unclear,1
check,mark,1
chines,accept,1
chines,american,1
choos,fight,1
citi,negro,1
citi,run,1
civil,war,1
civilian,life,3
civilian,negro,1
civil,peopl,1
class,peopl,3
class,race,1
class,rememb,1
class,white,1
classifi,limit,1
classifi,servic,1
clean,peopl,1
clean,white,2
climat,white,1
close,associ,1
close,discord,1
close,emphas,1
close,harmoni,1
close,relationship,1
code,instuctor,1
code,phase,1
cold,time,1
color,peopl,1
color,associ,1
color,boi,1
color,boi,1
color,creed,1
color,die,1
color,dirti,1
color,feel,1
color,fight,1
color,mix,2
color,negro,1
color,object,1
color,peopl,3
color,race,3
color,white,1
color,happier,1
color,inferior,1
color,mix,1
color,offic,1
color,oper,1
color,peopl,1
color,race,3
color,separ,1
color,soldier,1
color,southern,1
color,troop,2
color,unclear,2
color,white,2
combat,duti,1
combat,outfit,1
combat,serv,1
combat,zone,1
combin,outfit,1
combin,race,1
comfort,live,1
comm,comm,1
comment,common,1
comment,appli,1
comment,question,1
commiss,enlist,1
commiss,offic,1
commiss,offic,1
common,level,1
common,negro,1
compani,soldier,1
compet,soldier,1
compet,white,1
competit,competit,1
competit,unifi,1
competit,spirit,1
competit,unclear,1
complet,equal,1
complet,uniti,1
complex,result,1
complic,machin,1
condit,camp,1
condit,chang,1
condit,elimin,1
condit,friction,1
condit,outfit,1
condit,race,1
condit,separ,1
condit,soldier,1
condit,white,1
conduct,white,1
connect,outfit,1
constant,content,1
constant,quarrel,1
contact,negro,1
contact,negro,1
content,bound,1
continu,sort,1
cooper,noncom,1
cooper,offic,1
cooper,offic,1
cooper,outfit,1
cooper,separ,1
cooper,mix,2
cooper,outfit,1
cooper,separ,1
corp,bear,1
corp,natur,1
countri,civil,1
countri,negro,1
countri,peopl,1
countri,seldom,1
countri,white,1
countri,world,1
court,eat,1
court,martial,1
courtmarti,assault,1
courtmarti,dai,1
creat,disturb,1
creat,fight,1
creat,friction,1
creat,lack,1
creat,outfit,1
creat,troubl,2
credit,achiev,1
credit,credit,1
credit,race,1
creed,bind,1
crimin,intent,1
custom,tradit,1
custom,belief,1
damn,mix,1
damn,negro,1
damn,sleep,1
date,accustom,1
dai,assault,1
dai,batteri,1
deal,hurri,1
deal,negro,1
deal,prejudic,1
deal,race,2
deal,unclear,1
delet,abus,1
delet,delet,8
delet,fight,1
delet,outfit,1
delet,peopl,1
democrat,leav,1
demonstr,method,1
depend,amount,1
depend,circumst,1
depend,individu,1
depend,local,1
depend,negro,1
depend,section,1
desecr,rank,1
desir,odor,1
destroi,appli,1
detriment,moral,1
develop,separ,1
develop,segreg,1
devil,human,1
die,quick,1
diseas,white,1
differ,race,1
differ,civilian,1
differ,class,1
differ,condit,2
differ,creat,1
differ,habit,1
differ,hard,1
differ,live,4
differ,live,1
differ,negro,1
differ,nerv,1
