[/unclear,
60',
abide,
ability,
able,
abuse,
abusive,
accept,
acceptable,
acceptance,
accomplish,
accomplishment,
accord,
account,
accustom,
achieve,
achievement,
acquaintance,
act,
action,
actual,
adapt,
adjust,
adjustment,
admit,
advance,
advancement,
advantage,
affect,
afford,
agree,
ague,
alien,
alike,
allow,
alone,
alow,
alright,
ambitious,
american,
amount,
answer,
anthr,
anti-negro,
apply,
approve,
area,
argue,
argument,
arise,
army,
Army,
around,
asham,
ask,
assault,
associate,
association,
attain,
attaine,attain
attitude,
average,
aversion,
avoid,
background,
bad,
barrack,
barrick,
basic,
bath,
battery,
battle,
battlefront,
bear,
become,
behave,
beleve,believe
belief,
believe,
belong,
benefit,
best,
beter,better
better,
bettween,between
betwen,between
big,
bigote,
bigoted,
bind,
bink,
bit,
bitter,
black,
Black,
blacks,
blend,
bless,
blind,
blood,
boat,
body,
bound,
boy,
boys,
break,
breed,
bring,
broadmind,
brother,
buddie,buddy
buddy,
builders,
building,
bully,
bunch,
bunk,
bunking,
business,
C.o,
call,
camp,
can,
capable,
capacity,
car,
care,
carry,
case,
cast,
cause,
cent,
certain,
chain,
chance,
change,
character,
characteristic,
check,
child,
chinese,
choose,
circumstance,
city,
civil,
civilian,
civilize,
clase,class
class,
classify,
clean,
Clean,
cleaner,
cleanliness,
climate,
close,
co.operate,cooperate
code,
cold,
coler,color
colo,color
color,
colored,
colors,
com,
combat,
combine,
come,
comfort,
comfortable,
comm,
commander,
commen,comment
comment,
commision,
commissione,
common,
commotion,
company,
compete,
competion,competition
competition,
competitive,
complain,
complete,
complex,
complicated,
complication,
concentrate,
concerned,
concerning,
condition,
conduct,
confusion,
connect,
considerate,
constant,
constter,
contact,
content,
contention,
continue,
Contradiction,
control,
cooperate,
cooperation,
Corps,
corps,
cotofer,
couldent,couldn’t
counting,
country,
court,
courtmartial,
create,
credit,
creed,
Creep,
criminal,
crit,
crowd,
custom,
customs,
cuuse,
dam,
damne,
date,
day,
deal,
decrid,
defeat,
definite,
defnitley,
deletion,
democratic,
demonstration,
depend,
desease,
Desecration,
deserve,
desirable,
destroy,
detrimental,
develop,
develope,develop
DEVENRTy,
devils,
die,
diease,
difer,differ
differ,
differance,difference
difference,
different,
difficulty,
difrent,different
direct,
dirty,
disagreiment,disagreement
disastr,disaster
discipline,
discontent,
discontentment,
discord,
discrepacy,discrepancy
discriminate,
discrimination,
discrimmation,discrimination
discuss,
Disease,
disease,
diseases,
disharmony,
disintion,distinction
dislike,
disliking,
disorder,
disrespect,
dissatisfaction,
dissension,
dissention,
distinction,
distinguish,
disturbance,
Disturbance,
disunity,
divide,
dog,
dorp,
doubt,
draft,
draw,
dress,
drill,
drink,
drive,
drop,
duty,
ease,
easier,
eat,
educate,
education,
educational,
effective,
efficiency,
efficient,
effort,
either,
element,
eliminate,
else,
eme,
emergency,
emphasize,
enable,
ence,
end,
enemy,
enjoy,
enlist,
enmity,
enough,
entanglement,
entitle,
epnian,
equal,
equality,
equipment,
erase,
essential,
establish,
eternal,
exception,
excuse,
exist,
existend,
expect,
experience,
experienced,
explain,
express,
extent,
extreme,
face,
fact,
faction,
factor,
fair,
familiar,
family,
fancy,
favoritism,
fealing,
feel,
feeling,
fel,feel
fell,
felling,feeling
fellow,
fellows,
field,
fight,
fightig,fighting
fighting,
filthy,
find,
fine,
finger,
finish,
fire,
first,
fit,
fite,
fiter,
folk,
follow,
food,
fooling,
foot,
force,
foreman,
forget,
form,
foxcut,
