"","X","source","target","weight"
"1",1,"[/unclear","crowd",1
"2",2,"[/unclear","separate",1
"3",3,"[/unclear","want",1
"4",4,"60","answer",1
"5",5,"abide","spirit",1
"6",6,"ability","want",1
"7",7,"able","better",1
"8",8,"able","get",1
"9",9,"able","work",2
"10",10,"abuse","soldier",1
"11",11,"abuse","white",1
"12",12,"abusive","deletion",1
"13",13,"accept","rank",1
"14",14,"accept","work",1
"15",15,"acceptable","majority",1
"16",16,"acceptance","negro",1
"17",17,"accomplish","separate",1
"18",18,"accomplish","units",1
"19",19,"accomplishment","negro",1
"20",20,"accomplishment","total",1
"21",21,"according","ability",1
"22",22,"account","difference",1
"23",23,"account","racial",1
"24",24,"accustom","association",1
"25",25,"accustom","color",1
"26",26,"accustom","separate",1
"27",27,"achieve","victory",1
"28",28,"achievement","unclear",1
"29",29,"act","less",1
"30",30,"act","officer",1
"31",31,"act","restraint",1
"32",32,"act","think",1
"33",33,"act","whites",1
"34",34,"actual","combat",2
"35",35,"actual","demonstration",1
"36",36,"actual","method",1
"37",37,"adapt","climate",1
"38",38,"adapt","different",1
"39",39,"admit","negro",1
"40",40,"advancement","feeling",1
"41",41,"advancement","prevent",1
"42",42,"advantage","privilege",1
"43",43,"affect","unclear",1
"44",44,"afford","dissatisfaction",1
"45",45,"afford","thorough",1
"46",46,"agree","mingle",1
"47",47,"argue","equal",1
"48",48,"argue","give",1
"49",49,"argue","rights",1
"50",50,"alien","poor",1
"51",51,"alien","race",1
"52",52,"allow","contact",1
"53",53,"allow","direct",1
"54",54,"allow","fight",1
"55",55,"allow","intermingling",1
"56",56,"allow","live",1
"57",57,"allow","mix",1
"58",58,"allow","possible",1
"59",59,"allow","races",1
"60",60,"allow","train",1
"61",61,"allow","white",1
"62",62,"alone","group",1
"63",63,"alow","allow",1
"64",64,"alright","friend",1
"65",65,"alright","place",1
"66",66,"ambitious","man",1
"67",67,"ambitious","profit",1
"68",68,"american","black",1
"69",69,"american","person",1
"70",70,"american","rights",1
"71",71,"amount","lost",1
"72",72,"amount","motion",1
"73",73,"amount","negro",1
"74",74,"amount","white",1
"75",75,"answer","get",1
"76",76,"answer","last",1
"77",77,"answer","question",3
"78",78,"another","better",1
"79",79,"antinegro","organization",1
"80",80,"antinegro","retard",1
"81",81,"apply","education",1
"82",82,"apply","practical",1
"83",83,"approve","officer",1
"84",84,"approve","white",1
"85",85,"area","one",1
"86",86,"argue","work",1
"87",87,"argument","fight",1
"88",88,"argument","friction",1
"89",89,"argument","separate",1
"90",90,"argument","trouble",1
"91",91,"army","afford",1
"92",92,"army","become",1
"93",93,"army","camp",1
"94",94,"army","Corps",1
"95",95,"army","family",1
"96",96,"army","get",1
"97",97,"army","gut",1
"98",98,"army","instance",1
"99",99,"army","life",2
"100",100,"army","live",1
"101",101,"army","man",1
"102",102,"army","outfit",1
"103",103,"army","separate",1
"104",104,"army","signal",1
"105",105,"army","sit",1
"106",106,"army","stomach",1
"107",107,"army","strict",1
"108",108,"army","subscribe",1
"109",109,"army","war",1
"110",110,"army","white",1
"111",111,"Army","force",1
"112",112,"Army","know",1
"113",113,"ashamed","tell",1
"114",114,"ashamed","truth",1
"115",115,"assault","battery",1
"116",116,"associate","negro",1
"117",117,"associate","negro",2
"118",118,"associate","people",1
"119",119,"associate","white",1
"120",120,"association","emphasize",1
"121",121,"attain","largely",1
"122",122,"attain","guide",1
"123",123,"attitude","capacity",1
"124",124,"attitude","know",1
"125",125,"attitude","Negro",1
"126",126,"attitude","Northern",1
"127",127,"attitude","southern",1
"128",128,"attitude","whites",1
"129",129,"average","negro",1
"130",130,"average","reckless",1
"131",131,"avoid","difference",1
"132",132,"avoid","disorder",1
"133",133,"avoid","jealousy",1
"134",134,"avoid","opinion",1
"135",135,"avoid","riot",1
"136",136,"avoid","separate",1
"137",137,"avoid","trouble",1
"138",138,"background","different",1
"139",139,"background","soldier",1
"140",140,"bad","body",1
"141",141,"bad","bring",1
"142",142,"bad","business",1
"143",143,"bad","condition",1
"144",144,"bad","detrimental",1
"145",145,"bad","opinion",1
"146",146,"bad","feeling",2
"147",147,"bad","feeling",1
"148",148,"bad","foot",1
"149",149,"bad","let",1
"150",150,"bad","many",1
"151",151,"bad","morale",1
"152",152,"bad","negro",1
"153",153,"bad","odor",1
"154",154,"bad","odor",1
"155",155,"bad","people",1
"156",156,"bad","perspire",1
"157",157,"bad","practice",1
"158",158,"bad","reason",1
"159",159,"bad","soldier",1
"160",160,"bad","stay",1
"161",161,"bad","unclear",1
"162",162,"bad","white",2
"163",163,"barrack","bad",1
"164",164,"barrack","different",1
"165",165,"barrack","hall",1
"166",166,"barrack","mess",1
"167",167,"barrack","Negro",1
"168",168,"barrack","work",1
"169",169,"basic","come",1
"170",170,"basic","training",1
"171",171,"bath","eat",1
"172",172,"bath","sleep",1
"173",173,"battle","between",1
"174",174,"battle","else",1
"175",175,"battle","man",1
"176",176,"battlefront","share",1
"177",177,"bear","natural",1
"178",178,"bear","negro",1
"179",179,"bear","prejudice",1
"180",180,"bear","south",1
"181",181,"bear","teaching",1
"182",182,"become","accustom",1
"183",183,"become","association",1
"184",184,"become","color",1
"185",185,"become","desirable",1
"186",186,"become","friendly",1
"187",187,"become","higher",1
"188",188,"become","strict",1
"189",189,"become","violent",1
"190",190,"behave","act",1
"191",191,"believe","negro",1
"192",192,"believe","understand",1
"193",193,"belief","tradition",1
"194",194,"belief","train",1
"195",195,"believe","best",1
"196",196,"believe","better",2
"197",197,"believe","feel",1
"198",198,"believe","fraternalize",1
"199",199,"believe","give",1
"200",200,"believe","happier",2
"201",201,"believe","keep",3
"202",202,"believe","live",1
"203",203,"believe","make",1
"204",204,"believe","mixing",1
"205",205,"believe","negro",3
