"","X","source","target","weight"
"1",1,"[/unclear","crowd",1
"2",2,"[/unclear","separate",1
"4",4,"60","answer",1
"5",5,"abide","spirit",1
"10",10,"abuse","soldier",1
"11",11,"abuse","white",1
"12",12,"abusive","deletion",1
"13",13,"accept","rank",1
"15",15,"acceptable","majority",1
"16",16,"acceptance","negro",1
"17",17,"accomplish","separate",1
"18",18,"accomplish","units",1
"19",19,"accomplishment","negro",1
"20",20,"accomplishment","total",1
"22",22,"account","difference",1
"23",23,"account","racial",1
"24",24,"accustom","association",1
"25",25,"accustom","color",1
"26",26,"accustom","separate",1
"27",27,"achieve","victory",1
"28",28,"achievement","unclear",1
"30",30,"act","officer",1
"31",31,"act","restraint",1
"33",33,"act","whites",1
"34",34,"actual","combat",2
"35",35,"actual","demonstration",1
"36",36,"actual","method",1
"37",37,"adapt","climate",1
"39",39,"admit","negro",1
"40",40,"advancement","feeling",1
"41",41,"advancement","prevent",1
"42",42,"advantage","privilege",1
"43",43,"affect","unclear",1
"44",44,"afford","dissatisfaction",1
"46",46,"agree","mingle",1
"47",47,"argue","equal",1
"49",49,"argue","rights",1
"50",50,"alien","poor",1
"51",51,"alien","race",1
"64",64,"alright","friend",1
"67",67,"ambitious","profit",1
"68",68,"american","black",1
"69",69,"american","person",1
"70",70,"american","rights",1
"71",71,"amount","lost",1
"72",72,"amount","motion",1
"73",73,"amount","negro",1
"74",74,"amount","white",1
"77",77,"answer","question",3
"79",79,"antinegro","organization",1
"80",80,"antinegro","retard",1
"81",81,"apply","education",1
"82",82,"apply","practical",1
"83",83,"approve","officer",1
"84",84,"approve","white",1
"87",87,"argument","fight",1
"88",88,"argument","friction",1
"89",89,"argument","separate",1
"90",90,"argument","trouble",1
"91",91,"army","afford",1
"93",93,"army","camp",1
"94",94,"army","corps",1
"95",95,"army","family",1
"97",97,"army","gut",1
"98",98,"army","instance",1
"99",99,"army","life",2
"100",100,"army","live",1
"102",102,"army","outfit",1
"103",103,"army","separate",1
"104",104,"army","signal",1
"105",105,"army","sit",1
"106",106,"army","stomach",1
"107",107,"army","strict",1
"108",108,"army","subscribe",1
"109",109,"army","war",1
"110",110,"army","white",1
"111",111,"army","force",1
"114",114,"ashamed","truth",1
"115",115,"assault","battery",1
"116",116,"associate","negro",1
"117",117,"associate","negro",2
"118",118,"associate","people",1
"119",119,"associate","white",1
"120",120,"association","emphasize",1
"122",122,"attain","guide",1
"123",123,"attitude","capacity",1
"125",125,"attitude","negro",1
"126",126,"attitude","northern",1
"127",127,"attitude","southern",1
"128",128,"attitude","whites",1
"129",129,"average","negro",1
"130",130,"average","reckless",1
"131",131,"avoid","difference",1
"132",132,"avoid","disorder",1
"133",133,"avoid","jealousy",1
"134",134,"avoid","opinion",1
"135",135,"avoid","riot",1
"136",136,"avoid","separate",1
"137",137,"avoid","trouble",1
"139",139,"background","soldier",1
"140",140,"bad","body",1
"141",141,"bad","bring",1
"142",142,"bad","business",1
"143",143,"bad","condition",1
"144",144,"bad","detrimental",1
"145",145,"bad","opinion",1
"146",146,"bad","feeling",2
"147",147,"bad","feeling",1
"148",148,"bad","foot",1
"151",151,"bad","morale",1
"152",152,"bad","negro",1
"153",153,"bad","odor",1
"154",154,"bad","odor",1
"155",155,"bad","people",1
"156",156,"bad","perspire",1
"157",157,"bad","practice",1
"158",158,"bad","reason",1
"159",159,"bad","soldier",1
"160",160,"bad","stay",1
"161",161,"bad","unclear",1
"162",162,"bad","white",2
"163",163,"barrack","bad",1
"165",165,"barrack","hall",1
"166",166,"barrack","mess",1
"167",167,"barrack","negro",1
"170",170,"basic","training",1
"171",171,"bath","eat",1
"172",172,"bath","sleep",1
"176",176,"battlefront","share",1
"177",177,"bear","natural",1
"178",178,"bear","negro",1
"179",179,"bear","prejudice",1
"180",180,"bear","south",1
"181",181,"bear","teaching",1
"190",190,"behave","act",1
"193",193,"belief","tradition",1
"194",194,"belief","train",1
"216",216,"belong","negro",1
"218",218,"benefit","races",1
"299",299,"bigoted","army",1
"300",300,"bigoted","person",1
"301",301,"bigoted","live",1
"302",302,"bind","brother",1
"304",304,"bitter","soldier",1
"305",305,"bitter","white",1
"306",306,"black","car",1
"307",307,"black","cleaner",1
"308",308,"black","fighting",1
"312",312,"black","mix",1
"313",313,"black","officer",1
"314",314,"black","race",3
"315",315,"black","separate",2
"316",316,"black","soldier",1
"317",317,"black","stripe",1
"319",319,"black","white",6
"321",321,"blacks","prejudice",1
"322",322,"blacks","racial",1
"323",323,"blacks","white",1
"324",324,"blend","negro",1
"325",325,"blend","white",1
"326",326,"blind","whites",1
"327",327,"blood","battlefront",1
"328",328,"body","cleanliness",1
"329",329,"body","light",1
"330",330,"body","mind",1
"331",331,"body","odor",2
"332",332,"bound","arise",1
"333",333,"bound","discord",1
"334",334,"bound","trouble",1
"335",335,"boy","boy",1
"336",336,"boy","damn",1
"337",337,"boy","feel",1
"340",340,"boy","lot",1
"341",341,"boy","mix",1
"342",342,"boy","negro",2
"344",344,"boy","resent",1
"345",345,"boy","smarter",1
"346",346,"boy","south",1
"348",348,"boy","unclear",1
"350",350,"boy","war",1
"352",352,"boys","corps",1
"353",353,"break","custom",1
"354",354,"break","friendship",1
"355",355,"break","mix",1
"356",356,"break","white",1
"357",357,"breed","discontent",1
"359",359,"breed","understanding",1
"361",361,"bring","disharmony",1
"362",362,"bring","friction",1
"363",363,"bring","negro",1
"364",364,"bring","relationship",1
"365",365,"bring","understanding",1
"366",366,"bring","white",1
"367",367,"broadmind","people",1
"368",368,"broadmind","understanding",1
"369",369,"brother","brother",1
"370",370,"brother","common",1
"372",372,"building","morale",1
"373",373,"bully","private",1
"374",374,"bully","white",1
"376",376,"bunch","poor",1
"377",377,"bunch","southerner",1
