"onet","state.region","N","minedu_0","minedu_12","minedu_14","minedu_16","minedu_18","minedu_21","minedu_<NA>","nacips","X2010.SOC.Code","Title","Percent.No.Bachelors","rothwell_STW"
"11-3051.00","Midwest",8024,2240,1377,310,4001,85,10,1,1,"11-3051","Industrial Production Managers",55.26,1
"11-3051.00","Northeast",6024,1795,864,197,3044,86,38,0,0,"11-3051","Industrial Production Managers",55.26,1
"11-3051.00","South",11250,2994,2544,396,5136,159,21,0,0,"11-3051","Industrial Production Managers",55.26,1
"11-3051.00","West",10160,3329,1633,292,4747,126,26,7,4,"11-3051","Industrial Production Managers",55.26,1
"11-3051.01","Midwest",9479,2164,652,390,6121,137,13,2,0,"11-3051","Quality Control Systems Managers",11.93,1
"11-3051.01","South",13708,3182,1171,512,8551,262,27,3,1,"11-3051","Quality Control Systems Managers",11.93,1
"11-3051.01","West",11801,2734,808,423,7576,228,32,0,0,"11-3051","Quality Control Systems Managers",11.93,1
"11-3051.01","Northeast",7486,1716,305,201,5023,214,21,6,0,"11-3051","Quality Control Systems Managers",11.93,1
"11-3051.02","South",2,2,0,0,0,0,0,0,0,"11-3051","Geothermal Production Managers",80.39,1
"11-3051.03","South",2,1,0,0,0,1,0,0,0,"11-3051","Biofuels Production Managers",47.96,1
"11-3051.04","Midwest",5,5,0,0,0,0,0,0,0,"11-3051","Biomass Power Plant Managers",35.38,1
"11-3051.04","South",2,1,0,0,1,0,0,0,0,"11-3051","Biomass Power Plant Managers",35.38,1
"11-3051.05","Northeast",13,9,0,0,4,0,0,0,0,"11-3051",NA,NA,1
"11-3051.05","Midwest",15,9,4,0,2,0,0,0,0,"11-3051",NA,NA,1
"11-3051.05","West",15,5,2,0,8,0,0,0,0,"11-3051",NA,NA,1
"11-3051.05","South",29,6,15,0,8,0,0,0,0,"11-3051",NA,NA,1
"11-3051.06","South",10,5,5,0,0,0,0,0,0,"11-3051","Hydroelectric Production Managers",77.9,1
"11-3051.06","Midwest",6,4,1,0,1,0,0,0,0,"11-3051","Hydroelectric Production Managers",77.9,1
"11-3051.06","West",13,6,3,0,4,0,0,0,0,"11-3051","Hydroelectric Production Managers",77.9,1
"11-9013.01","Midwest",135,73,17,6,39,0,0,0,0,"11-9013","Nursery and Greenhouse Managers",55.32,1
"11-9013.01","West",203,82,20,17,82,2,0,0,0,"11-9013","Nursery and Greenhouse Managers",55.32,1
"11-9013.01","South",250,103,58,8,74,6,1,0,0,"11-9013","Nursery and Greenhouse Managers",55.32,1
"11-9013.01","Northeast",133,63,25,3,41,1,0,0,0,"11-9013","Nursery and Greenhouse Managers",55.32,1
"11-9013.02","Midwest",635,346,83,14,183,5,3,1,0,"11-9013","Farm and Ranch Managers",62.27,1
"11-9013.02","West",926,596,134,18,170,5,3,0,0,"11-9013","Farm and Ranch Managers",62.27,1
"11-9013.02","South",728,420,106,35,160,4,1,2,0,"11-9013","Farm and Ranch Managers",62.27,1
"11-9013.02","Northeast",552,317,96,45,75,19,0,0,0,"11-9013","Farm and Ranch Managers",62.27,1
"11-9013.03","Midwest",202,115,51,11,24,0,1,0,0,"11-9013","Aquacultural Managers",52.63,1
"11-9013.03","West",843,251,344,76,169,3,0,0,0,"11-9013","Aquacultural Managers",52.63,1
"11-9013.03","South",362,75,115,49,117,5,0,1,1,"11-9013","Aquacultural Managers",52.63,1
"11-9013.03","Northeast",189,91,40,6,50,1,1,0,0,"11-9013","Aquacultural Managers",52.63,1
"11-9131.00","Northeast",22,16,6,0,0,0,0,0,0,"11-9131","Postmasters and Mail Superintendents",86.55,1
"11-9131.00","Midwest",51,44,4,0,0,3,0,0,0,"11-9131","Postmasters and Mail Superintendents",86.55,1
"11-9131.00","West",278,100,136,9,26,5,2,0,0,"11-9131","Postmasters and Mail Superintendents",86.55,1
"11-9131.00","South",40,31,3,1,1,3,1,0,0,"11-9131","Postmasters and Mail Superintendents",86.55,1
"13-2081.00","West",6699,2332,1059,114,3078,83,33,0,0,"13-2081","Tax Examiners and Collectors, and Revenue Agents",50.82,1
"13-2081.00","Northeast",4230,1301,465,72,2276,90,26,0,0,"13-2081","Tax Examiners and Collectors, and Revenue Agents",50.82,1
"13-2081.00","Midwest",5071,1415,888,165,2545,38,20,0,0,"13-2081","Tax Examiners and Collectors, and Revenue Agents",50.82,1
"13-2081.00","South",9118,2848,1567,302,4232,131,38,0,0,"13-2081","Tax Examiners and Collectors, and Revenue Agents",50.82,1
"15-1134.00","Northeast",37853,20428,386,327,15971,558,181,2,0,"15-1134","Web Developers",50.01,1
"15-1134.00","South",62629,31880,1454,856,27342,772,316,9,2,"15-1134","Web Developers",50.01,1
"15-1134.00","West",71126,37629,997,490,30234,1318,450,8,3,"15-1134","Web Developers",50.01,1
"15-1134.00","Midwest",29625,15397,727,480,12423,407,191,0,0,"15-1134","Web Developers",50.01,1
"15-1151.00","Northeast",45953,22446,5469,4836,12578,386,199,39,25,"15-1151","Computer User Support Specialists",66.79,1
"15-1151.00","West",80835,41052,13550,7424,17764,548,447,50,37,"15-1151","Computer User Support Specialists",66.79,1
"15-1151.00","South",106382,49541,20220,11159,24293,645,454,70,38,"15-1151","Computer User Support Specialists",66.79,1
"15-1151.00","Midwest",54111,25912,8961,7239,11428,292,251,28,21,"15-1151","Computer User Support Specialists",66.79,1
"17-1021.00","West",136,49,16,11,50,8,2,0,0,"17-1021","Cartographers and Photogrammetrists",57.51,1
"17-1021.00","South",163,66,23,8,59,7,0,0,0,"17-1021","Cartographers and Photogrammetrists",57.51,1
"17-1021.00","Midwest",64,17,10,3,33,1,0,0,0,"17-1021","Cartographers and Photogrammetrists",57.51,1
"17-1021.00","Northeast",31,14,10,1,4,0,2,0,0,"17-1021","Cartographers and Photogrammetrists",57.51,1
"17-3011.01","South",638,403,76,67,91,1,0,0,0,"17-3011","Architectural Drafters",19.58,1
"17-3011.01","Midwest",370,198,19,97,53,3,0,0,0,"17-3011","Architectural Drafters",19.58,1
"17-3011.01","Northeast",329,184,27,62,50,6,0,0,0,"17-3011","Architectural Drafters",19.58,1
