"state","year","per_change","11","13","15","17","19","21","23","25","27","29","31","33","35","37","39","41","43","45","47","49","51","53","55","<NA>"
"Alabama",2010,-70.44,"10.80","5.06","9.03","3.76","0.58","0.88","0.52","1.63","2.59","13.58","2.37","0.92","2.33","1.08","1.57","16.39","9.98","0.06","1.54","5.17","2.37","5.43","0.13","2.24"
"Alabama",2011,-68.62,"11.61","4.77","8.16","4.09","0.58","0.83","0.46","1.62","1.97","11.56","2.12","1.00","2.49","1.41","1.73","15.92","10.44","0.08","1.88","4.58","3.32","6.92","0.08","2.38"
"Alabama",2012,-75.05,"12.01","5.55","8.59","4.86","0.68","0.83","0.55","2.06","2.00","12.97","2.30","0.99","2.46","0.96","1.56","14.94","9.60","0.05","1.24","4.06","3.04","6.05","0.19","2.47"
"Alabama",2013,-62.47,"10.68","4.95","6.52","3.62","0.71","0.91","0.67","2.14","2.51","10.01","2.15","1.06","4.71","1.25","2.64","15.69","10.45","0.08","1.56","3.98","3.26","7.35","0.17","2.93"
"Alabama",2014,-66.98,"9.77","4.10","6.34","3.35","0.65","0.84","0.46","1.56","2.35","9.77","1.94","0.92","5.61","1.40","3.13","17.68","10.30","0.08","1.48","3.97","3.56","7.80","0.21","2.72"
"Alabama",2015,-71.85,"9.55","4.74","7.00","3.33","0.58","0.98","0.36","1.77","1.90","13.86","2.31","1.18","4.60","1.19","2.47","13.75","10.02","0.09","1.06","3.60","2.79","10.30","0.14","2.45"
"Alabama",2016,-64.51,"8.81","4.21","5.43","2.78","0.48","0.75","0.30","1.38","1.82","13.70","2.15","0.91","5.46","1.32","2.28","14.09","9.14","0.07","1.02","3.44","2.68","15.03","0.14","2.59"
"Alabama",2017,-68.41,"8.90","4.41","6.80","3.39","0.51","0.77","0.23","1.50","1.90","17.43","2.43","1.01","4.21","1.36","1.48","12.53","9.26","0.11","1.25","3.72","2.81","11.20","0.18","2.62"
"Alabama",2018,-70.99,"9.15","4.71","7.98","4.22","0.59","0.71","0.27","1.51","1.92","13.60","2.27","1.31","4.51","1.64","1.85","12.82","8.66","0.12","1.67","4.08","3.44","10.12","0.13","2.72"
"Alabama",2019,-65.94,"8.44","5.09","8.12","4.00","0.64","0.86","0.30","1.51","1.83","12.93","2.31","1.33","4.47","1.77","1.63","11.08","8.46","0.13","1.72","4.23","3.43","12.76","0.15","2.81"
"Alaska",2010,-47.72,"10.10","4.53","4.08","3.18","1.86","2.62","0.70","3.62","1.98","19.62","3.07","1.23","3.47","1.89","2.26","8.36","13.39","0.09","2.04","3.87","1.79","3.76","0.11","2.37"
"Alaska",2011,-60.06,"11.51","4.69","4.89","4.55","2.43","1.97","0.63","3.05","1.83","20.34","2.65","1.17","2.39","1.22","1.92","9.55","11.73","0.09","2.06","3.71","1.74","3.31","0.13","2.43"
