FIPS,State,County,ExcessiveDrinking,AlcoholImpairedDrivingDeaths,TotalCrash,crashPer1000PerYear,MeanPopulation_20142018,ExcessiveDrinkingPerCapita,AlcoholImpairedDrivingDeathsPer,sumVolumeSold_2019,sumSales_2019,population_2019,VolumeSoldPerCapita,SalesPerCapita,SalesPerCapita5,ExcessiveDrinking5,AlcoholImpairedDrivingDeathsPer5,AlcIndex3,AlcIndexReg
19001,Iowa,Adair,19.872726905,8,64,.087821612,7128.6,.0027877461079314,.0011222399910221,7809.96,423577.86,7152,1.091996644295302,59.22509228187919,2,3,5,10,-1.9484376
19003,Iowa,Adams,19.921245885,0,24,.063084849,3724.8,.0053482726280606,0,1665.36,100828.12,3602,.4623431426985008,27.99225985563575,1,3,1,5,.018610353
19005,Iowa,Allamakee,19.219939964,6,68,.048589129,13888.4,.0013838843901385,.0004320152069353,18257.25,924917.22,13687,1.333911741068167,67.57632936362972,3,2,5,10,-.68142378
19007,Iowa,Appanoose,18.253561821,6,75,.059524754,12501.4,.0014601214120818,.0004799462460204,19488,1081537.43,12426,1.568324480927088,87.03826090455496,4,1,5,10,-.82678479
19009,Iowa,Audubon,18.667021343,3,36,.062657732,5625.8,.003318109663159,.0005332574922678,3999.66,193445.95,5496,.7277401746724891,35.19758915574964,1,1,5,7,-1.2046996
19011,Iowa,Benton,21.60872243,7,135,.052436552,25631.2,.0008430632366023,.0002731046537033,20567.83,1040455.89,25645,.8020210567362059,40.57149112887502,1,5,4,10,-.099710293
19013,Iowa,Black Hawk,24.206117069,4,1061,.080201736,132825.8,.0001822395729519,.0000301146313442,315024.76,19403931.65,131228,2.400591032401622,147.8642641052214,5,5,1,11,1.6022779
19015,Iowa,Boone,21.4446693,6,155,.058909154,26380.8,.0008128892717431,.0002274381368268,39927.21,2141623.66,26234,1.521964244873065,81.63542197148739,3,5,4,12,.23768643
19017,Iowa,Bremer,21.650084153,1,111,.044986626,24785.4,.0008735015030219,.0000403463329218,42124.02,2159604.87,25062,1.680792434761791,86.17049197988987,4,5,1,10,.67007548
19019,Iowa,Buchanan,21.28346059,2,96,.045578202,21109.4,.0010082456436469,.0000947445213981,23660.04,1247592.36,21175,1.117357260920897,58.91817520661157,2,5,2,9,.30822957
19021,Iowa,Buena Vista,18.596794979,3,126,.062138757,20255,.0009181335462355,.0001481115773883,35088.02,2006063.33,19620,1.788380224260958,102.2458374108053,4,1,3,8,-.014986401
19023,Iowa,Butler,20.835718649,4,32,.021632438,14731.8,.0014143362419392,.0002715214705603,8227.379999999999,390599.62,14439,.5698026179098274,27.05170856707528,1,4,4,9,-.33747801
19025,Iowa,Calhoun,19.54371962,6,49,.04969574,9779.4,.0019984579442502,.0006135345726732,7875.63,367469.28,9668,.8146079851055027,38.00882085229624,1,2,5,8,-1.172423
19027,Iowa,Carroll,20.637542552,6,87,.04248441,20347.4,.001014259441108,.0002948779696669,49389.68,2767355.66,20165,2.449277460947186,137.2355893875527,5,3,4,12,.33207175
19029,Iowa,Cass,18.261944335,5,118,.088181445,13202.8,.001383187228088,.000378707546884,26732.7,1458250.17,12836,2.082634777189155,113.6062768775319,5,1,5,11,-.44779786
19031,Iowa,Cedar,22.355551935,6,140,.076132885,18386.4,.0012158743383697,.0003263281555933,13616.75,710658.37,18627,.7310221721157459,38.15205722875396,1,5,4,10,-.075774133
19033,Iowa,Cerro Gordo,21.650546609,13,348,.080430627,42985.2,.000503674441645,.000302429673469,124886.86,7032809.81,42450,2.941975500588928,165.6727870435807,5,5,4,14,.70630491
19035,Iowa,Cherokee,18.798518714,3,87,.074694782,11456,.0016409321503142,.0002618715083799,14441.61,766141.62,11235,1.285412550066756,68.19240053404539,3,1,4,8,-.4289867
19037,Iowa,Chickasaw,20.668435951,3,50,.041064389,12090.2,.0017095197722949,.0002481348530215,11365.96,534223.03,11933,.9524813542277717,44.76854353473561,2,4,4,10,-.20331664
19039,Iowa,Clarke,19.729021106,1,57,.061146333,9320.200000000001,.0021168023332117,.0001072938348962,14028.01,760910.21,9395,1.4931357104843,80.99097498669505,3,2,2,7,.13621566
19041,Iowa,Clay,20.514520735,1,109,.066565699,16304.8,.0012581890446372,.0000613316324027,35161.82,1827225.32,16016,2.195418331668332,114.087495004995,5,3,1,9,.6021179
19043,Iowa,Clayton,20.388365035,6,127,.071457508,17668.6,.0011539321188436,.0003395854793249,13783.48,713446.75,17549,.785428229528748,40.65455296598097,1,3,5,9,-.46213686
19045,Iowa,Clinton,20.299255627,6,420,.087935832,47202.4,.0004300471083462,.0001271121807366,81174.02,4486554.44,46429,1.748347369101208,96.63258825303151,4,3,2,9,.31425855
19047,Iowa,Crawford,18.302132761,1,89,.051930169,17103.6,.0010700748825393,.0000584672232746,29784.04,1697353.64,16820,1.770751486325803,100.912820451843,4,1,1,6,.092742771
19049,Iowa,Dallas,23.455442679,11,327,.041035964,83955.8,.0002793784667527,.0001310213231248,130209.73,7472501.25,93453,1.393317817512546,79.95999325864338,3,5,2,10,.79895371
19051,Iowa,Davis,19.343506043,1,26,.029418088,8871.6,.0021803852792056,.0001127192389197,2720.15,132173.41,9000,.3022388888888889,14.68593444444445,1,2,2,5,-.40132993
19053,Iowa,Decatur,18.932392507,2,31,.03816418,8047.2,.0023526683202853,.0002485336514564,3189.99,181934.46,7870,.4053354510800508,23.11746632782719,1,1,4,6,-.6854319
19055,Iowa,Delaware,21.982018655,0,119,.068490391,17260,.001273581613847,0,22180.89,1174001.54,17011,1.303914525895009,69.01425783316678,3,5,1,9,.69466645
19057,Iowa,Des Moines,19.491552441,6,410,.103026465,39611.6,.0004920667794535,.0001514707812863,65148.03,3903616.8,38967,1.671876972823158,100.1775040418816,4,2,3,9,.13622808
19059,Iowa,Dickinson,19.627872381,2,119,.070080386,17043,.0011516676864989,.0001173502317667,83812.16,4714189.31,17258,4.856423687565187,273.1596540734731,5,2,2,9,1.4102665
19061,Iowa,Dubuque,23.997575682,9,937,.097500674,96816.39999999999,.0002478668457204,.000092959457282,179549.23,10328001.86,97311,1.845107233509059,106.1339608060754,5,5,2,12,1.1555352
19063,Iowa,Emmet,19.106311881,1,77,.079218107,9560.6,.0019984427631111,.0001045959458611,14244.06,728385.8100000001,9208,1.546922241529105,79.10358492615119,3,2,2,7,.0089443224
19065,Iowa,Fayette,20.649709457,3,110,.05433843,19931.2,.0010360494830718,.0001505177811672,25477.54,1243579.57,19650,1.296566921119593,63.28649211195929,2,4,3,9,.10845774
19067,Iowa,Floyd,19.000282914,3,56,.03512271,15857,.001198226834458,.0001891908936117,24421.85,1302956.35,15642,1.561299705919959,83.29857754762818,4,2,3,9,-.14641815
19069,Iowa,Franklin,18.704590572,1,59,.056917393,10234.8,.0018275482248798,.0000977058662602,11178.62,576319.27,10070,1.110091360476663,57.23130784508441,2,1,2,5,-.20431489
19071,Iowa,Fremont,18.828306572,5,72,.101730837,6960,.0027052164614943,.0007183908045977,984.46,50339.1,6960,.1414454022988506,7.232629310344827,1,1,5,7,-1.7229499
19073,Iowa,Greene,19.598322719,3,63,.069299307,8997.6,.002178172259158,.0003334222459322,11371.53,601867.64,8888,1.279425067506751,67.71688118811882,3,2,5,10,-.41705161
19075,Iowa,Grundy,21.050153727,1,57,.046115759,12330.2,.0017072029429369,.000081101685293,7068.64,313909.02,12232,.5778809679529104,25.66293492478744,1,4,1,6,.062609076
19077,Iowa,Guthrie,20.661485878,2,66,.061532724,10668.4,.0019366995873796,.0001874695362004,8047.68,409655.55,10689,.7528936289643559,38.3249649172046,1,4,3,8,-.13131031
19079,Iowa,Hamilton,19.628467616,3,115,.07567532,15085.6,.0013011393392374,.0001988651429177,18223.57,984110.54,14773,1.233572734041833,66.6154836526095,3,2,3,8,-.15846895
19081,Iowa,Hancock,20.529738229,3,56,.050934095,10884.2,.0018861963423127,.0002756288932581,10359.86,503806.75,10630,.9745870178739418,47.39480244590781,2,3,4,9,-.26520219
19083,Iowa,Hardin,19.378256258,4,94,.054555374,17158.2,.0011293874799221,.0002331246867387,38594.34,1984641.52,16846,2.291009141635997,117.8108464917488,5,2,4,11,.076973043
19085,Iowa,Harrison,20.466768688,3,148,.103340409,14132.4,.0014482160629476,.0002122781693131,11824.1,650417.7,14049,.8416328564310628,46.29636984838778,2,3,3,8,-.16224051
19087,Iowa,Henry,19.902831418,4,127,.063530812,19917.4,.0009992685500115,.0002008294255274,24943.55,1411581.8,19954,1.250052621028365,70.74179613110154,3,3,3,9,-.081383832
19089,Iowa,Howard,19.751478997,0,44,.047017086,9264.799999999999,.0021318840122831,0,17446.08,859965.48,9158,1.905009827473248,93.90319720462983,4,2,1,7,.43632135
19091,Iowa,Humboldt,20.472374493,4,61,.063289826,9570,.002139224084953,.0004179728317659,16605.29,878083.8199999999,9558,1.737318476668759,91.86899142079932,4,3,5,12,-.24774601
19093,Iowa,Ida,19.871761425,1,38,.054515458,6923,.0028703974324715,.0001444460494005,11879.29,643884.3100000001,6860,1.731674927113703,93.8606865889213,4,3,2,9,.17968249
19095,Iowa,Iowa,20.528300645,6,109,.067125667,16215.8,.0012659443656804,.0003700094969104,23435.03,1231150.14,16184,1.448036950074147,76.07205511616411,3,3,5,11,-.25214136
19097,Iowa,Jackson,20.333521772,5,107,.054814451,19399.8,.001048130484438,.0002577346158208,21052.64,1063323.32,19439,1.083010442924019,54.70051545861413,2,3,4,9,-.21835418
19099,Iowa,Jasper,20.776908998,3,227,.061604931,36911.2,.0005628890146622,.0000812761438263,36944.61,2002128.48,37185,.9935352964905204,53.84236869705526,2,4,1,7,.20232017
19101,Iowa,Jefferson,18.577414588,1,102,.057506258,18047.4,.0010293679193679,.0000554096434944,19502.67,1211265.48,18295,1.06601093194862,66.20745996173818,3,1,1,5,-.085585669
19103,Iowa,Johnson,24.579921071,14,909,.063642448,146895,.0001673298687566,.0000953061710746,319333.08,19972089.95,151140,2.112829694323144,132.1429796877068,5,5,2,12,1.4405373
19105,Iowa,Jones,22.06571576,3,124,.060224287,20532.8,.0010746569274527,.0001461076911089,28025.52,1429268.47,20681,1.355133697596828,69.11022049223925,3,5,2,10,.42873251
19107,Iowa,Keokuk,20.663720725,1,51,.049565572,10195.6,.0020267292484013,.0000980815253639,4443.77,213767.84,10246,.4337077884052313,20.86354089400742,1,4,2,7,-.077248193
19109,Iowa,Kossuth,19.662608815,1,56,.036892833,15061.6,.0013054794188532,.0000663940086047,33602.56,1802222.65,14813,2.268450685208938,121.6649328292716,5,2,1,8,.48047882
19111,Iowa,Lee,21.066922919,8,295,.084675706,34507.2,.0006105080365547,.0002318356748736,68662.78999999999,4041773.93,33657,2.040074575868319,120.0871714650741,5,4,4,13,.41933954
19113,Iowa,Linn,21.259865946,13,1624,.073975514,222146,.0000957022226194,.0000585200723848,512211.18,29924779.21,226706,2.259363139925719,131.9981791836123,5,4,1,10,.87307525
19115,Iowa,Louisa,19.978706811,5,61,.054169257,11220.8,.0017805064532832,.0004456010266648,4243.82,240603.25,11035,.3845781603987313,21.80364748527413,1,3,5,9,-.87470835
19117,Iowa,Lucas,20.243491302,2,27,.031104557,8590.200000000001,.0023565797422644,.0002328234499779,9451.26,520995.1,8600,1.098983720930233,60.58082558139535,2,3,4,9,-.14727591
19119,Iowa,Lyon,20.798133873,0,66,.056267903,11766,.0017676469380418,0,15036.93,789994.3199999999,11755,1.279194385367929,67.20496129306677,3,4,1,8,.4549315
19121,Iowa,Madison,22.021915134,5,68,.042962111,15867.6,.0013878541892914,.000315107514684,18278.44,1000228.78,16338,1.118768515118129,61.22100501897418,2,5,4,11,.039467722
19123,Iowa,Mahaska,19.773596125,4,109,.048898001,22218,.0008899809220002,.0001800342064992,25870.5,1454689.43,22095,1.170875763747454,65.83794659425209,3,2,3,8,-.099477381
19125,Iowa,Marion,20.607727534,5,175,.052725136,33174.8,.0006211861875279,.0001507168091443,45293.91,2584483.99,33253,1.362099960905783,77.72182930863382,3,3,3,9,.19863471
19127,Iowa,Marshall,19.681414006,10,344,.08508407,40235,.0004891615261837,.0002485398285075,61070.49,3779241.14,39369,1.551232949782824,95.99535522873327,4,2,4,10,-.043673482
19129,Iowa,Mills,21.150946163,7,171,.114140774,14964.6,.0014133986984617,.0004677706052952,10913.37,591507.13,15109,.7223092196703952,39.14932358197101,1,4,5,10,-.57395238
19131,Iowa,Mitchell,20.676002127,2,53,.049705984,10630.8,.0019449149760131,.0001881325958536,9636.110000000001,469629.3,10586,.9102692235027395,44.36324390704704,2,4,3,9,-.088550478
19133,Iowa,Monona,18.25165338,8,80,.089728347,8786.799999999999,.0020771672713616,.0009104565939819,9815.299999999999,531661.3199999999,8615,1.139326755658735,61.7134439930354,2,1,5,8,-1.8330531
19135,Iowa,Monroe,19.643221782,3,42,.053097345,7856.8,.002500155506313,.0003818348437023,7361.23,403884.14,7707,.9551355910211495,52.40484494615285,2,2,5,9,-.60670358
19137,Iowa,Montgomery,18.558738885,1,45,.043726254,10146,.0018291680351863,.0000985610092647,14280.39,774077.9300000001,9917,1.439990924674801,78.05565493596855,3,1,2,6,-.091705263
19139,Iowa,Muscatine,21.985456502,3,312,.072719645,42962,.0005117419231414,.000069829151343,68221.42999999999,3973518.26,42664,1.5990397056066,93.13515516594786,4,5,1,10,.72503173
19141,Iowa,O'Brien,21.000302087,1,56,.039986861,13893.2,.001511552564348,.0000719776581349,29027.35,1472322.95,13753,2.110619501199738,107.0546753435614,5,4,1,10,.62677002
19143,Iowa,Osceola,18.774890429,3,32,.051857134,6107,.0030743229783855,.0004912395611593,5466.87,299931.75,5958,.9175679758308157,50.34101208459214,2,1,5,8,-.9992308
19145,Iowa,Page,19.221080663,1,69,.044556373,15343.2,.0012527426262449,.0000651754523176,26979.94,1505291.34,15107,1.78592308201496,99.6419765671543,4,2,1,7,.24757268
19147,Iowa,Palo Alto,19.866105774,2,59,.064600898,9049.799999999999,.0021951983219519,.0002209993591019,15753.21,809641.85,8886,1.772812288993923,91.11432027909071,4,2,3,9,.011730327
19149,Iowa,Plymouth,21.270834827,4,125,.05003903,25014.8,.0008503299977213,.0001599053360411,32661.76,1816594.05,25177,1.297285617825793,72.15291933113556,3,4,3,10,.27016494
19151,Iowa,Pocahontas,18.627024621,4,25,.035800206,6893,.0027023102598288,.0005802988539098,7979.77,363050.13,6619,1.205585435866445,54.84969481794833,2,1,5,8,-1.169122
19153,Iowa,Polk,20.864766228,36,3955,.085469587,473759.8,.0000440408118798,.0000759878740239,1265978.72,82838080.76000001,490161,2.582781412637889,169.0017785176707,5,4,1,10,1.0162154
19155,Iowa,Pottawattamie,21.573466301,13,988,.105911195,93403.8,.0002309698995223,.0001391806329079,205749.99,12552831.26,93206,2.207475806278566,134.6783604059824,5,5,2,12,.79556769
19157,Iowa,Poweshiek,20.695801717,3,123,.066234081,18409.2,.0011242097275819,.0001629619972622,30288.06,1730967.78,18504,1.636838521400778,93.54559987029832,4,4,3,11,.29997107
19159,Iowa,Ringgold,19.053888302,1,23,.046054344,4977.4,.0038280805846426,.0002009081046329,2964.04,151632.55,4894,.6056477319166326,30.9833571720474,1,2,3,6,-.51621878
19161,Iowa,Sac,21.072369091,3,45,.045078436,9867.6,.0021355110757428,.0003040252949045,13025.61,654445.86,9721,1.3399454788602,67.32289476391318,3,4,4,11,-.079770111
19163,Iowa,Scott,20.916393541,26,1602,.094014581,172119.8,.0001215222974986,.0001510575773386,406558.66,25075875.58,172943,2.350824606951423,144.9950306170241,5,4,3,12,.71688014
19165,Iowa,Shelby,18.910061504,1,56,.047458431,11691,.0016174887951416,.0000855358823026,17405.71,995098.72,11454,1.519618473895582,86.877834817531,4,1,1,6,.061242335
19167,Iowa,Sioux,22.886159794,3,155,.044885123,34783.2,.0006579659086571,.0000862485337749,39198.68,2122836.16,34855,1.124621431645388,60.90478152345432,2,5,2,9,.64604878
19169,Iowa,Story,23.165712268,4,471,.049726714,96678,.0002396172062724,.0000413744595461,177005.94,10144502.25,97117,1.822605105182409,104.4565034957834,5,5,1,11,1.0841072
19171,Iowa,Tama,20.119226906,6,126,.072944527,17123.2,.001174968867151,.0003504017940572,17297.64,915999.3199999999,16854,1.026322534709861,54.3490755903643,2,3,5,10,-.44118875
19173,Iowa,Taylor,18.832150599,2,23,.037019749,6177.8,.0030483587359578,.0003237398426624,2497.83,136197.37,6121,.4080754778630942,22.25083646462996,1,1,4,6,-.85610116
19175,Iowa,Union,19.976115077,2,53,.042506777,12434.8,.0016064685460964,.0001608389358896,21725.23,1234452.69,12241,1.774792092149334,100.8457389102198,4,3,3,10,.21573339
19177,Iowa,Van Buren,19.936728911,0,45,.061549404,7219,.0027617023010112,0,3639.91,202704.16,7044,.5167390687109596,28.77685406019307,1,3,1,5,.026944473
19179,Iowa,Wapello,18.843393827,4,306,.086627882,35232,.0005348374723831,.0001135331516803,55232.49,3308215.53,34969,1.579470102090423,94.60423603763333,4,1,2,7,.047062229
19181,Iowa,Warren,22.283064525,13,258,.053146893,49348.6,.0004515440058077,.0002634319919917,54089.54,3117101.64,51466,1.050976178447907,60.56623090972681,2,5,4,11,.18512276
19183,Iowa,Washington,19.659636949,4,111,.050481163,22112.4,.0008890774836291,.0001808939780395,32001.55,1938920.61,21965,1.456933758251764,88.27318961984976,4,2,3,9,.030254416
19185,Iowa,Wayne,18.395806772,3,39,.060947023,6415.8,.0028672662445837,.000467595623305,2741.51,145742.11,6441,.4256342182890856,22.62724887439838,1,1,5,7,-1.2156399
19187,Iowa,Webster,20.116949912,9,347,.093766044,36778.4,.0005469772995019,.0002447088508472,69058.25999999999,3901974.83,35904,1.923414104278075,108.6779977161319,5,3,4,12,.134036
19189,Iowa,Winnebago,20.867527064,1,41,.038751997,10574.6,.0019733632538347,.0000945662247272,17193.62,862456.45,10354,1.660577554568283,83.29693355225034,4,4,2,10,.39525178
19191,Iowa,Winneshiek,23.842599454,4,136,.066015251,20402.8,.0011685944798753,.0001960515223401,26120.26,1433063.38,19991,1.306600970436697,71.68542744234905,3,5,3,11,.6909672
19193,Iowa,Woodbury,18.774198587,10,1106,.107909071,102423.4,.0001832998961858,.0000976339391194,203685.25,12487742.06,103107,1.975474507065476,121.1143963067493,5,1,2,8,.24565428
19195,Iowa,Worth,20.767219081,1,27,.036043733,7479.8,.0027764404236744,.0001336934142624,6471.92,317310.62,7381,.8768351171927923,42.99019374068554,1,4,2,7,.024907071
19197,Iowa,Wright,18.450133709,2,69,.053561448,12808.2,.001440493879624,.0001561499664278,16177.16,792071.72,12562,1.287785384492915,63.05299474605954,2,1,3,6,-.32647792
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
