UnitID,Institution Name,SECTOR (HD2019)
459523,ABC Beauty Academy,9
485500,ABCO Technology,9
461892,Abcott Institute,9
488031,Abraham Lincoln University,3
421896,Academia Serrant Inc,9
172866,Academy College,3
449463,Academy Di Capelli-School of Cosmetology,9
476957,Academy di Firenze,9
462062,Academy for Salon Professionals,9
108232,Academy of Art University,3
451097,Academy of Career Training,9
372462,Academy of Cosmetology,9
449852,Academy of Cosmetology,6
179991,Academy of Cosmetology,9
488165,Academy of Cosmetology and Esthetics,9
457855,Academy of Cosmetology and Esthetics NYC,9
454722,Academy of Esthetics and Cosmetology,9
434283,Academy of Hair Design-Beaumont,9
175722,Academy of Hair Design-Grenada,9
374316,Academy of Hair Design-Jackson,9
447449,Academy of Hair Design-Jasper,9
181880,Academy of Hair Design-Las Vegas,9
434274,Academy of Hair Design-Lufkin,9
455929,Academy of Hair Design-Oklahoma City,9
382461,Academy of Hair Design-Pearl,9
451334,Academy of Hair Design-Springfield,9
376446,Academy of Hair Technology,9
451051,Academy of Massage and Bodywork,9
449454,Academy of Natural Therapy Inc,9
486619,Academy of Professional Cosmetology,9
107293,Academy of Salon and Spa,9
480879,Academy of Salon Professionals,9
461342,Acaydia School of Aesthetics,9
483708,Access Careers,9
494904,Access Careers-Islandia,9
480736,Ace Cosmetology and Barber Training Center,9
449676,Ace Institute of Technology,6
439969,Acupuncture and Massage College,3
262369,Adrian's College of Beauty Turlock,9
400187,Advance Beauty College,9
479974,Advance Beauty Techs Academy,9
444334,Advance Science International College,6
437608,Advanced Barber College and Hair Design,9
458052,Advanced Beauty College,9
480019,Advanced Career Institute,9
444343,Advanced College,6
461786,Advanced College of Cosmetology,9
491163,Advanced College-Stockton,6
231411,Advanced Technology Institute,6
444361,Advanced Training Associates,6
461430,Advanced Training Institute,9
456001,Advanced Welding Institute,9
490896,Advantage Career Institute,9
493071,Advantage Technical College,9
423397,Advantage Technical College,9
476878,Aesthetic Science Institute,9
134811,AI Miami International University of Art and Design,3
457998,Aiken School of Cosmetology and Barbering,9
488916,Alabama School of Nail Technology & Cosmetology,9
371034,Alabama State College of Barber Styling,9
482981,Alamo City Barber College,9
103501,Alaska Career College,6
476735,Alexander Academy,9
483425,Alexander Paul Institute of Hair Design,9
368036,Alexandria School of Scientific Therapeutics,9
393524,Alhambra Beauty College,9
487995,Alhambra Medical University,3
486868,All Beauty College,9
485306,All Beauty College,9
459125,All Beauty College,9
210599,All-State Career School,6
474997,All-State Career School-Health Sciences,6
418658,All-State Career School-Pittsburgh,9
373784,All-State Career-Baltimore,9
188650,Allen School-Brooklyn,9
415987,Allen School-Jamaica,9
469610,Allen School-Phoenix,9
490522,Allgood Beauty Institute,9
483850,Alliance Computing Solutions,9
110468,Alliant International University-San Diego,3
490151,Allied Health Careers Institute,9
461111,Allstate Hairstyling & Barber College,6
210748,Altoona Beauty School Inc,9
476771,Ambiance Beauty & Barber Academy Inc,9
457527,Ambria College of Nursing,3
446002,American Academy of Acupuncture and Oriental Medicine,3
457396,American Academy of Cosmetology,9
461290,American Academy of Health and Beauty,9
444370,American Advanced Technicians Institute,9
490258,American Barber Academy,9
