UnitID,Institution Name,HBCU (HD2019)
100654,Alabama A & M University,1
100724,Alabama State University,1
138716,Albany State University,1
175342,Alcorn State University,1
217624,Allen University,1
219505,American Baptist College,1
106306,Arkansas Baptist College,1
217721,Benedict College,1
197993,Bennett College,1
132602,Bethune-Cookman University,1
102030,Bishop State Community College,1
237215,Bluefield State College,1
162007,Bowie State University,1
201690,Central State University,1
211608,Cheyney University of Pennsylvania,1
217873,Claflin University,1
138947,Clark Atlanta University,1
217891,Clinton College,1
175519,Coahoma Community College,1
162283,Coppin State University,1
130934,Delaware State University,1
217989,Denmark Technical College,1
158802,Dillard University,1
133526,Edward Waters College,1
198507,Elizabeth City State University,1
198543,Fayetteville State University,1
220181,Fisk University,1
133650,Florida Agricultural and Mechanical University,1
133979,Florida Memorial University,1
139719,Fort Valley State University,1
101240,Gadsden State Community College,1
159009,Grambling State University,1
102313,H Councill Trenholm State Community College,1
232265,Hampton University,1
177551,Harris-Stowe State University,1
131520,Howard University,1
225575,Huston-Tillotson University,1
140146,Interdenominational Theological Center,1
101462,J. F. Drake State Community and Technical College,1
175856,Jackson State University,1
225885,Jarvis Christian College,1
198756,Johnson C Smith University,1
157058,Kentucky State University,1
220598,Lane College,1
207209,Langston University,1
101569,Lawson State Community College,1
220604,Le Moyne-Owen College,1
177940,Lincoln University,1
213598,Lincoln University,1
198862,Livingstone College,1
220792,Meharry Medical College,1
101675,Miles College,1
176044,Mississippi Valley State University,1
140553,Morehouse College,1
140562,Morehouse School of Medicine,1
163453,Morgan State University,1
218399,Morris College,1
232937,Norfolk State University,1
199102,North Carolina A & T State University,1
199157,North Carolina Central University,1
101912,Oakwood University,1
140720,Paine College,1
227429,Paul Quinn College,1
107600,Philander Smith College,1
227526,Prairie View A & M University,1
176318,Rust College,1
199582,Saint Augustine's University,1
140960,Savannah State University,1
102058,Selma University,1
199643,Shaw University,1
102067,Shelton State Community College,1
107840,Shorter College,1
461759,Simmons College of Kentucky,1
218733,South Carolina State University,1
160621,Southern University and A & M College,1
160630,Southern University at New Orleans,1
160649,Southern University at Shreveport,1
228486,Southwestern Christian College,1
141060,Spelman College,1
227854,St Philip's College,1
102270,Stillman College,1
102298,Talladega College,1
221838,Tennessee State University,1
228884,Texas College,1
229063,Texas Southern University,1
176406,Tougaloo College,1
102377,Tuskegee University,1
106412,University of Arkansas at Pine Bluff,1
163338,University of Maryland Eastern Shore,1
131399,University of the District of Columbia,1
243665,University of the Virgin Islands,1
234155,Virginia State University,1
234164,Virginia Union University,1
234137,Virginia University of Lynchburg,1
218919,Voorhees College,1
237899,West Virginia State University,1
206491,Wilberforce University,1
229887,Wiley College,1
199999,Winston-Salem State University,1
160904,Xavier University of Louisiana,1
