"","x"
"1",42373728
"2",220706077
"3",35998327
"4",214514557
"5",221687169
"6",209535208
"7",21575694
"8",135078353
"9",216396267
"10",210041086
"11",8737355
"12",206796788
"13",212937919
"14",172674365
"15",83360674
"16",216059226
"17",3332010
"18",2283342
"19",207839838
"20",489864
"21",215887496
"22",36945475
"23",24355067
"24",212741372
"25",209961130
"26",178121
"27",7693581
"28",15349680
"29",16526464
"30",31169081
"31",85084533
"32",193673725
"33",210454237
"34",33224791
"35",197872047
"36",212138579
"37",16816026
"38",193742594
"39",194676471
"40",34217677
"41",37059558
"42",6672117
"43",67564555
"44",221726480
"45",16304664
"46",9105281
"47",210519663
"48",85091784
"49",207881468
"50",674125
"51",209117737
"52",220110553
"53",78137973
"54",5690792
"55",3246561
"56",196924019
"57",65435093
"58",89111165
"59",199642572
"60",141829495
"61",22502025
"62",65088276
"63",105169949
"64",30288642
"65",33864290
"66",19811384
"67",6624972
"68",7522748
"69",2231283
"70",31382849
"71",209391174
"72",218436385
"73",67589465
"74",16273472
"75",18527641
"76",57391407
"77",30882672
"78",4961235
"79",65113049
"80",66949072
"81",18002685
"82",19712028
"83",88697722
"84",15855892
"85",141196698
"86",88759688
"87",23305822
"88",16595883
"89",53918899
"90",4793657
"91",210428827
"92",149519455
"93",208032460
"94",19907133
"95",57528119
"96",195801487
"97",212157398
"98",67331257
"99",141538878
"100",196577815
"101",9867171
"102",88739321
"103",133425523
"104",66893203
"105",83189083
"106",8760727
"107",17081457
"108",8021397
"109",1923407
"110",4796897
"111",703020
"112",34785438
"113",44372488
"114",67066955
"115",42116915
"116",19996576
"117",18219390
"118",16056014
"119",36299444
"120",140966003
"121",81945654
"122",30158496
"123",54578893
"124",8508327
"125",30464054
"126",52260400
"127",4955422
"128",32374840
"129",8081144
"130",23483328
"131",207537621
"132",401348
"133",8046464
"134",30718167
"135",19135337
"136",57439582
"137",192428504
"138",19469377
"139",136957461
"140",17644069
"141",1665749
"142",31138681
"143",45461654
"144",8758673
"145",54026972
"146",31743719
"147",57298094
"148",192778009
"149",459006
"150",195114257
"151",144588865
"152",144490401
"153",214980630
"154",16087948
"155",6413408
"156",65285915
"157",50480959
"158",45610
"159",216705903
"160",1633882
"161",5415207
"162",8664189
"163",64344286
"164",222374759
"165",20235261
"166",193861230
"167",214250211
"168",7833269
"169",57414150
"170",31967439
"171",215449761
"172",57479805
"173",21169179
"174",140893842
"175",193278398
"176",222253681
"177",34618066
"178",67571384
"179",2389783
"180",36783681
"181",101490534
"182",30465531
"183",20039204
"184",10101880
"185",221197567
"186",97447098
"187",32737165
"188",18866576
"189",2170904
"190",1874729
"191",20528173
"192",8004003
"193",47981216
"194",7477969
"195",32872725
"196",15432354
"197",218713666
"198",2783391
"199",5588745
"200",17589142
"201",8403666
"202",222447714
"203",83004915
"204",8763684
"205",218875306
"206",54084034
"207",218870519
"208",2229666
"209",5521583
"210",23113510
"211",33017562
"212",1510588
"213",220585682
"214",9103671
"215",19225690
"216",196510503
"217",18627983
"218",36308587
"219",16718809
"220",4990988
"221",7254412
"222",82008362
"223",30430094
"224",83061201
"225",19543600
"226",4623397
"227",199548651
"228",42351816
"229",212943356
"230",212055901
"231",36097133
