Year,GEO.id,GEO.display_label,County,State,State_Abbr,Households,Poverty_Household,ALICE_Household,Above_ALICE_Household,ALICE_Threshold_HH_under_65,ALICE_Threshold_HH_65_and_over,Source_American_Community_Survey,Percent_ALICE_Households,Percent_Poverty_Households
2010,41005,"Clackamas County, Oregon",Clackamas,Oregon,OR,143814,13140,39310,91364,45000,40000,1-Year,27.33,9.14
2012,41005,"Clackamas County, Oregon",Clackamas,Oregon,OR,146422,12852,41715,91855,50000,45000,1-Year,28.49,8.78
2014,41005,"Clackamas County, Oregon",Clackamas,Oregon,OR,149910,12934,50163,86813,60000,45000,1-Year,33.46,8.63
2016,41005,"Clackamas County, Oregon",Clackamas,Oregon,OR,154070,12431,46302,95337,60000,50000,1-Year,30.05,8.07
2018,41005,"Clackamas County, Oregon",Clackamas,Oregon,OR,158749,11399,57158,90192,75000,60000,1-Year,36.01,7.18
2010,41017,"Deschutes County, Oregon",Deschutes,Oregon,OR,64120,8298,19579,36243,40000,35000,1-Year,30.53,12.94
2012,41017,"Deschutes County, Oregon",Deschutes,Oregon,OR,66086,10174,16786,39126,40000,35000,1-Year,25.4,15.4
2014,41017,"Deschutes County, Oregon",Deschutes,Oregon,OR,66218,7593,20607,38018,45000,40000,1-Year,31.12,11.47
2016,41017,"Deschutes County, Oregon",Deschutes,Oregon,OR,71262,7936,15533,47793,45000,40000,1-Year,21.8,11.14
2018,41017,"Deschutes County, Oregon",Deschutes,Oregon,OR,79950,7998,19653,52299,50000,45000,1-Year,24.58,10
2010,41027,"Hood River County, Oregon",Hood River,Oregon,OR,8097,736,2040,5321,40000,35000,3-Year,25.19,9.09
2012,41027,"Hood River County, Oregon",Hood River,Oregon,OR,7802,655,1786,5361,45000,30000,3-Year,22.89,8.4
2014,41027,"Hood River County, Oregon",Hood River,Oregon,OR,8251,830,2330,5091,50000,40000,5-Year,28.24,10.06
2016,41027,"Hood River County, Oregon",Hood River,Oregon,OR,8213,767,2487,4959,50000,40000,5-Year,30.28,9.34
2018,41027,"Hood River County, Oregon",Hood River,Oregon,OR,8539,633,3248,4658,60000,50000,5-Year,38.04,7.41
2010,41031,"Jefferson County, Oregon",Jefferson,Oregon,OR,7897,1124,2545,4228,40000,35000,3-Year,32.23,14.23
2012,41031,"Jefferson County, Oregon",Jefferson,Oregon,OR,8032,1236,2040,4756,40000,35000,3-Year,25.4,15.39
2014,41031,"Jefferson County, Oregon",Jefferson,Oregon,OR,7800,1351,2177,4272,45000,35000,5-Year,27.91,17.32
2016,41031,"Jefferson County, Oregon",Jefferson,Oregon,OR,7577,1101,2708,3768,50000,40000,5-Year,35.74,14.53
2018,41031,"Jefferson County, Oregon",Jefferson,Oregon,OR,7892,1187,2968,3737,60000,40000,5-Year,37.61,15.04
2010,41039,"Lane County, Oregon",Lane,Oregon,OR,144923,25912,38280,80731,35000,35000,1-Year,26.41,17.88
2012,41039,"Lane County, Oregon",Lane,Oregon,OR,146327,29614,40265,76448,40000,35000,1-Year,27.52,20.24
2014,41039,"Lane County, Oregon",Lane,Oregon,OR,145732,26192,37297,82243,40000,35000,1-Year,25.59,17.97
2016,41039,"Lane County, Oregon",Lane,Oregon,OR,147712,26904,41449,79359,45000,40000,1-Year,28.06,18.21
2018,41039,"Lane County, Oregon",Lane,Oregon,OR,156072,26593,44053,85426,50000,45000,1-Year,28.23,17.04
2010,41047,"Marion County, Oregon",Marion,Oregon,OR,114347,17868,31108,65371,40000,35000,1-Year,27.2,15.63
2012,41047,"Marion County, Oregon",Marion,Oregon,OR,114388,21066,31875,61447,45000,35000,1-Year,27.87,18.42
2014,41047,"Marion County, Oregon",Marion,Oregon,OR,114484,17060,37969,59455,50000,35000,1-Year,33.17,14.9
2016,41047,"Marion County, Oregon",Marion,Oregon,OR,116787,12362,37048,67377,50000,40000,1-Year,31.72,10.59
2018,41047,"Marion County, Oregon",Marion,Oregon,OR,119511,15532,41615,62364,60000,40000,1-Year,34.82,13
2010,41051,"Multnomah County, Oregon",Multnomah,Oregon,OR,302060,49913,77536,174611,40000,40000,1-Year,25.67,16.52
2012,41051,"Multnomah County, Oregon",Multnomah,Oregon,OR,305576,49143,86475,169958,45000,45000,1-Year,28.3,16.08
2014,41051,"Multnomah County, Oregon",Multnomah,Oregon,OR,313812,53944,90979,168889,50000,45000,1-Year,28.99,17.19
2016,41051,"Multnomah County, Oregon",Multnomah,Oregon,OR,320476,42713,86621,191142,50000,50000,1-Year,27.03,13.33
